Mã CK,FRM,FRT,FSO,FT1,FTI,FTM,G36,GAS,GCB,GCF,GDA,GDT,GDW,GEE,GEG,GER,GEX,GGG,GH3,GHC,GIC,GIL,GKM,GLC,GLT,GLW,GMA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán,Kiểm toán,Kiểm toán
Công ty kiểm toán,AASCS,PWC,AFA,VAE,AASCS,AVA,AASC,PWC,AAC,UHY,EY,A&C,AFC,Deloitte,PWC,IAV,Deloitte,NVT,CPA VIETNAM,PWC,PWC,AASCS,IAV,IAV,,Grant Thornton,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Từ chối - Không thể đưa ra ý kiến,Từ chối - Không thể đưa ra ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận từng phần - Ngoại trừ,Từ chối - Không thể đưa ra ý kiến,,Chấp nhận toàn phần,Chấp nhận toàn phần
Ngày công bố báo cáo,18-03-2025,08-03-2025,04-03-2025,12-03-2025,24-03-2025,03-04-2025,01-04-2025,03-03-2025,18-04-2025,20-03-2025,02-04-2025,31-03-2025,02-04-2025,04-03-2025,31-03-2025,28-02-2025,03-03-2025,28-03-2025,25-03-2025,02-04-2025,25-02-2025,26-03-2025,11-04-2025,03-04-2025,05-05-2025,31-03-2025,02-04-2025
Ngày ký kiểm toán,12-03-2025,03-03-2025,03-03-2025,03-03-2025,20-03-2025,27-03-2025,28-03-2025,20-02-2025,14-04-2025,14-03-2025,26-03-2025,29-03-2025,31-03-2025,26-02-2025,26-03-2025,20-02-2025,28-02-2025,28-03-2025,15-03-2025,26-03-2025,18-02-2025,24-03-2025,09-04-2025,28-03-2025,,18-03-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,60126410403,1806391668645,20723737361,61787749135,87673283368,280045231203,1986048619294,24564385978120,49960714852,269160792539,2600544115619,293995313464,169153004943,6042489119743,13791844798232,3495560593,30953410567039,20155990146,79596238874,1175807891040,208493220025,491194805079,305369450925,6425605725,24018578892,162750922430,738220972015
I. Các khoản phải thu dài hạn210,224347308,182805424079,,,,24166370318,4385199586,531249275544,,2105081305,13524804916,,332353191,70228984552,29387889833,,1409059267857,,,,,2063346720,,,35000000,,156686743418
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,6144191684,,,10411001970,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,70495232935,,,6435000,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,24166370318,,,,,,,,60000000000,,,1105072486247,,,,,250000000,,,,,
6. Phải thu dài hạn khác216,224347308,182805424079,,,,,4385199586,460754042609,,2105081305,13518369916,,332353191,4084792868,29539599675,,293575779640,,,,,1813346720,,,35000000,,156686743418
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,-151709842,,,,,,,,,,,,
II. Tài sản cố định220,29062070717,1445982801672,1719216685,59444848316,5164067694,189568222288,1284225061618,18221636601588,25363615537,188104406726,1942246136936,82626155945,158719059374,2452872283273,13296243774856,2834461399,13871952908898,20155990146,5342297969,753153755560,29749493225,238075304674,527254814,6238939046,23334313250,157732046641,465961527882
1. Tài sản cố định hữu hình221,22711644814,1156676461871,1719216685,58193248316,5164067694,187729043169,1252839926244,17852624248675,24462967537,95562976364,1715803984870,61537551018,154066395732,2376558404175,13208513709407,2834461399,12977156707324,20155990146,5311001686,735370926457,29649363225,211880742180,527254814,6238939046,22984384192,157170452278,462097175254
- Nguyên giá222,100438684560,1915183739839,20461608184,654723412323,22325808235,1010421130106,1615270732368,64803330016602,56938285685,181551711729,4558176045474,172887493792,596668318890,5398881690873,16881576550705,26771869634,24646495917659,79636045328,51104225126,1317111021751,153456732137,417770109909,12707165099,140782051943,32101927862,458757009244,695241942070
- Giá trị hao mòn lũy kế 223,-77727039746,-758507277968,-18742391499,-596530164007,-17161740541,-822692086937,-362430806124,-46950705767927,-32475318148,-85988735365,-2842372060604,-111349942774,-442601923158,-3022323286698,-3673062841298,-23937408235,-11669339210335,-59480055182,-45793223440,-581740095294,-123807368912,-205889367729,-12179910285,-134543112897,-9117543670,-301586556966,-233144766816
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,103377490380,,,,66309267107,,288113524418,,,,,,,,,,3214256468
- Nguyên giá225,,,,,,,,,,,137560662212,,,,74767112572,,335805927142,,,,,,,,,,3782962641
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,-34183171832,,,,-8457845465,,-47692402724,,,,,,,,,,-568706173
3. Tài sản cố định vô hình227,6350425903,289306339801,,1251600000,,1839179119,31385135374,369012352913,900648000,92541430362,123064661686,21088604927,4652663642,76313879098,21420798342,,606682677156,,31296283,17782829103,100130000,26194562494,,,349929058,561594363,650096160
- Nguyên giá228,9599467000,348666597970,,3502565540,225210831,7944995383,32034705374,655572693047,900648000,98071729091,141291673727,26821334013,15804392920,153990156389,39381555527,399392840,832837065815,,469560000,22239570976,1224742459,33257571132,,16840322074,668135000,1692454091,12314235441
