Mã CK,DFS
Kỳ/năm,Năm/2024
Trạng thái hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán
Công ty kiểm toán,AASC
Ý kiến kiểm toán,Chấp nhận toàn phần
"Tăng, giảm hàng tồn kho10",1408269955
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",21781800598
"Tăng, giảm chi phí trả trước12",-81637831
"Tăng, giảm chứng khoán kinh doanh13",
Tiền lãi vay đã trả13,-1391520151
Thuế thu nhập doanh nghiệp đã nộp14,-2429561630
Tiền thu khác từ hoạt động kinh doanh15,
Tiền chi khác từ hoạt động kinh doanh16,-1401922628
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,11477686155
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-1207457223
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",-60909091
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",9407850087
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,
10. Tiền thu khác từ hoạt động đầu tư,
11. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,8139483773
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",
3. Tiền thu từ đi vay33,65405697310
4. Tiền chi trả nợ gốc vay34,-80440229956
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-1652149680
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-16686682326
Lưu chuyển tiền thuần trong kỳ50,2930487602
Tiền và tương đương tiền đầu kỳ60,1500564508
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,88972163
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,4520024273
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,
I. Lưu chuyển tiền từ hoạt động kinh doanh,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,
3. Tiền chi trả cho người lao động03,
4. Tiền chi trả lãi vay04,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,
6. Tiền thu khác từ hoạt động kinh doanh06,
7. Tiền chi khác cho hoạt động kinh doanh07,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,
II. Lưu chuyển tiền từ hoạt động đầu tư,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",
8. Tiền thu khác từ hoạt động đầu tư,
9. Tiền chi khác cho hoat động đầu tư,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,
III. Lưu chuyển tiền từ hoạt động tài chính,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",
3. Tiền thu từ đi vay33,
4. Tiền chi trả nợ gốc vay34,
5. Tiền trả nợ gốc thuê tài chính35,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",
7. Tiền thu khác từ hoạt động tài chính,
8. Tiền chi khác cho hoạt động tài chính,
Lưu chuyển tiền thuần từ hoạt động tài chính40,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,
Tiền và tương đương tiền đầu kỳ60,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,
Kỳ/năm,
