Mã CK,COM,CPA,CPC,CPH,CPI,CQN,CQT,CRC,CRE,CSC,CSM,CST,CSV,CT6,CTB,CTD,CTF,CTI,CTP,CTR,CTT,CTW,CTX,CVN,CVT,CX8,CYC,D11,D2D,DAC,DAD,DAE,DAH,DAN,DAS,DAT,DBC,DBD,DBM,DBT,DC1,DC2,DC4
2. Chi phí xây dựng cơ bản dở dang242,6930825988,,1024645455,544435000,,36860189825,370291592,72813413505,3705885116,,42315623946,27303197631,3115265154,11628751493,104977500,114539975347,37707555806,951253746682,,251630121242,,43678565113,849109803906,9462538343,36502875487,,,,17632255966,,,,347753115,895865756597,,4452987885,1083475270748,233459463621,,482500000,1258972503,15554186363,1115279146
V. Đầu tư tài chính dài hạn250,1114544475,,,,,485822687067,,41384611213,,16394158180,6990053122,,,,,309363154692,414840000000,,75000000000,,,883648947,1319717760,381598761964,,,,,84710810946,,6799500000,593390084,190308571849,6800000000,,,116130417629,164241726585,500000000,,,86536620,
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,,,473212674000,2207213772,,21284611213,,14188791989,9650345815,,,,,2455495623,26000000000,,75000000000,,,883648947,,351098761964,,,,,,,5449500000,,116344651849,8820000000,,,106130417629,162728191614,,,,,
3. Đầu tư góp vốn vào đơn vị khác253,12000000000,,,,,506586442351,,19600000000,,2543377888,,,,,,303605477459,140950000000,,,,,,12012898701,30500000000,,,,,91200000000,,1350000000,593390084,73963920000,6800000000,,,,3513534971,500000000,,,151500000,
4. Dự phòng đầu tư tài chính dài hạn254,-10885455525,,,,-473212674000,-22970969056,,,,-338011697,-2660292693,,,,,,,,,,,,-10693180941,,,,,,-6489189054,,,,,-8820000000,,,,-2000000000,,,,-64963380,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,500000000,,,,,,,,3302181610,247890000000,,,,,,,,,,,,,,,,,,,,10000000000,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,38624611241,406485163,2086591138,29430211933,160706299,26039919171,34171451334,1467437907,46755111599,10536160761,33325755719,151145208012,328736675797,1225701758,7393638459,503040189629,100931692045,53543948401,3929550,19725939884,24957076259,21111474562,6518369628,1354462210,28265562643,3298664881,936804734,,587641342536,,288742768,11672526,30510765367,16546226637,2794885926,2201744795,146208603643,52675045549,,113943372777,2379379045,2354233113,194814639086
1. Chi phí trả trước dài hạn261,36160611936,406485163,2086591138,2214373163,160706299,26039919171,34171451334,1467437907,46247456309,3457080792,33325755719,151145208012,316233313071,1225701758,4669687764,250374690279,23724924254,53032411516,3929550,17530588741,24838729883,21111474562,6518369628,1354462210,28265562643,3298664881,936804734,,582407759655,,288742768,11672526,30510765367,16546226637,2794885926,2201744795,123779100097,39382942604,,66822486447,2379379045,2354233113,151815938590
