Mã CK,KIP,KKC,KMR,KMT,KOS,KPF,KSB,KSD,KSF,KSH,KSQ,KST,KSV,KTC,KTL,KTS,KVC,KWA,L10,L12,L14,L18,L35,L40,L43,L45,L61,L62,L63,LAF,LAI,LAS,LAW,LBE,LBM,LCD,LCG,LCM,LDG,LDP,LDW,LG9,LGC,LGL
1. Tài sản cố định hữu hình221,61162542683,3105869831,176223736524,14850328319,1062655318827,,53933440767,33841409325,331652704130,,28337313,2907079006,3831830716085,162745153720,130705921757,178270626703,143154191745,54281236759,85267014492,48051659601,33234082230,325271276916,2193797229,8208641264,7955967654,6125786538,27825606902,54025140565,105143619386,82281199774,10732211764,329221940976,300842695738,3175081465,320881728900,2456194026,91862612598,1665175705,62368701,39704811854,435150000891,30854194167,12266897275,287811237
- Nguyên giá222,201976975359,27970188389,806275170788,31458595153,1242792126384,164316364,271131695440,83423399339,427701727563,,35185185,41666955229,11149569530033,548130315484,761888391935,385810202080,373142326283,102723424668,458277592811,171680221951,101489431162,759871260337,61132282590,11901506573,48258695018,83765871505,263944098367,180520953682,339921353718,163346146121,25439261075,1740004705545,698756302592,5928040024,857983450925,45731186469,564611142652,15198828192,2334287369,124320268122,1051140694197,141662739202,48342069134,16987745119
- Giá trị hao mòn lũy kế 223,-140814432676,-24864318558,-630051434264,-16608266834,-180136807557,-164316364,-217198254673,-49581990014,-96049023433,,-6847872,-38759876223,-7317738813948,-385385161764,-631182470178,-207539575377,-229988134538,-48442187909,-373010578319,-123628562350,-68255348932,-434599983421,-58938485361,-3692865309,-40302727364,-77640084967,-236118491465,-126495813117,-234777734332,-81064946347,-14707049311,-1410782764569,-397913606854,-2752958559,-537101722025,-43274992443,-472748530054,-13533652487,-2271918668,-84615456268,-615990693306,-110808545035,-36075171859,-16699933882
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,158682106368,,15778204029,,,,,3240740740,,15046429271,,,,,2355712915,,44453539818,,,,,,,,355322821089,,,,,5494154374,,699565922
- Nguyên giá225,,,,,,,,,,,,,314699626759,,22348709255,,,,,3240740740,,18984369864,,,,,4778869593,,48998012258,,,,,,,,522281316906,,,,,7725170910,,8295428957
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,-156017520391,,-6570505226,,,,,,,-3937940593,,,,,-2423156678,,-4544472440,,,,,,,,-166958495817,,,,,-2231016536,,-7595863035
3. Tài sản cố định vô hình227,550688761,,9561467725,33448248310,,5488907,,,16514783513,,,83209300,10082987483,115877111681,423416943,1250938946,51626712300,106630178,8001942000,,10175000,2263645286,,,,,117887074,527836625,452942570,878343000,2671039898,444959423,2311691022,1135592659,14202110326,16267626377,,,,68597249,1636388536,2580011635,15851673193661,
- Nguyên giá228,2139688761,677697312,17546553200,34467703861,,65000000,1859582990,,47644136765,,,911885959,21785269594,125791649589,4385702820,1958794286,62996212300,294700000,9021182000,138685576,156020000,2951077526,,,55000000,,2270017600,1881110846,773178000,1596009500,2671039898,3507306268,2896286455,1681266805,19929726974,16267626377,10254240000,,1424301429,2198133777,2558591000,3080011635,19154246848279,160000000
- Giá trị hao mòn lũy kế 229,-1589000000,-677697312,-7985085475,-1019455551,,-59511093,-1859582990,,-31129353252,,,-828676659,-11702282111,-9914537908,-3962285877,-707855340,-11369500000,-188069822,-1019240000,-138685576,-145845000,-687432240,,,-55000000,,-2152130526,-1353274221,-320235430,-717666500,,-3062346845,-584595433,-545674146,-5727616648,,-10254240000,,-1424301429,-2129536528,-922202464,-500000000,-3302573654618,-160000000
III. Bất động sản đầu tư230,,,,21630432809,,,110682060033,,412485638467,,,,,,164117994958,,,,53320738906,,24460239337,,,,,,,,,,,,,,,,,,,2270906487,,,,
- Nguyên giá231,,,,28055603425,,,196163781972,,537185063768,,,,,,215523522871,,,,110560784363,,27344829481,,,,,,,,,668145436,,,,,,,,,,4170339679,,,,
- Giá trị hao mòn lũy kế232,,,,-6425170616,,,-85481721939,,-124699425301,,,,,,-51405527913,,,,-57240045457,,-2884590144,,,,,,,,,-668145436,,,,,,,,,,-1899433192,,,,
IV. Tài sản dở dang dài hạn240,121046296,,5593050468,135288831,1102314815,,894909685571,277762800,2874293737388,,251528557343,,332356777257,20611746790,2157939702,21169730058,,,,,4880789299,3738630433,,,,41178584278,,,96357248213,8738883675,314980361792,23078816119,330784389,99636364,184501067484,,76436566161,6034365131,814802286566,2850681000,2583504908,,36891386840,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314836194392,,,,,,,,814802286566,,,,,
2. Chi phí xây dựng cơ bản dở dang242,121046296,,5593050468,135288831,1102314815,,894909685571,277762800,2874293737388,,251528557343,,332356777257,20611746790,2157939702,21169730058,,,,,4880789299,3738630433,,,,41178584278,,,96357248213,8738883675,144167400,23078816119,330784389,99636364,184501067484,,76436566161,6034365131,,2850681000,2583504908,,36891386840,
V. Đầu tư tài chính dài hạn250,,,,,340274644799,482111230721,576639113978,,2431067837715,-29573099146,,4900000000,46172573598,91494415508,131996143553,,,,26280793625,100000000,56100000000,119543431990,138200000,,,,165084200,,,60000000,6750000000,6844000000,,,,500000000,738200691837,47914666450,,,653220000000,18244569801,,262731958408
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,,,,344000000000,576639113978,,1658045168408,,,4900000000,11754473958,83384860704,131253596656,,,,,,56100000000,68070982541,,,,,,,,,,6844000000,,,,,627144211261,47914666450,,,,18244569801,,262731958408
3. Đầu tư góp vốn vào đơn vị khác253,,,8400000000,,340049400000,,,,206343125000,,,,35438345640,11855996567,,,,,26280793625,100000000,,30559800000,,,,,465084200,,,60000000,6750000000,,,,,,107111760000,,,,,,,26846596000
4. Dự phòng đầu tư tài chính dài hạn254,,,-8400000000,,-74755201,-17248769279,,,-847404351,-29573099146,,,-1020246000,-3746441763,,,,,,,,-14087350551,,,,,-300000000,,,,,,,,,,-7655279424,,,,,,,-26846596000
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,300000000,155360000000,,,567526948658,,,,,,742546897,,,,,,,35000000000,138200000,,,,,,,,,,,,,500000000,11600000000,,,,653220000000,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,154978745,1043875828,12560022700,4600574177,121769441057,,210186644056,3460379938,7981726762,,,507333226,544457607130,17040993455,58880384941,2695828514,,1482429063,,34522083,1545078572,59061995369,6212537959,,1656306001,42113031178,3547991879,4450509030,6300854225,11679639740,1867756267,11849272235,973532494,879931127,17914782596,88004994,77702903914,,428056350423,5366889329,15348578615,6502457730,4149553102680,1101183787
1. Chi phí trả trước dài hạn261,154978745,1043875828,12560022700,4600574177,3217329341,,180883195525,3460379938,7981726762,,,507333226,527155930717,17040993455,58880384941,2695828514,,1482429063,,34522083,1545078572,37379072148,6212537959,,1656306001,42113031178,3547991879,4450509030,2660825864,11196561709,,11849272235,973532494,879931127,17889316844,88004994,27162028956,,410936149002,5366889329,8889010916,6502457730,3658704179841,1101183787
2. Tài sản thuế thu nhập hoãn lại262,,,,,,,4311019629,,,,,,17301676413,,,,,,,,,4582923221,,,,,,,3640028361,483078031,1867756267,,,,25465752,,47773053452,,23274168,,759637057,,245280537221,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5699930642,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,118552111716,,24992428902,,,,,,,,,,,,,,,17100000000,,,,,,,,,,,,,,,2767821506,,17096927253,,,,245568385618,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,261827165796,78325390581,860573574484,793301360136,4851309115879,532279342842,4927312656996,122541746646,20558336800435,496066835470,310966047316,217402007124,9613760377609,1321140413204,867688675403,483072601744,556379519152,100397264581,1379555696802,329532900619,623008090380,5063971290814,181389693404,184182994226,355634249304,497512650209,655479450676,351777281741,615250635588,366020559397,1325650336344,2642749177107,342278646073,41696267912,813952620323,122446715305,6019865872228,170318655293,6157209366743,207157118741,1197826436551,430374072114,23463511747161,1395552262217
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,77104089699,31181451843,213693837703,654598414904,2532673728732,16508070756,2276524202466,2325371898,13679093265300,16673807373,46170503564,139695606445,5603177976142,910731328188,437001214211,255264769600,93814941736,28315112166,1096811195592,238147945439,197082634411,4279749687838,175353321900,76170961822,345040374349,521410500616,686857896907,563261274586,532033351374,118804666646,983148082448,1181252695309,155240189562,15039768721,200945870688,91900327208,3428754039476,46337763894,4946112001867,107872622506,229116313324,356092673087,17778676037735,718492564661
I. Nợ ngắn hạn310,67498642753,30431451843,211665837703,654598414904,1352501407554,16508070756,1068084242080,2325371898,8570717074780,16673807373,46170503564,139695606445,4303260006277,910731328188,421457574911,227436769600,93051407717,25501161880,826843339054,229652454229,189959914411,3334593928158,175353321900,72278516088,345040374349,520888609516,686857896907,367725999080,354753887961,116290096251,326428082448,1181252695309,84231141494,15009768721,172959370688,91900327208,3255522223771,46337763894,3954344654512,106102892506,67129451483,350587851184,1761657191893,647317065510
1. Phải trả người bán ngắn hạn311,23641172992,16869782988,19880624987,1766347334,144582804161,182765581,31778839816,240512768,450919618783,15276587150,1590433482,80607100217,1095784948525,58954295516,75572742178,5545501848,24623006123,13571618432,231464504795,86796599213,17584893264,889014909112,28548621792,35399202875,95748115991,57415454103,126657254328,50704952381,59322359334,4693945653,30530544073,265261443415,46042243461,3651492375,38929097005,6160470375,757880324782,40478857560,185294143678,31544895647,12559524866,54085625535,389840298778,95280709508
