Mã CK,THG,THM,THN,THP,THS,THT,THU,THW,TID,TIE,TIG,TIP,TIS,TIX,TJC,TKA,TKU,TL4,TLD,TLG,TLH,TLI,TLP,TLT,TMB,TMC,TMG,TMP,TMS,TMT,TMW,TMX,TN1,TNA,TNB,TNC,TNG,TNH,TNI,TNP,TNS,TNT,TNV,TNW,TOP,TOS
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,38100000000,,,,,,,312954805041,,344361609100,285564149804,,,,,,,36000000000,16000000000,1000000000,,,,,,,,,,,,750000000,,,,,,,,,32300000000,,,3400000000,2000000
6. Phải thu ngắn hạn khác136,74991333769,2128532634,22161382353,20337795102,2930380313,3381297755,22251954983,3321902549,242950575652,6580364925,72683371814,55990114661,96891380727,11317309550,1966752847,413103351,4250719324,52270592873,3608776653,12303121563,13284965034,351441201,182285680725,4646626737,14298765768,27295409829,2912028762,25513958287,322447832150,133880333038,1201665756,60404645338,507739757449,39595036567,344619495,5465367149,51438120510,2087464000,38185373368,121889342,5501966921,30851286717,340953067,13982936713,58331661,396771900385
7. Dự phòng phải thu ngắn hạn khó đòi137,-39846522072,,-22888031935,-64044600,-503300526,-2932578000,-117500000,,-279770606911,-73693266991,,-1985138904,-350754151135,-3389482318,-1443717150,-8000082519,-850230769,-96810659109,-3611105819,-6697752791,-183588229242,-3249448704,-5848700378,-23314038397,-3019978437,-1731067778,-602040000,,-19000287640,-16545346547,-2795557352,-33259575218,-35244119785,-175039911,,-5531156885,-4641291733,,-46800730115,-512089931,,-30092313097,-8188807119,-11446120275,,-24302533619
8. Tài sản thiếu chờ xử lý139,,,,,,,,,27263492,,,,189731091,,,,,,,,,,,,,2508762068,,,,,,,,20288106,,,,,,,,,,3071356,,
IV. Hàng tồn kho140,857581215586,343663382,19634617582,446024843982,42871105313,479507179328,9178292583,14469482581,311613753279,4450938761,467002117860,136876203402,1805394638494,67650000,83458284,16167501188,388015806904,9768737541,535016644631,784896481994,2573014546180,5448980096,2728881341813,146257064630,2844014386507,46476874515,97817108021,563315610,15497158482,485373748043,5236597003,3075030403,10451039803,1088392101859,138595446297,51265840056,1074432497798,13891695152,223097498335,210660113,189366760583,27180696573,74118886914,14727455470,,634525088388
1. Hàng tồn kho141,857948656168,343663382,22051345401,446026629922,43939492190,479507179328,9178292583,14469482581,319931601076,4450938761,467002117860,136876203402,1809073580539,67650000,83458284,16167501188,388015806904,11003232407,535016644631,833963734982,2692564199230,5448980096,2728881341813,156053509101,2917523943392,46476874515,99292028298,563315610,15497158482,489026425314,5786797573,3075030403,10451039803,1088392101859,138617915557,51265840056,1093845497083,13891695152,223097498335,210660113,189366760583,27180696573,74118886914,16827459676,,634525088388
2. Dự phòng giảm giá hàng tồn kho 149,-367440582,,-2416727819,-1785940,-1068386877,,,,-8317847797,,,,-3678942045,,,,,-1234494866,,-49067252988,-119549653050,,,-9796444471,-73509556885,,-1474920277,,,-3652677271,-550200570,,,,-22469260,,-19412999285,,,,,,,-2100004206,,
V. Tài sản ngắn hạn khác150,24110059351,1195968506,3978348498,11027489273,237763393,67918044883,295544713,774316488,65815351316,3699499689,10361072765,2586271232,71120777171,4416062076,10793326225,93862709,3171609814,8254340749,7325975006,175784627175,115825507767,2405496581,85244048874,966305708,48303173673,519079141,40941957936,1683272357,175277816206,22157229218,321918585,79059721,5596873757,3980352696,49682991887,177494975,118462456838,7966819078,8359259234,,14127360064,7197302059,1832351318,13964187054,29663011,143677295910
1. Chi phí trả trước ngắn hạn151,63322436,70948098,,640990934,68145986,56092960551,214896557,603891565,6327880854,60400426,2373422845,542039224,34155729919,4416062076,,,902937072,499288839,412272717,23135505351,126778167,9887276,12028981475,587142857,8381926554,519079141,39713475399,1466348226,23092812833,2433483674,241760240,,1721529192,44489655,836472227,,30613389083,3918267738,588470125,,1111084527,95620934,707064721,183826040,,43858574848
2. Thuế GTGT còn được khấu trừ152,19185329081,1125020408,221653344,10386498339,169617407,5699394349,80648156,,40276040832,2949068493,4881101079,1989187174,260756561,,10739291073,,2243605302,5800086937,2413486309,143451017773,113139477980,2395609305,72323879941,11361908,36983273669,,341160566,,146560641546,16811443672,656273,37745509,3816168722,3062565365,48549765651,,70269714819,,7770789109,,13016275537,6969990099,346185569,13778969013,11803171,99752672591
3. Thuế và các khoản khác phải thu của nhà nước153,4861407834,,3756695154,,,6125689983,,170424923,19211429630,690030770,3106548841,55044834,36704290691,,54035152,93862709,25067440,1954964973,4500215980,9198104051,2559251620,,891187458,367800943,2937973450,,887321971,216924131,5624361827,2912301872,79502072,41314212,59175843,873297676,296754009,177494975,17579352936,4048551340,,,,131691026,779101028,1392001,17859840,66048471
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,627241191253,88630952998,596097837043,444231296942,28401922340,790048500864,9662220480,7172354185,13014274131028,66278403346,2033789899625,1469392401949,7664592186089,677925591978,41371086182,9259179073,289226821681,459333911626,250244725394,688855057514,467692156047,1189520534,3016921691001,92870351867,101167889315,164190809496,337516213801,1081082224383,6371843424770,376579098636,51345811867,2734699294,266165167994,433067310117,88662872465,159935211313,3179228308272,2246046294394,296393341244,80757570665,229171328618,240622195227,186391833349,747239441928,158619107222,2523063943883
I. Các khoản phải thu dài hạn210,330945615,,,6413754000,,97309831066,,330000000,1043019280498,24326000000,477309506962,1033200000000,63800488952,7284723529,,,,14855479167,,14717155781,14361835578,375000000,54229508185,858258043,,,9799661843,895107000,25080075393,110000000,,,5388354808,3638068023,,,10680826157,96000000000,,,,219648891765,366600000,,,24134296026
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,2382184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,305819801312,,21046613341,1565016529,,,,,,,,,13184628740,,,,,,,,,,,,,,,96000000000,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,24326000000,,,,,,,,1440000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000000
6. Phải thu dài hạn khác216,330945615,,,6413754000,,97309831066,,330000000,1043019280498,,169107521650,1033200000000,42753875611,5719707000,,,,13415479167,,14717155781,14361835578,375000000,41044879445,858258043,,,9799661843,895107000,25080075393,110000000,,,5388354808,3638068023,,,10680826157,,,,,219648891765,366600000,,,15134296026
