Mã CK,API,APL,APP,APT,ARM,ASG,ASM,ASP,AST,ATA,ATB,ATG,ATS,AVC,AVG,BAF,BAL,BAX,BBC,BBH,BBM,BBS,BBT,BCA,BCB,BCC,BCE,BCF,BCG,BCM,BCP,BCR,BCV,BDB,BDG,BDT,BDW,BED,BEL,BFC,BGE,BGW,BHA,BHC,BHG
IV. Hàng tồn kho140,835165421387,49524506011,13834926639,32058438600,22652300575,28049976824,4336236325169,68517151486,86555253302,,4821275234,3473769427,10884917,5688820276,52696130069,2156075218789,12926290895,57627850047,121571870135,26502492207,5056680886,44422418035,46390526961,1720469712590,7996247043,441953600896,57767012418,112840859551,3360878732567,21054729381948,32121700482,2817726260229,209826209,18036302116,235196575141,48293633777,14869080986,14566278482,357241078,1466096874567,1714322303,8332896254,,,22056415991
1. Hàng tồn kho141,835165421387,49524506011,13834926639,32580262627,22652300575,28333422571,4336236325169,74010032518,86555253302,,4821275234,3473769427,10884917,5688820276,52696130069,2156075218789,12926290895,57627850047,126049226519,26502492207,5056680886,44422418035,47576783622,1720970168861,7996247043,468010951653,58987787649,112840859551,3387615599312,21055950157179,32524174265,2860026118026,209826209,18112152353,235196575141,48333145931,14869080986,14715420558,2752801965,1466682136434,1714322303,8332896254,,,22073611698
2. Dự phòng giảm giá hàng tồn kho 149,,,,-521824027,,-283445747,,-5492881032,,,,,,,,,,,-4477356384,,,,-1186256661,-500456271,,-26057350757,-1220775231,,-26736866745,-1220775231,-402473783,-42299857797,,-75850237,,-39512154,,-149142076,-2395560887,-585261867,,,,,-17195707
V. Tài sản ngắn hạn khác150,37428797894,1102514782,881383158,6394675086,709751817,19491953539,63380096206,19015014884,24819696276,581060718,158356320,381714072,9733426179,152174933,3008854799,41229134966,435335703,1665102711,48211971469,301325432,425704168,421093857,1429215786,105318900695,11266615869,18453799476,18621886086,17140449826,941156227600,80412507370,2704319761,226418117314,5353788,50941552,59889430205,988040261,2330508560,,576070487,41972561596,50097776325,,547247988,,190138261
1. Chi phí trả trước ngắn hạn151,16909351489,22299200,141639490,,42207666,16655338585,11640987304,6926165194,6318011027,,,246184090,,152174933,192976372,24697495919,46464772,,4847762353,,425704168,421093857,1105156162,15814099064,11266615869,14357422117,327960862,269928726,761321561175,59004493362,783528137,129330261331,,31357791,2969040286,295105990,,,,5977308328,9777249322,,547247988,,68949279
2. Thuế GTGT còn được khấu trừ152,18288902802,1080215582,524938107,6332231331,667544151,2781225313,48220794758,7115568510,18491905737,581060718,147052500,135529982,9733426179,,2815878427,13170833545,14653098,1665102711,41331465572,301325432,,,99940540,84580640816,,3588637450,17172202660,15876493848,166904252328,18304479382,1726358624,85292403138,29,,56714019747,,1787973709,,356883852,35707246158,40320527003,,,,
3. Thuế và các khoản khác phải thu của nhà nước153,2230543603,,214805561,62443755,,55389641,3518314144,4973281180,9779512,,11303820,,,,,3360805502,374217833,,2032743544,,,,224119084,4924160815,,507739909,1121722564,994027252,12930414097,3103534626,194433000,11795452845,5353759,19583761,206370172,692934271,542534851,,219186635,288007110,,,,,121188982
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,519198779196,13327029060,23964533657,67647622385,7826797445,1511889350028,9289525402197,751074152640,247462399518,16510302871,19446870011,45215911,33143354272,955726349380,191387963591,4368011054921,4719378797,424145809831,1017374093053,10920603876,12888755592,69234474808,112357049363,1361508674101,249691285745,2740142105027,127160721649,239921985530,24330345870388,27076791421455,50104311985,8322177731829,13552466884,4056571888,240012748511,934051348898,390781283675,19970479748,11083047680,668424545526,11286024617695,144284024874,1383805197443,33989135911,76850691965
I. Các khoản phải thu dài hạn210,90310765010,9469131898,,324471893,,37361439560,32877315013,39267098590,6917310490,,4615244820,,,,,223711119764,,,23000000,,,,14210000000,22537669933,41730374443,9668784430,48480540970,,9179952684983,412651674525,325190320,6132337628520,,,201733066,10124970631,421164361,,15500000,4650098980,220104298906,,,,41434257297
1. Phải thu dài hạn của khách hàng211,10277562197,9469131898,,,,26100000000,,13737320000,,,,,,,,,,,,,,,,,,,48167700970,,,89279414961,,,,,,,,,,,,,,,9159648950
