Mã CK,POW,PPC,PPE,PPH,PPP,PPS,PPT,PPY,PQN,PRC,PRO,PRT,PSB,PSC,PSD,PSE,PSH,PSL,PSN,PSP,PSW,PTB,PTC,PTD,PTE,PTG,PTH,PTL,PTO,PTP,PTS,PTT,PTV,PTX,PV2,PVA,PVB,PVC,PVD,PVE,PVG,PVH,PVI,PVL,PVM
3. Thuế và các khoản khác phải thu của nhà nước153,18101691028,23519119726,2794344,207769015,12828182,,,,,,76620386,18698337090,325857069,10597668,100000000,,107876699,,,1056023960,,797488378,156733223,,,,,14209089302,124809796,90481926,970100995,,880550,,281065939,,12971018902,926052964,4404102663,82354815,42493717,60522709,4787638858,6688133268,630990957
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,49934474009218,2803195464705,5250000000,1812465966813,75914638908,44755204585,167136980124,180391396310,293399814974,26346202745,31326521996,3614126367543,319288324069,187354630421,65526737196,21215555170,4749012519188,74085894178,465065853423,458207545070,17733583740,2175411555474,174354984049,46943839545,257063671608,31969050393,73229985424,423326667504,697429037,139239328082,180650282677,111893826866,68134046245,148024890521,140924341793,16989423580,39443229883,164603387251,15832176406056,10972965148,503723451725,374716127453,5578984084033,129983710991,194390095664
I. Các khoản phải thu dài hạn210,353163000,,5250000000,3940070645,54968812,37860000,,,13516550273,,,900813078315,3000000,173000000,42460000,170000000,13277586516,4040000000,3367245000,,,28900326181,62598413,,355000000,,,82370795967,102485815,2011900000,97500000,3272980600,49800000,,83403181482,2141180134,33712173,8688252030,319500195972,251980000,637000000,105644075271,35270897860,26693650000,37600000000
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,60000000000,,,,,,,,,,,,,,,,81970795967,,,80000000,,,,,2141180134,,3726000000,,,,64289387170,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39286577950,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,5250000000,,,,,,,,,9896049652,,,,,13277586516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,353163000,,,3940070645,54968812,37860000,,,13516550273,,9104879000,972280328857,3000000,173000000,42460000,170000000,,4040000000,3367245000,,,28900326181,62598413,,355000000,,,400000000,102485815,2011900000,17500000,3272980600,49800000,,127127877070,,33712173,4962252030,319500195972,251980000,637000000,28881954296,35270897860,26693650000,37600000000
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,-9104879000,-141363300194,,,,,,,,,,,,,,,,,,,,,,,-43724695588,,,,,,,-26813844145,,,
II. Tài sản cố định220,24321200716711,219362891872,,1054372239697,74287414969,14812550993,64915821433,130820209264,158029476367,13555908957,7239742338,1469269879750,63941359775,141817683448,65484277196,18076317799,1781824562828,44862805424,410418031307,325239948998,17391844781,1558547770331,2625473232,756108023,229557035921,25616455590,53376142822,79783260312,370437026,32411108673,156772225228,108256644446,42279568175,137851775741,157819165,11133306901,27711149601,69763493570,12860927344986,981435219,240807016411,181846295,329694589642,18031700877,70148377477
1. Tài sản cố định hữu hình221,24269762261846,219096718936,,942578952394,57436446124,14812550993,10651678203,103550968662,156580769682,7832039982,7239742338,936112357788,63941359775,110841374220,7811882085,3292859006,1073014881266,36385212322,409760272534,325206615674,2320792648,1542604854970,2625473232,756108023,229557035921,20613222908,52807603951,65735505082,370437026,25079505630,156772225228,108166993913,42279568175,136292497824,157819165,11133306901,27711149601,64625898178,12699952977516,937145445,240490562935,181846295,271394690862,18031700877,57964437933
- Nguyên giá222,70534998041647,13614955984174,,2287317961521,111763968297,94459548609,16591516654,194985519093,942140078591,29502197391,18169964568,1914012940341,119377606365,329936971127,19821359985,37423149514,1888683158763,74503369862,929730518339,691782920432,38386349504,3350356969293,7695579024,10756203103,571088939527,150332621695,182094448977,105614372594,10515271861,211657572338,389535221539,236301961201,68190556644,381272125340,3223759275,29306669641,609698915890,288332419069,26578381033464,105485273119,731567930533,2609395391,627665329939,19552973098,95299521463
- Giá trị hao mòn lũy kế 223,-46265235779801,-13395859265238,,-1344739009127,-54327522173,-79646997616,-5939838451,-91434550431,-785559308909,-21670157409,-10930222230,-977900582553,-55436246590,-219095596907,-12009477900,-34130290508,-815668277497,-38118157540,-519970245805,-366576304758,-36065556856,-1807752114323,-5070105792,-10000095080,-341531903606,-129719398787,-129286845026,-39878867512,-10144834835,-186578066708,-232762996311,-128134967288,-25910988469,-244979627516,-3065940110,-18173362740,-581987766289,-223706520891,-13878428055948,-104548127674,-491077367598,-2427549096,-356270639077,-1521272221,-37335083530
2. Tài sản cố định thuê tài chính224,,,,111684730902,,,,,,2203668975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá225,,,,122118650662,,,,,,3868527273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,-10433919760,,,,,,-1664858298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,51438454865,266172936,,108556401,16850968845,,54264143230,27269240602,1448706685,3520200000,,533157521962,,30976309228,57672395111,14783458793,708809681562,8477593102,657758773,33333324,15071052133,15942915361,,,,5003232682,568538871,14047755230,,7331603043,,89650533,,1559277917,,,,5137595392,160974367470,44289774,316453476,,58299898780,,12183939544
- Nguyên giá228,119562949947,60334919230,,583927273,24609806901,2288155290,54343371800,33226446610,6270072449,3520200000,71000000,719045899277,53372880,39540686568,64793063419,20207827000,844306739410,10725800713,2822841714,1397000000,15835487425,35978183553,378200000,553940120,160000000,6998251392,1265480000,19280097505,265565930,9210103043,,201000000,154472660,4530335000,95400000,1496038220,3131397400,9135853758,342032824818,11418938445,4041605670,,226488200441,,14950865814
- Giá trị hao mòn lũy kế 229,-68124495082,-60068746294,,-475370872,-7758838056,-2288155290,-79228570,-5957206008,-4821365764,,-71000000,-185888377315,-53372880,-8564377340,-7120668308,-5424368207,-135497057848,-2248207611,-2165082941,-1363666676,-764435292,-20035268192,-378200000,-553940120,-160000000,-1995018710,-696941129,-5232342275,-265565930,-1878500000,,-111349467,-154472660,-2971057083,-95400000,-1496038220,-3131397400,-3998258366,-181058457348,-11374648671,-3725152194,,-168188301661,,-2766926270
III. Bất động sản đầu tư230,,,,,,,101546910093,,,,,186745719828,159659689059,39694861070,,,481576120000,,,,,5152502053,,39355518669,,2568026915,,165655586515,,99405802628,,,,,,,,61682560758,,,19292228466,43843254790,753684406044,29471370000,
- Nguyên giá231,,,,,,,101658920700,,,,,201186380934,229280786454,68444161636,,,481576120000,,,,,5682906669,,54274740909,,5633101505,,194161584810,,124780975094,,,,,,,,151876088685,,,26427782233,73235868711,1105607068661,29471370000,15292742940
- Giá trị hao mòn lũy kế232,,,,,,,-112010607,,,,,-14440661106,-69621097395,-28749300566,,,,,,,,-530404616,,-14919222240,,-3065074590,,-28505998295,,-25375172466,,,,,,,,-90193527927,,,-7135553767,-29392613921,-351922662617,,-15292742940
IV. Tài sản dở dang dài hạn240,19758833869004,25939603933,,6882372470,61775000,,,3360004230,88386196681,11570874029,1824099810,130981075686,92884192634,314814814,,,1935359351096,246195321,4944857574,210000000,,73175517178,,,21990454612,2670725674,6404834750,,3020000,4194031721,59984973,345125000,,951716715,36422100760,1090113570,22292593,379918725,1222347781896,,2692954934,218968857670,203390000,42212913047,22281555332
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,69815950708,,,,,,,,,,,,,,,,,,,,3020000,,,,,,1292852516,,,,,,,199600912198,,42212913047,22281555332
2. Chi phí xây dựng cơ bản dở dang242,19758833869004,25939603933,,6882372470,61775000,,,3360004230,18570245973,11570874029,1824099810,130981075686,92884192634,314814814,,,1935359351096,246195321,4944857574,210000000,,73175517178,,,21990454612,2670725674,6404834750,,,4194031721,59984973,345125000,,951716715,35129248244,1090113570,22292593,379918725,1222347781896,,2692954934,19367945472,203390000,,
V. Đầu tư tài chính dài hạn250,766206340227,2497440887550,,723048832989,,5040000000,,9360000000,,66000000,19864637544,832730493010,,567000000,,,302567207202,,,14200847229,,256760836731,171654730223,6436216147,2033106293,,,68272500000,,,,,24000000000,,20848773740,1956822975,,,681384574209,,10000000000,,4370664511772,12693166336,53834666927
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",88137710017,1451055770150,,650156006561,,,,9360000000,,,19864637544,830828760210,,,,,264298537287,,,28125000000,,256160836731,147960000000,6436216147,500000000,,,,,,,,,,840000000,1956822975,,12769655880,681384574209,,,,,,
3. Đầu tư góp vốn vào đơn vị khác253,701650757500,1084843117400,,105929737637,,5040000000,,,,66000000,,1901732800,,900000000,1350000000,,34930776668,,,,,600000000,42681100000,,3000000000,,,68272500000,,7265000000,,,24000000000,,33464570560,,,,,,35000000000,18296788082,49636474000,36707700000,59150365573
4. Dự phòng đầu tư tài chính dài hạn254,-23582127290,-38458000000,,-33036911209,,,,,,,,,,-333000000,-1350000000,,-62106753,,,-13924152771,,,-18986369777,,-1466893707,,,,,-7265000000,,,,,-13455796820,,,-12769655880,,,-25000000000,-18296788082,-42234039962,-24014533664,-5315698646
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,,,,,3400000000,,,,,,,,,,,,,,,,,,,,,,,,,,4363262077734,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,5087879920276,60452081350,,24222451012,1510480127,24864793592,674248598,36851182816,33467591653,1153419759,2398042304,93586120954,2800082601,4787271089,,2969237371,234407691546,24936893433,46335719542,118556748843,341738959,252874603000,12182181,395996706,3128074782,1113842214,13449007852,27244524710,221486196,1216485060,23720572476,19076820,1804678070,9221398065,92466646,668000000,11676075516,24089162168,748016508993,9739549929,230294251914,6078093427,89466288715,880910731,10525495928
1. Chi phí trả trước dài hạn261,4404662737999,51276740340,,17333312671,1042210669,24864793592,674248598,34270573048,33467591653,1153419759,1802091072,93586120954,2800082601,4787271089,,2969237371,232264053574,24936893433,44824963332,102982175574,341738959,242032977579,12182181,395996706,3128074782,1113842214,13449007852,2359867382,221486196,1216485060,23811705932,19076820,1620969477,9221398065,92466646,668000000,7341530878,2938411579,487028233233,724447780,230294251914,6078093427,70718503951,880910731,10525495928
2. Tài sản thuế thu nhập hoãn lại262,76335415657,460648447,,,468269458,,,2580609768,,,595951232,,,,,,,,1510756210,,,2001529499,,,,,,,,,-91133456,,,,,,4334544638,21150750589,260988275760,9015102149,,,18747784764,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",606881766620,8714692563,,,,,,,,,,,,,,,,,,15574573269,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,6889138341,,,,,,,,,,,,,2143637972,,,,,8840095922,,,,,,24884657328,,,,,183708593,,,,,,,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
