Mã CK,BHK,BHN,BHP,BIG,BIO,BKC,BKG,BLF,BLN,BLT,BMC,BMD,BMF,BMG,BMJ,BMN,BMP,BMV,BNA,BNW,BOT,BPC,BQB,BRC,BRR,BRS,BSA,BSC,BSD,BSG,BSH,BSL,BSP,BSQ,BSR,BST,BT1,BT6,BTB,BTD,BTG
6. Phải thu dài hạn khác216,,231800000,,640000000,,2136456485,64489291,1782750400,,92400000,7928423500,,929890000,388249920,6340755945,680086610,,,150000000,,,,,50000000,,9239117,54700000,,,,10000000,30000000,,,551000000,,,129738288,125000000,252000000,
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,52329387847,1194282460747,103383848920,75471789555,37600881005,43631497699,50164183511,57767007577,67088432399,52771406919,24886798865,5586022374,20290446360,28743093812,164394341342,4261056893,265199250700,86593076300,309760622933,512154986509,1305889326916,1499756165,14148022702,56082667487,465394411915,25103630391,795735645110,,59557434236,326570905442,68686710069,187674787566,159868690089,741488102823,13215682949959,1291795476,29812398245,84566286465,133617860509,184343682765,3325886973
1. Tài sản cố định hữu hình221,52329387847,1119065206629,73882569269,30224789555,37600881005,43631497699,27351683511,54064021994,66931009491,43449659793,24886798865,5586022374,9132978059,19162146860,101969013453,4261056893,258882782716,86593076300,307189440765,509917058345,1305889326916,1499756165,14148022702,56082667487,465332745248,13669107645,792283476562,,59496633018,324758162387,68626253531,187612814442,159868690089,741410330435,13020136088789,1291795476,19816054245,84566286465,133617860509,182877633387,3247886973
- Nguyên giá222,164270756135,9506630149434,528715848200,32383703091,96700784366,202305110894,60630319833,361496370228,266082405763,111939397006,224902590510,33262792622,36968731946,91290828830,164114363694,23096718280,2181798179558,298219369002,397975891009,943281624514,1375486455793,106901087020,165977627345,267447206287,854369104076,59359344660,1839141229557,2807271000,255804237568,1002817514912,718438657183,1300488350881,611626170540,2011909088660,46260885660607,4021939467,76940884415,202236870120,412402246495,413070563508,23249734991
- Giá trị hao mòn lũy kế 223,-111941368288,-8387564942805,-454833278931,-2158913536,-59099903361,-158673613195,-33278636322,-307432348234,-199151396272,-68489737213,-200015791645,-27676770248,-27835753887,-72128681970,-62145350241,-18835661387,-1922915396842,-211626292702,-90786450244,-433364566169,-69597128877,-105401330855,-151829604643,-211364538800,-389036358828,-45690237015,-1046857752995,-2807271000,-196307604550,-678059352525,-649812403652,-1112875536439,-451757480451,-1270498758225,-33240749571818,-2730143991,-57124830170,-117670583655,-278784385986,-230192930121,-20001848018
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,62425327889,,,,,,,,,,,,,,,,,,,,,,,,,1466049378,
- Nguyên giá225,,,,,,,,,,,,,,,67553941214,,,,,,,,,,,,,,,,,,,,,,,1376685762,,1759259258,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,-5128613325,,,,,,,,,,,,,,,,,,,,,,,-1376685762,,-293209880,
3. Tài sản cố định vô hình227,,75217254118,29501279651,45247000000,,,22812500000,3702985583,157422908,9321747126,,,11157468301,9580946952,,,6316467984,,2571182168,2237928164,,,,,61666667,11434522746,3452168548,,60801218,1812743055,60456538,61973124,,77772388,195546861170,,9996344000,,,,78000000
