Mã CK,VCX,VDB,VDG,VDL,VDN,VDP,VDT,VE1,VE2,VE3,VE4,VE8,VE9,VEA,VEC,VEF,VES,VET,VFC,VFG,VFR,VGC,VGG,VGI,VGL,VGP,VGR,VGS,VGT,VGV,VHC,VHD,VHE,VHF,VHG,VHH,VHL,VHM,VIC,VID,VIE,VIF,VIH,VIM,VIN,VIP
2. Chi phí xây dựng cơ bản dở dang242,1701625651,2467659287,,,9878434406,108975340,,,357132000,,,,1005000000,84264630728,18477720942,1152566000000,,22296652641,6337653632,,388500000,6093932875606,8185374629,1473203771415,,21574666288,,763660335488,400958692169,40615000,109478057239,,182862306,6512265424,,1615471552,477712088,81990475000000,113358029000000,42100000,66377027813,18117991936,,,938900000,1450080000
V. Đầu tư tài chính dài hạn250,82642138555,,1530315938,,4802212615,,,,9025436394,,,,5635949373,6702867363467,69306411992,,,201500000000,,,90850519168,365094718370,504499035222,642508471583,,,,124535105162,3138795610940,118212356443,69482351695,34981060271,,15141369600,135452535273,,36707897763,12519070000000,27060860000000,407654632178,,1403109882804,9000000000,,374744303463,6114328026
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",102756000000,,,,4623817991,,,,30000000,,,,5635949373,6637703566709,71106411992,,,,,,13400519168,356873249808,469790715222,642508471583,,,,124535105162,2991643306334,76472407028,13539921717,34981060271,,15141369600,241800000000,,36707897763,190680000000,9221746000000,266799192178,,1337140439326,9000000000,,316244883305,
3. Đầu tư góp vốn vào đơn vị khác253,,,1600000000,,303000000,,,,9000000000,,,,,66313796758,,,,201500000000,,,77450000000,9332682344,49670070000,583660000,,,,,183478443353,40672949415,5942429978,,,,,,2000000000,12294236000000,19388427000000,141608940000,,16024861978,1000000000,,58499420158,60587790000
4. Dự phòng đầu tư tài chính dài hạn254,-20113861445,,-69684062,,-124605376,,,,-4563606,,,,,-1150000000,-1800000000,,,,,,,-1213513782,-15061750000,-583660000,,,,,-184906788083,,,,,,-106347464727,,-2000000000,,-1588779000000,-753500000,,-270418500,-1000000000,,,-54473461974
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,,,,,,,,,,,,,,,102300000,100000000,,,,,,148580649336,1067000000,50000000000,,,,,,,34154000000,39466000000,,,50215000000,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,17868575921,16866853087,505059,3424467913,2715077553,8366388741,470779809,45308041,9805067,344215896,664609250,37777012,,599778230636,7848355843,1265933000000,3117790,15453182883,59656047896,22551486651,15203885370,690474379757,32054212775,1012608891622,,2859759,258657486945,11206314104,307348381966,7837394540,400109258500,450927733386,328083168,6788618184,,523488698,290555761,45011920000000,21164104000000,3268851190,178071157,59869048193,2633552169,1782506324,1287323957,30531212562
1. Chi phí trả trước dài hạn261,17868575921,16866853087,505059,3424467913,2715077553,8366388741,470779809,45308041,9805067,344215896,664609250,37777012,,599731002480,6627133525,632219000000,3117790,15453182883,59523234846,9712223493,13183996016,678851868203,32054212775,303565638746,,2859759,258657486945,11206314104,291486585521,7837394540,204832933286,309638257236,328083168,6788618184,,217203883,147888887,2875918000000,8641393000000,1488701843,178071157,52886242623,2633552169,1782506324,1287323957,20309278168
2. Tài sản thuế thu nhập hoãn lại262,,,,,,,,,,,,,,47228156,1221222318,633714000000,,,132813050,12839263158,2019889354,11622511554,,652003387111,,,,,15280437512,,4920025714,,,,,306284815,142666874,1182429000000,2430622000000,,,6982805570,,,,10221934394
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,57039865765,,,,,581358933,,,,,,,,,40471695000000,5574675000000,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190356299500,141289476150,,,,,,481878000000,4517414000000,1780149347,,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
