Mã CK,NAV,NAW,NBB,NBC,NBE,NBP,NBT,NBW,NCG,NCS,NCT,ND2,NDC,NDN,NDP,NDT,NDW,NDX,NED,NEM,NET,NFC,NHA,NHC,NHH,NHT,NJC,NKG,NLG,NLS,NNC,NNT,NO1,NOS,NQB,NQN,NQT,NRC,NS2,NSC,NSG,NSH,NSL,NSS,NST,NT2
1. Chi phí trả trước ngắn hạn151,142921964,,471156286,33687102154,2551181470,427752999,1299348763,3196362317,13204013824,,379084484,693634492,2223093992,915266353,81822157,1749717303,,777211844,721779667,,1170501575,49840150,12288598,848877501,14762286426,1055256317,709410574,29405775095,329833439756,455587790,80622983,305414867,1348146112,25660526,222819957,416316177,125006780,18055682,891095714,2666577901,,12278663751,3060395242,,1547838975,4749424813
2. Thuế GTGT còn được khấu trừ152,,4443900640,69832762961,,,27477664790,,2405326924,2133363006,771890988,,,4575838742,14531605001,2044767393,6930221689,647051408,3745911360,,5044683,2853083,,21487128537,4070787968,30344872947,5708001837,3397109363,900629593202,361187144987,15679680,,,8291297399,5265742359,73735419,1975336805,,1517258844,17960510457,7029496561,398051320,,331059826,,20412738810,117356922993
3. Thuế và các khoản khác phải thu của nhà nước153,,3397378,400090538,43966020,,803324308,75525,,22113806863,,,,6008,1068444805,,72267517,113193207,17263653,,,465172043,27342450,,184177549,,133746793,,,1067997653,74600881,17760656269,2558883178,,,50128280,,,,133674293,2124250863,,486905,,500386944,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,23753243382,503883714101,4363901325061,1515467663347,29345581805,105805754167,454536579086,199300399127,1717199981200,310849716759,222056969877,1358598398496,376750915005,266352826454,140384812073,562960016909,360660063802,73596560401,689058537287,31607632688,271416043825,7590078806,606664580631,69165563588,1095047863503,394885810511,83601272857,3316715052258,2768886604855,69434233823,249149201249,113539244922,78970944907,241767167852,212476450251,976110836739,181005207789,1530317674841,1272056328423,864318206335,56483635254,132660677063,119297818182,28658359049,67761578829,2924035246214
I. Các khoản phải thu dài hạn210,450000002,500000000,2008206323629,90124991388,50000000,,,39000000,290230962757,561078800,1073596000,,760000000,,97000000,4257082133,,,,,,12000000,,473600614,5087567309,,20885780000,1337705464,10058034416,,3994370935,,618709500,,37000000,,,1294668500000,50000000,824714000,,,,,,
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,152000000000,,,,760000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,450000002,,,,,,,,,,,,,,,,,,,,,,,,,,16227500000,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,,500000000,2008206323629,90124991388,50000000,,,39000000,475230962757,1372878800,1073596000,,,,97000000,7457082133,,,,,,12000000,,473600614,5087567309,,4658280000,1337705464,10058034416,,3994370935,,618709500,,37000000,,,1294668500000,50000000,824714000,,,,,,
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,-337000000000,-811800000,,,,,,-3200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,9960487514,478295142953,217601942685,1272126938298,27550060731,92967908020,425477388338,180220909709,887000795309,299688356071,91161688134,1326605146509,317393514867,3340798105,21271230791,479510624464,325775782199,45351229768,548697562785,19827658409,203515065821,7105627536,62975113609,64636191678,828896685347,129292383780,35648712406,2021344676318,142915219433,62985425010,55252226323,83523775317,26994218117,212922589789,193403313774,888808515993,172277561629,66906158723,1153790085255,767788543772,44153326382,118950395539,87059857416,23377772433,42430530309,1441668582940
1. Tài sản cố định hữu hình221,9960487514,478231174811,186224114699,1272126938298,7217050305,92967908020,425312036740,179153564749,757508598625,299688356071,81626097530,1326605146509,91563028580,2872478729,16682180700,463152611947,325528367855,40306914752,548697562785,19827658409,199779295274,7038371829,62975113609,64127961316,764654249637,128243511938,34295366558,1700297737520,72116379142,62656732780,49739984201,83400620285,19172694004,212416374178,193229954854,886427600271,171572686100,8270459009,1151426587388,546870342573,43798886382,118950395539,87059857416,14284502650,41320453175,1419617676690
