Mã CK,PET,PFL,PGC,PGD,PGN,PGS,PGT,PGV,PHC,PHH,PHN,PHP,PHR,PIA,PIC,PIS,PIT,PIV,PJC,PJS,PJT,PLA,PLC,PLE,PLP,PLX,PMB,PMC,PMG,PMJ,PMP,PMS,PMT,PMW,PNC,PND,PNG,PNJ,PNP,PNT,POB,POM,POS,POT,POV
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,6721700000,,,64000000000,,,,,,47209441549,,,,,,,,,7200000000,,,,2086000000,,,,,,746000000,,,40000000000,,,,,,,
6. Phải thu ngắn hạn khác136,208978141322,27073928422,51249061373,593921201697,112357246,10355196522,21608680782,815598708750,160156693747,19495699933,3242392439,322791576255,59236270556,1596646390,1324263178,49219515806,6052497631,66818184,968975215,2449369174,962460346,8953040001,26029047581,17114459164,240459108297,654385304273,188044831,3042130164,24427779952,19604838958,3624087812,18227769457,712865292,534537519,17266973434,2067381582,2787791776,64867442121,714509311,86014801338,3522247994,26757400980,123460070677,56442616654,13732703608
7. Dự phòng phải thu ngắn hạn khó đòi137,-347982918721,-13323512528,-732284224,-26793548110,,-53882266749,-41189050648,-7142750900,-7793663392,-61025555900,-29850885,-37367890833,-4779794121,-2337489579,,-7678401429,-34126187096,,,-2370934663,,-7065846452,-250771798911,-6754878807,-4573185423,-806531504366,,-1044787925,-107351326541,-1277018224,-50000000,,-10419846950,-80502855,-10648909597,-13502906761,-83322097273,-28518444279,-140799250,-25300760784,,-48364905132,-26634739448,-12729822157,-165088000
8. Tài sản thiếu chờ xử lý139,,,,,,,,35148082733,,,,,,,,,6606319,,,70549,,,,,,719534030,,,,,,,,,1636825885,,,831677115,,,,,,,
IV. Hàng tồn kho140,1718083271967,75058418994,210436116218,48627970674,78225741689,122161018772,372047533,2454314956129,627642830991,182064090043,92069048621,115825333653,405802511002,8314457508,424547630,47773706129,137907528210,43005009,8562216387,17405214067,51686205084,4217343652,1054340570108,6573660480,366217262792,15673039677316,32943385694,71119358870,40095163014,4013286723,82240486815,61793137913,27852056002,13218049334,293299248885,36018515047,582998637,13015170477311,1138019000,43454724481,40154416561,792828553972,44475159221,380841534035,114612486419
1. Hàng tồn kho141,1729042154866,75058418994,210436116218,48627970674,78225741689,125344255987,372047533,2454368974964,627642830991,182064090043,92309096349,115825333653,406020055297,8314457508,424547630,47773706129,142459535633,43005009,8562216387,17532912310,51686205084,4217343652,1055287848581,6673147663,366217262792,15746686393576,32943385694,71119358870,40095163014,4030350188,82240486815,61793137913,27852056002,13218049334,327021091970,36086479480,582998637,13074586927914,1138019000,43454724481,40154416561,794832808303,50492125212,425174508010,114612486419
2. Dự phòng giảm giá hàng tồn kho 149,-10958882899,,,,,-3183237215,,-54018835,,,-240047728,,-217544295,,,,-4552007423,,,-127698243,,,-947278473,-99487183,,-73646716260,,,,-17063465,,,,,-33721843085,-67964433,,-59416450603,,,,-2004254331,-6016965991,-44332973975,
V. Tài sản ngắn hạn khác150,294246485437,7451727990,19343197370,22812706698,176918684,42778488312,3294603283,537474996603,4916452747,452243970,2442323481,165959120414,83025049175,3159394440,6379137372,3922644974,61359258823,10913652760,2433186918,4128195059,3600918664,2161661103,33701248686,,57050992703,1363553483459,408668979,436818328,29443503014,60364448,10489448673,763190427,1526627073,2688682800,6953020753,2336214288,2771251755,133409476039,889175545,294834838,803953055,635180604774,1342037627,7966243660,3095652550
1. Chi phí trả trước ngắn hạn151,13155030991,380375387,4087387636,3821478785,161430496,6450094460,396147847,24108255288,3957778099,,538469310,25766249347,5244875679,3159394440,325873789,403415142,803681822,17898029,1335873794,2543182160,2027200605,232960712,2235801392,,3151621836,353345217068,408668979,435058327,4912105975,17013293,1518884487,67422559,290056566,,3963654643,1446469956,256069869,132726608716,889175545,167061638,688773606,8256763218,1342037627,343147843,61707601
2. Thuế GTGT còn được khấu trừ152,275450699344,6986307803,13765768369,16356734245,13718190,35125786349,1243542013,432493474949,926143654,269177538,1505485170,140190384439,55907499184,,6053263583,2806677249,56986559219,10895754731,1057766816,461377021,1573718059,1738287293,28249582802,,49932306904,411308909245,,1760001,23174073256,,8970564186,353216133,1082566877,2688682800,2863449421,722078203,2497770749,682867323,,44941636,,620953308632,,7524090378,2880320926
3. Thuế và các khoản khác phải thu của nhà nước153,5640755102,85044800,1490041365,2634493668,1769998,1202607503,1654913423,80873266366,32530994,183066432,398369001,2486628,21872674312,,,712552583,3569017782,,39546308,1123635878,,190413098,3215864492,,3967063963,598191162379,,,1357323783,43351155,,342551735,154003630,,125916689,167666129,17411137,,,82831564,115179449,5970532924,,99005439,153624023
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,708194767,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,1143695317371,92758982566,1058956123770,389852060730,27655436136,1072115184012,24456562551,38445643521472,680583044864,217091531261,33141775093,5399633701205,3361476530768,14227478840,354284850456,503482955182,59149378657,106842505868,168678889504,101693401602,262612814524,59992909164,841273695611,8900364347,877554396048,21731105153387,8604618874,40403365490,966255957815,6494138737,61263625622,127188591968,8811261695,597614214613,52594427591,59607950267,82369833603,1515133510053,146195146173,60736804842,80681342947,7385075318145,221444039503,1168851475801,218174667380
I. Các khoản phải thu dài hạn210,29430096121,65250000,112549408,3445385125,401201417,3240026981,13708516151,3655246000,853920000,,,92986000,235350531,589190000,,8861685000,5000000,75000000,,,29650000,2000000000,6267821574,1608000000,13428913877,31273357852,72000000,,20042850626,,747709880,565000000,,,14012522422,,,115599492454,,,231988000,272197693281,2005000000,28822241688,13050000
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,285000000,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11053241535,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,11000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,29430096121,65250000,112549408,3445385125,401201417,3240026981,2708516151,3655246000,853920000,,,92986000,235350531,589190000,,8861685000,5000000,75000000,,,29650000,2000000000,6267821574,1608000000,13428913877,33355357852,72000000,,8989609091,,747709880,565000000,,,14012522422,,,115599492454,,,231988000,272197693281,2005000000,28822241688,13050000
