Mã CK,SDP,SDT,SDU,SDV,SDY,SEA,SEB,SED,SEP,SFC,SFG,SFI,SFN,SGC,SGD,SGH,SGI,SGN,SGP,SGR,SGS,SGT,SHA,SHC,SHE,SHI,SHN,SHP,SID,SIG,SII,SIP,SIV,SJ1,SJD,SJE,SJF,SJG,SJM,SJS,SKG,SKH,SKN,SKV
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,,,,,,,,,1600000000,,1137470135874,,202008000000,121249038316,,107703200000,,,,172150000000,1000008000000,,16600000000,190392783,620661134593,1610723830889,,59617894644,39285666264,,120800000000,3172398486840,,6000000000,,,,
6. Phải thu ngắn hạn khác136,52158757899,133018712751,309603047336,930967325,2406905764,33768450221,3118332288,3599998981,2454494579,338778422,8224401637,37278833139,221014000,2335613826,556036832,1892331277,31035961126,13067646190,203849063176,427044472447,25103764373,682551049110,27950652128,1844954720,1229082665,278588628523,165502430420,347751825,23838240919,40425924772,35584126933,2822667660538,1449314222,12936345203,45103047124,111697742522,456849527992,1322363393952,18428592879,496312882764,27637927316,1875501584,14566107531,2863133364
7. Dự phòng phải thu ngắn hạn khó đòi137,-89277023321,-46803119813,-8172906871,-719816932,-16388286227,-48384067711,-1483707582,-8781599561,,,-18245719390,,-937540825,-444000000,-1889689858,-843580000,-75144106265,-79831676179,-55323895014,-11614896537,-8333947359,-58584872685,-1197863881,-450772000,-3390388821,-26757896837,-277793646918,,-15635803061,-11051418839,-75530708192,-21912533620,-18909510903,,-61031137156,-76336641289,-61748126237,-2208251250206,-20705310035,-136768423011,,,-7929737,
8. Tài sản thiếu chờ xử lý139,,9829635237,,,,13199544182,,,,,,,,,,,,,,,,,,,,414888866,,,,,,25482134,,,,,,9829635237,,,,,,
IV. Hàng tồn kho140,18576582521,363972987514,536640602216,4643669922,5421563621,92044252902,2492757991,256553584894,117814685666,20419999975,434603299210,45520513988,24532900919,88663001654,35777582745,327181883,355664767308,10816280873,16240471565,421200194104,177368628,3385392651661,440481021792,,83505906858,1380176539305,147767804744,5804875706,1717481614,23478411356,16569739861,322055000370,63135715141,378823950050,1621565421,217766185000,3456165307,1739938865736,,4201847486703,29658826257,382941061858,8753439559,321923828725
1. Hàng tồn kho141,24478041178,363972987514,536640602216,4776851872,5437128738,95314531112,2492757991,315881287825,117814685666,20419999975,434603299210,45520513988,24532900919,89702001654,37730924231,327181883,356851023969,10816280873,16240471565,421271530449,898268297,3385392651661,440481021792,,83505906858,1381629287440,147767804744,5804875706,1717481614,24836439652,16569739861,323506740815,63135715141,378823950050,1621565421,217766185000,30843901727,1739938865736,,4206538358379,29658826257,382941061858,8753439559,321923828725
2. Dự phòng giảm giá hàng tồn kho 149,-5901458657,,,-133181950,-15565117,-3270278210,,-59327702931,,,,,,-1039000000,-1953341486,,-1186256661,,,-71336345,-720899669,,,,,-1452748135,,,,-1358028296,,-1451740445,,,,,-27387736420,,,-4690871676,,,,
V. Tài sản ngắn hạn khác150,1237000567,65327642152,5591290078,16703750,205761079,3353829461,261710675,1155186972,847554849,1046686892,12307454505,28503252736,122964666,8365085205,493824135,757022035,47200281739,7002135665,171338263249,3114787749,636611450,35900901551,10291161393,1157518504,156049824,111760995604,10925002909,723906155,8478980778,3757165743,32751491414,851976970323,244715308,18369689528,373307331,13969686435,3824949467,216646068537,235625084,22559294755,7314140221,15406670334,376723683,8238906659
1. Chi phí trả trước ngắn hạn151,13325756,10007940588,119586623,16703750,198721022,240475359,255994693,1155186972,847554849,1046686892,135907106,,,215735325,14296596,60020208,8353832602,6439843119,1455825312,384506421,348542264,1256534764,3850710971,1157518504,156049824,26363697305,9708259592,723906155,2994378943,97996432,3254941231,7925589771,,2583056222,373307331,1196297727,,28565737769,,18859184270,2643358116,6601803508,232257531,1572975596
2. Thuế GTGT còn được khấu trừ152,1223674811,55094565551,5411036061,,,2841189602,,,,,11802954780,28503252736,122964666,8149349880,21492335,,38610992557,562292546,41441833043,2693092402,15331176,29322653483,6292178772,,,84630032456,1216743317,,2436202485,3504942220,8570830408,842404406767,,15731518697,,12475790301,3573449467,162937801897,235625084,2781414661,4670782105,5806246487,31398857,
3. Thuế và các khoản khác phải thu của nhà nước153,,225136013,60667394,,7040057,272164500,5715982,,,,368592619,,,,458035204,697001827,235456580,,128440604894,37188926,272738010,3076315304,148271650,,,767265843,,,3048399350,154227091,9766253990,1646973785,244715308,55114609,,297598407,251500000,25142528871,,918695824,,2998620339,113067295,6665931063
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,2245398000,,,,,,,,,11159465785,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,17429593452,576612020287,207927405345,260412158423,6319311692,2004668154277,504286728993,100355100398,424194831377,115243215989,252145857362,293926736281,7552524169,164514728733,38619526212,26556740894,1793355759619,243443838640,4123003313619,789379572060,119183516828,2189832624316,181992203938,35062823068,23956891838,2185873898009,1569385634670,1135027994545,1985371612098,615710259210,1889058133530,13135534415775,141914450141,573186091148,288714374907,1446225677019,174403338431,11282338885301,18116778555,2805367424813,405442611223,196688685090,7531887097,164219835060
I. Các khoản phải thu dài hạn210,,4650631946,10000000,558500000,345325427,4432461340,,22222369898,,5000000,174741000,1462473600,,,,750000000,712299867501,30372365300,816004414613,454098657960,1293000000,74823455400,250460684,,,2851957849,541650950000,6013900425,139560493693,250000000,39110000000,1307037561491,,9228371547,,33764424599,,1254624687925,,117053467975,805000000,189000000,,339000000
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,927218166,,7268604900,93599714342,,,,,,,,,,28325781693,,,,,,,32856225599,,717300752042,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,399853991302,,,,,,,,5312025425,,,100000000,,,,,,,,,49982867975,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,647020000000,,337100850000,12091666658,,,,,,,,,,230000000,,,,,,,,526961104892,,,,,,
6. Phải thu dài hạn khác216,,4650631946,10000000,558500000,345325427,4432461340,,22222369898,,5000000,174741000,1462473600,,,,,65279867501,50972365300,385303850271,49653000000,1293000000,92323455400,250460684,,,3647360082,549229784000,701875000,111234712000,20000000,39010000000,1307037561491,,9228371547,,908199000,101500000000,10362830991,,67070600000,805000000,189000000,,339000000
