Mã CK,XDH,XHC,XLV,XMC,XMD,XMP,XPH,YBC,YBM,YEG,YTC,ABA
Kỳ/năm,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024,Năm/2024
Trạng thái hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Trạng thái kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,VAE,RSM,A&C,NVA,NVA,AASC,AVA,NVT,A&C,EY,A&C,
Ý kiến kiểm toán,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,Chấp nhận toàn phần,Chấp nhận toàn phần - Có đoạn ghi thêm ý kiến,
Ngày công bố báo cáo,03-04-2025,04-04-2025,26-03-2025,03-04-2025,14-03-2025,05-03-2025,27-02-2025,02-04-2025,29-03-2025,31-03-2025,18-03-2025,02-04-2025
Ngày ký kiểm toán,29-03-2025,02-04-2025,21-03-2025,29-03-2025,10-03-2025,24-02-2025,24-02-2025,28-03-2025,29-03-2025,31-03-2025,15-03-2025,
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,1000000000,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,1174150361,6911429001,62682742,15915890650,1346811738,6267428525,8999723050,5933675131,8996346276,347385723032,943030898,102415720749
1. Chi phí trả trước dài hạn261,1174150361,6911429001,62682742,13730160806,1346811738,6267428525,8999723050,5933675131,8996346276,42009118834,943030898,94150431806
2. Tài sản thuế thu nhập hoãn lại262,,,,2185729844,,,,,,3513354336,,1057502208
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,301863249862,,7207786735
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,857653985332,676073754112,155923744700,2943806215677,79970855981,384093066573,147968908552,1370459088190,623663590455,2512869600595,1028878873452,313228061480
NGUỒN VỐN,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,307469098777,310856852732,98761296475,2056167250386,37484830529,211222314391,3428412207,1232844954455,436428829368,1012991101726,849202263145,426878706856
I. Nợ ngắn hạn310,248712708429,280156595037,98761296475,1670995030456,36994190529,70771932008,3428412207,808971071743,313644381674,962985040933,849202263145,419095467366
1. Phải trả người bán ngắn hạn311,56675660747,72494919869,38254809308,416380036066,16948095272,188343810,1341512460,369127254313,60885247393,137590758890,223095219425,32967740811
2. Người mua trả tiền trước ngắn hạn312,34494306319,20357332653,24022301099,230512938503,11450953274,,34264109,78026793464,1009387714,13959803176,5601598661,1871848747
3. Thuế và các khoản phải nộp Nhà nước313,400000000,336142793,4167159001,9475294309,1068991038,2844727796,246076973,12758159075,72825296,40757934104,6085843950,10711830495
4. Phải trả người lao động314,7652525060,10342791924,7209719872,29021574869,1970589463,681676030,969189523,19638617303,4820457000,14383857602,4206934329,15139121880
5. Chi phí phải trả ngắn hạn315,6118347093,952791083,6582872876,106523341985,667356710,1625334045,349652153,13663517240,6049346415,78176209568,985726990,30260128299
6. Phải trả nội bộ ngắn hạn316,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn318,3317848498,,,780959190,,,,22863954,,,,622437643
9. Phải trả ngắn hạn khác319,95389176267,4032880323,5432222631,75336307842,629956247,1169130800,470264746,23139234450,1035789525,147901263340,481857778765,10120438629
10. Vay và nợ thuê tài chính ngắn hạn320,,171540932351,,788899990677,4258248525,64261494527,,292594631944,239771328331,527364096445,127369161025,313916040305
11. Dự phòng phải trả ngắn hạn321,,,12295955064,,,,,,,,,40542325
12. Quỹ khen thưởng phúc lợi322,44664844445,98804041,796256624,14064587015,,1225000,17452243,,,2851117808,,3445338232
13. Quỹ bình ổn giá323,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,,,,,,,,,,
II. Nợ dài hạn 330,58756390348,30700257695,,385172219930,490640000,140450382383,,423873882712,122784447694,50006060793,,7783239490
1. Phải trả người bán dài hạn331,,,,12976621022,490640000,,,141000000000,23022986928,,,
2. Người mua trả tiền trước dài hạn332,,,,,,,,,,,,
3. Chi phí phải trả dài hạn333,,,,45567351025,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn335,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn336,31301596670,,,,,,,,,,,
7. Phải trả dài hạn khác337,4486793678,,,6103191268,,,,,,,,
8. Vay và nợ thuê tài chính dài hạn338,22968000000,30700257695,,311490640000,,140450382383,,282873882712,99761460766,50006060793,,
