Mã CK,HOM,HOT,HPB,HPD,HPG,HPH,HPI,HPP,HPW,HPX,HQC,HRB,HRC,HSG,HSL,HSM,HSP,HSV,HT1,HTC,HTE,HTG,HTI,HTL,HTM,HTN,HTP,HTT,HTV,HU1,HU3,HU4,HU6,HUB,HUG,HUT,HVA,HVH,HVN,HVT,HVX,HWS,IBD,ICC
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,8000000000,87461616439,,,,,519831582432,116734284161,,,,72490000000,2000000000,,,,,,2342860000,,,106637024654,,120070000000,,6380000000,,5894421000,,,848963068,8500000000,29799000000,,8106630137,,,,,,
6. Phải thu ngắn hạn khác136,4979003944,1037381644,206417225,1340112187,1248992845378,392780731,26211226505,103320285347,10174324404,1874500999436,1666460529577,767591736,5399534485,87496782857,2409922344,1943009877,648495890,9500337945,62598746073,3942971346,5035609591,13093354258,4921827574,943732387,482167539759,643757466951,312164601532,8745057946,3817979296,194933273755,52541377635,39649375260,22459661671,15951114093,7947914828,3241928490359,140000000000,26663204530,2453682230335,12055636875,5523858969,7415511454,1826211228,1816073162
7. Dự phòng phải thu ngắn hạn khó đòi137,-6063334934,-632851500,-712869051,,-159993736285,,-626678964,-7883609441,-818527245,-88494680001,-45673403422,,-5370500000,-573170276,,-77354867360,,-4442554339,,-158800000,-7861315746,-5709989346,-1423236269,,-195194878098,-25820036067,-18108800000,-20855030474,-6889769858,-1306915926,-8956335382,-4507048348,,-46900887493,-4160039323,-156421719020,,-16430293984,-324282926492,-11045103142,-11479998701,-609851140,-190237500,-7176414164
8. Tài sản thiếu chờ xử lý139,730449163,,,,379714580,,,,,,1854112347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho140,89828377969,1823016168,19574947345,815197371,46091222189472,10639484192,225350066,231039732917,60587358753,2697132182543,1347463210302,,27383666199,9712417100426,3498566964,225327224305,69053625741,61821877501,646113879205,74445682940,41124918305,788055765802,1800148587,158076197053,32433451862,465504089256,57286273,,2733429705,65552322118,44993317111,606138658342,36706881167,138189789906,52777518032,3177372538020,,91287859520,3369443518711,136508989699,76164110377,57937053083,21927608530,11660148122
1. Hàng tồn kho141,89917424962,1823016168,19574947345,815197371,46192292081813,10639484192,225350066,234025138226,60587358753,2697132182543,1347463210302,,27383666199,10028722114986,3498566964,230291337335,69053625741,61821877501,656799316365,74490734369,42761499016,791169053920,1800148587,159346677837,32433451862,465504089256,102204696,5703503913,2733429705,65552322118,44993317111,606138658342,36706881167,138788342232,52777518032,3180337280522,,91287859520,3619259484775,137147889779,76164110377,57937053083,22306051791,12090785610
2. Dự phòng giảm giá hàng tồn kho 149,-89046993,,,,-101069892341,,,-2985405309,,,,,,-316305014560,,-4964113030,,,-10685437160,-45051429,-1636580711,-3113288118,,-1270480784,,,-44918423,-5703503913,,,,,,-598552326,,-2964742502,,,-249815966064,-638900080,,,-378443261,-430637488
V. Tài sản ngắn hạn khác150,18180599605,738747257,178982987,112310205,7072890925778,129075880,49348203980,5764209927,20583783830,19314149786,49858618677,,830569665,843833092822,2150205164,13296456334,121867250,221445832,50329849659,8142582498,560000,54423792027,,2417562558,27010153147,103216703284,204426887266,560409519,544846038,19519709219,1493976300,6045501323,481539636,17114106172,4579897195,189381304524,291077158,2555244703,1003985225583,6623899326,6462171061,26393442216,223760709,76739368
1. Chi phí trả trước ngắn hạn151,12293085659,738747257,,112310205,426149499088,,,1861899993,624891997,2352695567,,,,154842917113,36719484,1515961323,,219445832,30872305027,1784737643,,13026440121,,1009503382,13049229612,18451626048,22113142838,,,115197636,,,,907458228,,48589052714,103438166,23706266,631414414554,6623899326,4051214844,1593096740,223760709,73749368
2. Thuế GTGT còn được khấu trừ152,5507422507,,,,6636666459154,99092639,,3902309934,19774032043,16959683512,48133973321,,,560536071430,2113485680,7226193752,121867250,,19456982703,2010023348,560000,41397351906,,1353449595,13384931451,84765077236,182201485039,560409519,544846038,19363583231,,,182343263,7073580862,4579897195,89638042831,187638992,2489732868,371652202153,,1562084422,22657492901,,2990000
3. Thuế và các khoản khác phải thu của nhà nước153,380091439,,178982987,,10074967536,29983241,49348203980,,184859790,1770707,1724645356,,830569665,128454104279,,4554301259,,2000000,561929,4347821507,,,,54609581,575992084,,112259389,,,40928352,1493976300,6045501323,299196373,9133067082,,51154208979,,41805569,918608876,,848871795,2142852575,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,738497004273,56880134646,90578666591,142668709922,137815431280986,78195382478,1568538732945,381039334821,1402586126463,1421453054164,3426004573043,47570851140,735533902466,5391266415234,215939022572,719374038489,20239750619,24705211861,6319360390914,317101790422,111616149106,827156188678,1168214102579,55128372069,2078350428306,535432017901,4919958617439,184986531598,30053972417,126040740646,36615301204,7026579335,23863476334,435325242264,200882553037,16682948332648,1066762624,350993221751,40848918584426,455322889613,482633763370,1524264889409,6664436041,142616108893
I. Các khoản phải thu dài hạn210,15549698062,,,,923400123614,,,,,713701248117,1073454949401,,,214837184200,97575000000,13818739921,,,22685480453,7248541171,32742580845,3335572947,,30000000,7388210191,28710000000,1894481380,39847490000,,,,3449819000,,1064454267,,1274068077720,,33000000,1867877653419,,778614709,174024000,,
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,6278578591,,,,,,,,,,,6250000000,,,1895654945,,,,,
2. Trả trước cho người bán dài hạn212,,,,,82805287792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103618779409,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,146468248117,11597139401,,,,,,,,,,,2342860000,,,,,,,,,,,,,,30216000000,,,,,,,,
6. Phải thu dài hạn khác216,15549698062,,,,840594835822,,,,,567233000000,1061857810000,,,214837184200,97575000000,13818739921,,,22685480453,7248541171,32742580845,992712947,,30000000,1109631600,28710000000,1894481380,40022014000,,,,3449819000,,1064454267,,1138968330137,,33000000,1870610685816,,778614709,174024000,,
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,,,,,,,,,,,,,,,,-174524000,,,,,,,,-4985031826,,,-4628687342,,,,,
