Ngày ký kiểm toán,05-03-2025,29-03-2025,26-03-2025,28-02-2025,27-03-2025,27-03-2025,26-03-2025,24-03-2025,28-03-2025,26-02-2025,20-03-2025,28-02-2025,29-03-2025,22-03-2025,18-03-2025,25-03-2025,18-03-2025,22-03-2025,18-03-2025,24-03-2025,29-03-2025,28-02-2025,28-02-2025,28-03-2025,25-03-2025,25-03-2025,01-03-2025,20-03-2025,18-03-2025,21-03-2025,27-02-2025,03-03-2025,20-03-2025,27-03-2025,28-02-2025,12-03-2025,03-03-2025,24-03-2025,29-03-2025,06-03-2025,31-03-2025,26-03-2025,10-02-2025,17-02-2025,28-03-2025
CÂN ĐỐI KẾ TOÁNMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Phải thu nội bộ ngắn hạn133,,,,,,,637500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,17750000000,,,221300000000,,,,,,,,10000000000,,,24500000000,,,5200000000,,,81150000000,,14000000000,,,,,,,,,,,,54668416979,203408000000,6037714596101,,,73103204902,35096000000,,,
6. Phải thu ngắn hạn khác136,70801358659,155015116830,13647016988,15468833146,32001905782,3114972361,63749571528,1492511083,480628904,261536059,10305422226,45063708609,89001500571,457687558,85347141954,101415293933,629983861,4461949126,37293134761,455950817,12977872373,20067610000000,993154083000,448894918595,25755341976,3664272205,542362304,1632011881,10801397629,4078317314,1874489716,1133556858,1112185644,40556698,22522966506,67940769604,1114081771535,2430887848672,89596227757,6660956294,153457026885,13059730141,2040051843,3237644198,11048632691
7. Dự phòng phải thu ngắn hạn khó đòi137,,-11804755410,-7980593037,-15648000300,-59070000,-3324932139,-69686234029,-11785590926,,,-1391245980,-32192603258,-5666137908,,-116886763131,-877798819,-2317883333,-7814822508,-14399765071,-4271941808,-41883288682,-85092000000,-8664401000,-25556933745,-44796568500,,-908381599,-3864591955,-506465810,-258503000,-20911005439,,-551731429,,-9430336962,-9762406754,-363723523135,,,-19322537344,-69267375055,-4693989165,-1949873250,-1291373299,-377119000
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,,,,,,,,,,13557000000,,,,,,,,,,,,,,,4262828801,,,,157453436,,350029851,,
IV. Hàng tồn kho140,7176802146,120170589391,11797207820,367801995,,3053417699,732928803865,661752997522,16641723523,3163435720,81737071541,678801783008,690838681789,349712524,3934263118425,20288454566,10299746257,134268483,142994527681,21491880568,645400140922,10787396000000,2967555729000,1427884323,262467102844,1959141222,112555591,12312226541,6951967398,225340351,94487796273,124706062160,2343285472,533621047,363699025772,211373953829,485064150994,22244676326705,695756643086,19292576808,211153464465,739136355910,2937059976,36818582599,957007394
1. Hàng tồn kho141,7176802146,120170589391,11797207820,367801995,,4153016496,732928803865,692095891383,16641723523,3163435720,81737071541,709463277897,693695937967,349712524,3975233065192,36995516576,10299746257,134268483,142994527681,21822791351,653751351455,11001795000000,3071547193000,1427884323,262512611934,1959141222,112555591,12312226541,6951967398,225340351,102502721760,124706062160,2343285472,533621047,363970208166,216072394835,689383741794,22667774012643,695756643086,19292576808,212915333510,743349146847,2937059976,36818582599,957007394
2. Dự phòng giảm giá hàng tồn kho 149,,,,,,-1099598797,,-30342893861,,,,-30661494889,-2857256178,,-40969946767,-16707062010,,,,-330910783,-8351210533,-214399000000,-103991464000,,-45509090,,,,,,-8014925487,,,,-271182394,-4698441006,-204319590800,-423097685938,,,-1761869045,-4212790937,,,
V. Tài sản ngắn hạn khác150,2925644986,8079770110,2502920624,2156805012,3963691530,2714417080,47793723609,14094234156,629165139,,446742179,345444026522,129177906256,1944563893,190584161488,17718241,3122000012,158105493,12268752015,877936375,73100470767,1691806000000,682220068000,736489201,36092505637,100676959,40265133,3726333311,1225019802,,10683296365,7376163373,535031464,53616833,16827601542,10090625208,764243961132,544076771514,89132721499,614708995,58011630057,8396000028,3215371298,1003928890,1485715750
1. Chi phí trả trước ngắn hạn151,2144492379,26587500,1702424,,173571435,1291536594,3691891240,3616182620,370876086,,446382533,115112522869,14263429411,1795458647,15122493856,77419,2987811649,158105493,2560564013,367248939,5739463074,342284000000,36157125000,44997470,22176035504,,36543321,1043846558,306459692,,638179656,4467476200,231739744,53616833,3782925371,5503786372,79824461633,390391360669,7401673627,597317612,8447165140,3108368785,646804435,885125596,231531286
2. Thuế GTGT còn được khấu trừ152,,7948559223,2388013954,,2650533696,2240000,43611708146,10366262005,185049710,,,225589226239,111099661541,,151069487303,17640822,,,9708188002,510209497,61619852203,1232869000000,646062943000,,11986756184,100676959,,2682486753,878395602,,9567301840,2668902218,,,9303644966,4586838836,545190547000,121055116270,81731047872,17391383,49520080428,5245907999,2568566863,,
3. Thuế và các khoản khác phải thu của nhà nước153,781152607,104623387,,2156805012,1139586399,1420640486,490124223,111789531,73239343,,359646,4742277414,3814815304,149105246,24392180329,,134188363,,,477939,5741155490,116653000000,,691491731,1929713949,,3721812,,40164508,,477814869,239784955,303291720,,3741031205,,139228952499,32630294575,,,44384489,41723244,,118803294,1254184464
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,113204246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
