Mã CK,S99,SAB,SAC,SAF,SAL,SAM,SAP,SAS,SAV,SB1,SBA,SBB,SBD,SBG,SBH,SBL,SBM,SBR,SBV,SC5,SCC,SCD,SCG,SCI,SCJ,SCL,SCO,SCR,SCS,SCY,SD2,SD3,SD4,SD5,SD6,SD7,SD9,SDA,SDC,SDD,SDG,SDJ,SDK,SDN
V. Đầu tư tài chính dài hạn250,43040322683,3672561077153,620000000,,,2128411870625,,254547400569,145571146271,,,207227062473,7902423291,,,,,22000000000,,13018155110,500000000,6500000000,,,,800450000,4889250613,1145063535571,,246787983015,600000000,4964352000,6678073821,,1444696217,70289553106,5342886611,56261221382,550134564,,13200569158,42000000,,715047543
1. Đầu tư vào công ty con251,,,,,,,,,,,,,-9998000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",11490322683,2304838560802,300000000,,,1275341347025,,176277281987,13120448561,,,186560212473,10466393955,,,,,,,,,,,,,,,79230350571,,246787983015,,,,,,41746413455,,72692905914,,,,,,
3. Đầu tư góp vốn vào đơn vị khác253,30550000000,410929271916,620000000,,,853070523600,,107246251500,145571146271,,,22166850000,1200000000,,,,,,,13018155110,500000000,6500000000,,,,800450000,12801833320,1066648136584,,,600000000,4900000000,10445280000,,3102000000,34801758778,31412940000,86674400000,2950134564,655045455,15538428158,189500000,,819000000
4. Dự phòng đầu tư tài chính dài hạn254,,-378706755565,-300000000,,,,,-28976132918,-13120448561,,,-1500000000,6234029336,,,,,,,,,,,,,,-7912582707,-1614951584,,,,-935648000,-3767206179,,-1657303783,-6258619127,-26070053389,-103106084532,-2400000000,-655045455,-2337859000,-147500000,,-103952457
5. Đầu tư nắm giữ đến ngày đáo hạn255,1000000000,1335500000000,,,,,,,,,,,,,,,,22000000000,,,,,,,,,,800000000,,,,1000000000,,,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,197601853484,682574707770,,160000000,6097255910,74156944940,6558440506,26167990674,10661403287,18997378762,25778381200,72919882765,9495446011,13491637459,15185674361,1153946016,5906625910,152467675683,50190108722,8539600101,,57965782730,5608889487,4034817954,153725243019,6459075588,28037299,322129364290,63242435051,2121781821,894906011,27669469504,2758922741,37093428613,11421212,16635764924,10034978878,21228953,1765846551,655432375,10648653402,29448863,,54393655219
1. Chi phí trả trước dài hạn261,112760923538,455034726932,,160000000,6097255910,69458292987,6558440506,18557234125,10661403287,17071079563,23365980291,52956761638,9481207469,4258320761,1897559723,1153946016,2769495445,151987638268,41901497752,8539600101,,52935359736,5436008658,4034817954,153725243019,6459075588,28037299,274934932955,61436526774,2121781821,894906011,21946645998,2758922741,36051473835,11421212,16635764924,9624447116,21228953,1765846551,655432375,8626105123,29448863,,54170970034
2. Tài sản thuế thu nhập hoãn lại262,6062988996,198506939397,,,,,,7610756549,,1926299199,,,14238542,785488839,,,,480037415,8288610970,,,4951513114,172880829,,,,,,,,,402244203,,1041954778,,,410531762,,,,61809007,,,222685185
