Mã CK,GMC,GMD,GMH,GMX,GND,GPC,GSM,GSP,GTA,GTD,GTS,GVR,GVT,H11,HAD,HAF,HAG,HAH,HAI,HAM,HAN,HAP,HAR,HAS,HAT,HAX,HBC,HBD,HBH,HC1,HC3,HCB,HCC,HCD,HCI,HCT,HD2,HD6,HD8,HDA,HDC,HDG,HDM
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,188631780612,11324285547308,25423427814,103078102348,94117165520,290324814360,631534502226,1065596007268,33435567405,51613358252,188106067167,55713396594398,227376708511,243275440,19365200815,180475497237,13845458167000,5536685012719,248840494394,452149440502,1366283079023,1283396964605,762993686911,23513915036,49732271499,1093282427954,1676967288663,23390943848,100607736322,94285469781,221102843128,132378650631,39483301227,203146980644,86023252027,9990144012,14535051036,201456071541,8298944492,173959036663,2556791126195,10621698175781,316780688703
I. Các khoản phải thu dài hạn210,,44670549888,,2767750892,1574176336,556250000,,1559272946,,,5900310978,607786542911,,,,290030959,1293470367000,112904900000,388529242,76857360000,2680500000,269048220000,,,,6235488612,256105017022,,,,,,,,57008100,,11163433059,,,,7400000,286990121231,921021869
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,3049584972,,,,,,,,59431050000,,,,,,2475438612,,,,,,,,,,,,,,,,264752024741,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,8100000000,,,,,,,,,,787511137957,,,,,46813199000,,,,,268918500000,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,,36570549888,,2767750892,1574176336,556250000,,1559272946,,,5900310978,214871963977,,,,290030959,1246657168000,112904900000,388529242,29312520000,2680500000,129720000,,,,3760050000,256105017022,,,,,,,,57008100,,11163433059,,,,7400000,22238096490,921021869
