Mã CK,BTH,BTN,BTP,BTS,BTT,BTU,BTV,BTW,BVG,BVL,BVN,BWA,BWE,BWS,BXH,C21,C22,C32,C47,C4G,C69,C92,CAD,CAG,CAN,CAP,CAR,CAT,CBI,CC1,CC4,CCA,CCC,CCI,CCL,CCM,CCP,CCR,CCT,CCV,CDC,CDG,CDH,CDN,CDO
I. Các khoản phải thu dài hạn210,,,,13410090921,115000000,,1529525000,366696346,,7044493683,,,1078177769363,,,154677589685,,104584126257,26678657315,24447116817,18900000000,370136000,,526902200,670164171,,579666372,1314500000,27287332371,2041326561283,153714764757,,,187000000,62750531709,6050000000,,100000000,72000000,3000000,156496158000,3099420000,,,58636227007
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,36166093916,,,,,,,,,,,,,,,,,,,85790209,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,,526902200,,,,,,,,,,,,,,,,,138856500000,,,,57869697007
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,128076000000,,,4874739720,,,,,,,,,,,,,,140816739678,128000000000,,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,,,,13410090921,115000000,,1529525000,1524665431,,7371493683,,,950101769363,,,113636756049,,104584126257,26678657315,24447116817,18900000000,370136000,,,670164171,,579666372,1314500000,27287332371,1900509821605,25714764757,,,187000000,62664741500,6050000000,,100000000,72000000,3000000,17639658000,3099420000,,,766530000
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,-1157969085,,-327000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,46086235,50015355649,231917253474,2216788630986,247252910645,11741081974,48488463102,196427404258,,25689364280,43353911904,16845958642,4959558234776,749524201893,2985544426,43466864988,29909914445,138280196283,470091251981,2188778452106,34478233245,25310568175,5657159823,49084657048,40860091080,21473979949,27922872006,71639639737,936011573937,205955783175,113337397345,61733096208,76481562288,20185155522,8077364445,283256984995,1102745133,259122294183,194970029387,5958640561,12289166804,27844781785,20792021351,1440451541451,14499402605
1. Tài sản cố định hữu hình221,46086235,50015355649,230312711275,2213039411627,138961567157,11741081974,47275703887,194346970559,,25689364280,41609894666,16729252642,4850754938348,748598586401,2985544426,33565087707,29873114450,86624081227,366452087825,2088864455788,34069899920,19521700891,5657159823,46033081334,28049243878,21473979949,16272513577,71154302542,932964832026,76245586569,100178332252,45452418688,68136996876,14459602367,5729485601,255396988620,1102745133,258493099215,190744938490,5035814984,12289166804,27844781785,20792021351,1334255730696,14499402605
- Nguyên giá222,82492929,92503439339,2777120535697,7304093251472,253395996315,37752809444,167876492650,495807472999,154286000,68399048701,92011120598,63250013981,10322009505221,1984009340802,96811718997,183823155804,137343937627,257676943045,1258875527901,3343905063343,104691052207,114662333064,73237365904,188346597736,147579264893,184239752127,39445783676,195936364272,2011925268238,2483461278650,154893218392,245086186278,104530370816,58479265657,16034032021,563054148475,31598811077,569015248259,478400969517,23928085174,37570700456,71767540342,65933928159,2969020219152,22151787115
- Giá trị hao mòn lũy kế 223,-36406694,-42488083690,-2546807824422,-5091053839845,-114434429158,-26011727470,-120600788763,-301460502440,-154286000,-42709684421,-50401225932,-46520761339,-5471254566873,-1235410754401,-93826174571,-150258068097,-107470823177,-171052861818,-892423440076,-1255040607555,-70621152287,-95140632173,-67580206081,-142313516402,-119530021015,-162765772178,-23173270099,-124782061730,-1078960436212,-2407215692081,-54714886140,-199633767590,-36393373940,-44019663290,-10304546420,-307657159855,-30496065944,-310522149044,-287656031027,-18892270190,-25281533652,-43922758557,-45141906808,-1634764488456,-7652384510
2. Tài sản cố định thuê tài chính224,,,,,,,,,,,,,,,,,,,102800132215,89137600379,,5788867284,,,,,,,3046741911,86482775894,,,,,,,,,,,,,,,
- Nguyên giá225,,,,,,,,,,,,,,,,,,,124957200262,132976798302,,6854370370,,,,,,,4302047271,96782368054,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế 226,,,,,,,,,,,,,,,,,,,-22157068047,-43839197923,,-1065503086,,,,,,,-1255305360,-10299592160,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình227,,,1604542199,3749219359,108291343488,,1212759215,2080433699,,,1744017238,116706000,108803296428,925615492,,9901777281,36799995,51656115056,839031941,10776395939,408333325,,,3051575714,12810847202,,11650358429,485337195,,43227420712,13159065093,16280677520,8344565412,5725553155,2347878844,27859996375,,629194968,4225090897,922825577,,,,106195810755,
- Nguyên giá228,,,7373139309,8157795000,108761305988,,5038021044,6592603520,,,2342928266,545000000,126094296002,3158462319,264450000,19815778679,515461503,97082117904,3197099393,12818582128,919000000,,80000000,3051575714,15055562202,171000000,11872500000,788499886,,51428451373,23216137460,24989372255,8615898759,8186757550,2403925844,38293730405,,955375660,8055335602,3117176200,,,,124306358546,100000000
- Giá trị hao mòn lũy kế 229,,,-5768597110,-4408575641,-469962500,,-3825261829,-4512169821,,,-598911028,-428294000,-17290999574,-2232846827,-264450000,-9914001398,-478661508,-45426002848,-2358067452,-2042186189,-510666675,,-80000000,,-2244715000,-171000000,-222141571,-303162691,,-8201030661,-10057072367,-8708694735,-271333347,-2461204395,-56047000,-10433734030,,-326180692,-3830244705,-2194350623,,,,-18110547791,-100000000
III. Bất động sản đầu tư230,81881419795,,,,,,21839667298,,,229888330974,20309236924,,,,,4884439355,,6276975147,,115210209118,1203125021,,,,,,,,,431278555814,142637403496,,,123099370083,30219649571,,,,,,37237596336,,,,
- Nguyên giá231,82818993301,,,,,,36741573937,,,252842511502,62450451495,,,,,38102379801,,12897169473,,146028558568,3500000000,,,,,,,,,703185813821,226935142429,,,285398142447,43445163071,,,,,,65399041982,,,,
- Giá trị hao mòn lũy kế232,-937573506,,,,,,-14901906639,,,-22954180528,-42141214571,,,,,-33217940446,,-6620194326,,-30818349450,-2296874979,,,,,,,,,-271907258007,-84297738933,,,-162298772364,-13225513500,,,,,,-28161445646,,,,
IV. Tài sản dở dang dài hạn240,,,1989959183,117872150374,901131819,,,5576579738,,,20706705386,20427316355,985280885393,42393613627,,145630267755,,2476021574,1451381384,28454088912,1232159355,,1561600000,643405800,,3649987888,277850000,2500000000,34652068562,2852800313845,104293282925,,280500000,99352696440,102573552627,16489180572,,2237787979,60567592771,,119870710830,235628896,,42238562761,50253859099
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,,,,,,,,,143227675755,,,,,,,,,,,,,,,,,,,102573552627,,,,,,119780086830,,,,
2. Chi phí xây dựng cơ bản dở dang242,,,1989959183,117872150374,901131819,,,5576579738,,,20706705386,20427316355,985280885393,42393613627,,2402592000,,2476021574,1451381384,28454088912,1232159355,,1561600000,643405800,,3649987888,277850000,2500000000,34652068562,2852800313845,104293282925,,280500000,99352696440,,16489180572,,2237787979,60567592771,,90624000,235628896,,42238562761,50253859099
V. Đầu tư tài chính dài hạn250,,,447250927800,,64280304652,,63857609188,,17899123595,11640537225,5934308606,,2277680400117,55469788884,,360663383288,,183291383508,,569066446735,75333302416,,,3120708813,,,,5500000000,,754483888148,616100000,20000000000,96500000000,32450000000,,62770000000,,1170000000,4274373443,2270000000,71847288275,,,31963257649,34055909538
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,,173750000000,,20995113083,,72639096097,,,11986812225,6524366514,,1662816035837,28591417984,,151503873227,,145307218853,,330935213735,37833302416,,,,,,,,,700990390326,,,66500000000,30000000000,,5347894510,,,4497251573,,71847288275,,,30089813149,
