Mã CK,TVN,TVT,TW3,TXM,TYA,UCT,UDC,UDJ,UDL,UEM,UIC,UMC,UNI,UPC,UPH,USC,USD,UXC,V11,V12,V21,VAF,VAV,VBC,VBG,VBH,VC1,VC2,VC3,VC6,VC7,VC9,VCA,VCC,VCE,VCF,VCG,VCM,VCP,VCR,VCS,VCT,VCW
6. Phải thu ngắn hạn khác136,299957265409,3862975369,3828133789,6995658570,5819226203,1372448074,49976385521,2653013817,1829654769,15101004,1710901389,1546378303,7377633843,8272214646,6437509409,42586472546,7380724614,30199168342,35860916015,169808962288,105143538074,4866316588,1312062375,196890888,2300926204,6774203225,137845788995,398646898026,223676940293,18366296697,262208100932,88410809627,112250000,93871478847,321054005,262699383,1079765523825,6009488628,129158053063,85894530694,5745573306,5045068122,73385550106
7. Dự phòng phải thu ngắn hạn khó đòi137,-567128569034,-9258942230,-1370380008,-4399683027,-1023959288,,-53613142703,,-154655106,,-7495705059,,-107236800,-2036496040,-22113618763,,-2073263116,-161296458166,-14310369182,-42567111999,-1981838464,-1861071253,-8047373105,-626567388,-982087223,-10493606624,-84992051514,-79811994167,-42032124935,-34689945136,-19516800673,-28829121149,,-12798975496,-332662855,,,-1965979095,-56502761458,-1125000000,-23672404888,-18991483555,
8. Tài sản thiếu chờ xử lý139,189731091,,,,,,2160384,,,,,,,,,,,,236917630,,,,,,,,,,,,,,,,,,-513816032535,,,,,,
IV. Hàng tồn kho140,5465532860711,515042375673,31908480315,,281460862454,2788265229,242216689591,162615115351,2876072063,33462708375,99287945041,214087199,461641532569,36717863099,199231781635,36536155880,35171946456,611822789340,,11442702544,92036121791,440916580657,17035058353,85777310826,2942812074,160711335,247767055467,342455153414,1955181535421,417564840236,36879771631,206886717156,194766173064,423258183120,15735697785,277313308529,7089806775076,10952098200,203987020903,10865869487,1816451063141,4498917327,31514809530
1. Hàng tồn kho141,5544788946843,525374478838,31960940286,,283728534516,2788265229,280282939617,162615115351,3556363932,33462708375,99287945041,214087199,461641532569,36717863099,201768051752,36536155880,35171946456,611822789340,40190611,11442702544,92036121791,440916580657,17794131893,85777310826,2942812074,160711335,247767055467,342455153414,1955181535421,422923544139,36879771631,206886717156,194766173064,423258183120,15735697785,280927425905,7123958365622,10952098200,203995816903,10865869487,1854125512763,4498917327,35023035635
2. Dự phòng giảm giá hàng tồn kho 149,-79256086132,-10332103165,-52459971,,-2267672062,,-38066250026,,-680291869,,,,,,-2536270117,,,,-40190611,,,,-759073540,,,,,,,-5358703903,,,,,,-3614117376,-34151590546,,-8796000,,-37674449622,,-3508226105
V. Tài sản ngắn hạn khác150,854220780031,9081337794,979439873,642628449,32364444758,,12646945139,43527561,,60721573,2303858526,494756793,9275997726,3596195794,521082688,3562905524,1211154011,2083633227,,1048471113,16865375055,13775968785,507404842,15316643955,3985568649,301916619,,10534099854,81417452289,43345032690,2039931984,9781185048,8623874476,9442564261,2592386,1332303247,488619892344,3576052592,17019900847,163766019306,75113308506,4141347,64463999698
1. Chi phí trả trước ngắn hạn151,76680554461,1868244756,21032553,21000000,3067211126,,219099678,,,60721573,1256059383,18533969,8925000,3465335749,97400000,1301215179,990189476,233167708,,27756886,225000000,13429631912,,1146486631,3985568649,261916619,,9303254628,14750967420,211953734,142732827,67204317,1450964295,3549773732,686831,1213088001,9590900843,216298088,9320343405,421154967,3431668832,,105805552
2. Thuế GTGT còn được khấu trừ152,718821285681,5249984741,6700,23052196,28929537977,,1855926275,,,,728488969,,9266578696,,146265258,1859159577,,1650510922,,941871307,14984812026,346336873,507404842,13574876376,,,,464797196,66666484869,43133078956,1879391487,7010994236,6821824649,5892790529,,,390912373559,3359754504,7354386280,157752124257,71681639674,4141347,64358194146
3. Thuế và các khoản khác phải thu của nhà nước153,58718939889,1963108297,958400620,598576253,,,10571919186,43527561,,,319310174,476222824,494030,130860045,277417430,402530768,220964535,199954597,,78842920,1655563029,,,595280948,,40000000,,766048030,,,17807670,2702986495,351085532,,1905555,119215246,16941810138,,345171162,5592740082,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,367695655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71174807804,,,,,,
B. TÀI SẢN DÀI HẠN200,12237359671562,410804248562,16503755086,312484560,82510129581,4763146351,406658958570,190137981199,126906282982,14539040473,298348075262,10992804626,,61332712734,94104163912,35321861363,45563197485,98576871585,201823643559,54951767950,82607540255,39944204476,539132725792,72872896562,23166763254,2181159166,82427861703,632370804450,446124038305,93108192093,1070498868942,210846065893,25094356797,65875570919,,1645959160230,11752116596955,29607146940,3602136339830,4888728218616,993523472901,12316759129,3478663521504
I. Các khoản phải thu dài hạn210,65878348952,110000000,58299536,,,,7738102649,,,,,1617024857,,,3761660200,100000000,1092102999,,,17256740230,32288000,,,,,,50000000,,268041096136,20000000000,680230420000,,,5593844787,,1403259232877,59228103227,550000000,545199534400,971460289,836798010,,164838000
1. Phải thu dài hạn của khách hàng211,,,58299536,,,,,,,,,,,,,,,,,,,,,,,,,,18020096136,,,,,,,,,,,,,1180688411,
2. Trả trước cho người bán dài hạn212,21046613341,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000000000,,,,,,,,50000000000,,,,,,
