Mã CK,LGM,LHC,LHG,LIC,LIG,LIX,LKW,LLM,LM3,LM7,LM8,LMC,LMH,LMI,LNC,LO5,LPT,LQN,LSG,M10,MA1,MAC,MAS,MBG,MBN,MBT,MCC,MCF,MCG,MCH,MCM,MCO,MCP,MDA,MDC,MDF,MDG,MEC,MED,MEF,MEL,MES,MFS
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100000000,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,7291160010,12465908902,,,359312856281,,,,,6157568000,,,,,,340000000000,,,,,6000000000,,,,,9333020468,244977123287,,,64940000000,,,,500000000,2659332458,,,,,
6. Phải thu ngắn hạn khác136,744241463,35495313302,287889833149,417724074353,693593315587,4469686173,678337662,470920424895,27269898325,6221401714,27479907874,8406575440,27610410947,1582149132,571889181,9991617326,2595956546,5982405017,23895698240,12769511997,734020452,4914332559,920911829,91958824,1807572372,,249612200,4105520,67460324275,99426655667,50608993416,23539772871,643291977,3112690636,19509175604,1524485662,129072748393,82425056917,4367805257,4055947450,4538122403,9281468639,18011984967
7. Dự phòng phải thu ngắn hạn khó đòi137,-10663899949,-31617171577,-245454545,-388890346744,-32243875117,,-119244294,-1233474285260,-50500860651,-2269322463,-8159039988,,-239735929799,-14173017987,-145736800,-11763747755,-154831000,-3079555953,,-109011711669,-986716072,-623753208,-2555229763,-12849934099,-1625374703,,-1874763340,-1715658500,-91186691104,,-155100000,-14718703377,-5509559586,-95704184,-14206579151,-1919105132,-38615233228,-32150897270,-3035453385,-42180300,-6259101930,-6323523607,-334011610
8. Tài sản thiếu chờ xử lý139,946676507,,,494397715,,,,,71948894881,,,,,,,4248153492,,,,,,,,,,,,,,,,,,,,16634930694,,16777024919,,,,,
IV. Hàng tồn kho140,2824191594,143920667536,827775895451,479379168966,569398906174,230963578690,1238466822,439300807573,21334800513,54243291194,457178996560,2513053791,69809321543,43409141192,15109262666,167197668607,81650141678,24174906379,,797655790886,185129535,3849171437,4970977219,413196180869,4402115697,,7395727852,131297065754,44152104546,2582184604799,172386603573,17822019157,61637465146,5946702761,53095917917,156680388830,15635621701,117811064678,87539703698,47616552925,533421737149,3001449215,447270650
1. Hàng tồn kho141,5170278725,145471472405,827775895451,501951713836,569398906174,230963578690,1238466822,439300807573,21334800513,54243291194,457178996560,2687235975,69809321543,43409141192,15846900494,167197668607,81650141678,24174906379,,801653718890,185129535,3887038391,4970977219,413196180869,4402115697,,7548661082,131297065754,44152104546,2628204413540,172957909407,17822019157,61637465146,5946702761,53095917917,159646407717,15635621701,117811064678,87539703698,54173471028,533421737149,3108525203,447270650
2. Dự phòng giảm giá hàng tồn kho 149,-2346087131,-1550804869,,-22572544870,,,,,,,,-174182184,,,-737637828,,,,,-3997928004,,-37866954,,,,,-152933230,,,-46019808741,-571305834,,,,,-2966018887,,,,-6556918103,,-107075988,
V. Tài sản ngắn hạn khác150,3265252165,7009968950,13512128359,33511083166,40346946741,102312435455,573192855,118637167909,303896973,,5550822268,225304586,913467639,2238928492,82997357,,8728551038,104811417,43858275384,78717912032,840623906,2552611273,3065278105,14041907316,123298721,4881332,590990594,624533903,3861005489,64341762546,16247831429,865101544,1171668490,50146497,23344394705,7808837037,4810803072,19908228833,11776694528,3513070247,4068594717,290727189,1622561961
1. Chi phí trả trước ngắn hạn151,73865096,296244632,755709778,3768598247,1678033068,2132455234,,1074581469,,,5122234839,17112395,,,,,229878669,104811417,3870457,4946104313,192642319,308460417,2763274888,58024687,,4881332,,624533903,38158712,22102530593,8936379971,5657678,1110059023,50146497,17783381007,7808837037,247324294,290129652,239809602,77104035,,,1622561961
2. Thuế GTGT còn được khấu trừ152,2969790706,6591732881,12740355974,25450679328,38570564995,96644863821,559417870,47297529829,284062643,,,208192191,913467639,2238928492,,,8498672369,,43854404927,71268657088,,2244150856,241411738,13336270841,,,62233632,,3822239970,40617740102,,,,,,,3054227561,19618099181,11493179482,2460379385,2295496057,117010079,
3. Thuế và các khoản khác phải thu của nhà nước153,221596363,121991437,16062607,4291805591,98348678,3535116400,13774985,70265056611,19834330,,428587429,,,,82997357,,,,,2503150631,647981587,,60591479,647611788,123298721,,528756962,,606807,1621491851,7311451458,859443866,61609467,,5561013698,,1509251217,,43705444,975586827,1773098660,173717110,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,64437311430,589111617186,897805540546,2452028605201,2349715645434,477913397800,47892087632,858796682588,25929266571,18546216073,133342699103,2408899,500000,57362008369,228447935345,43176199456,28221364001,22590234078,1869002517890,561029711581,202329955670,83550832856,38057222124,417511947179,95458980169,34623772603,68712846823,24246779852,1231709965226,17506203219904,571747101640,48651816077,23476402417,7418968279,696495384826,715628767471,101141797317,224862964713,250674501204,79056343283,72811833796,133033795847,7509991090
I. Các khoản phải thu dài hạn210,50122000,3202601466,3808208896,2316653354,228115430311,,,8742000000,24000065063,,1523052350,,500000,,232114300,,,1371721596,526075442466,9640991997,,38101128276,112820000,,,90000000,2144992790,536000000,7000000,10363272538890,90000000,41000000,5250000,,20896779097,,3073154830,48000000,4293135000,,,21292238604,4965973224
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,3438704091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,5000000000,,27000000000,,,,,,,,,,232114300,,,,471000000000,,,,,,,,,,,3891769338195,,,,,,,,,,,,,
6. Phải thu dài hạn khác216,50122000,3202601466,3808208896,2316653354,197676726220,,,8742000000,24000065063,,1523052350,,500000,,,,,1371721596,55075442466,9640991997,,38101128276,112820000,,,90000000,2144992790,536000000,7000000,6471503200695,90000000,41000000,5250000,,20896779097,,3073154830,48000000,4293135000,,,21292238604,4965973224
7. Dự phòng phải thu dài hạn khó đòi219,,,-5000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Tài sản cố định220,1118361115,372307673613,57943479004,236951239111,232530754844,415503443604,37449029035,119849239374,579141750,7920663403,81056537089,,,37959238077,190022389230,41857108411,22762718605,12339753856,371515324,434081062335,12183210190,33819932422,34718371066,34506572164,90110395314,55000000,989857573,23586536624,235493905593,5249161875367,366583594443,7058015858,17047423327,6810767012,481858262504,670599928448,19074575878,214065193065,34441460600,77055618520,62201939809,65001557243,1395471077
1. Tài sản cố định hữu hình221,1118361115,355304531029,55329906618,205410245818,144302036320,377663023777,37251666132,100995565524,579141750,2264485568,69223086370,,,37735852521,190320871615,41857108411,21858302148,10207203856,371515324,433015812558,12183210190,33186300422,34169505064,34425861712,90110395314,55000000,989857573,23524697742,235493905593,4535134325344,366583594443,6948015858,17047423327,6810767012,481643136402,670245646782,18410475878,212445193065,34422279360,76951892326,57311752055,51565580243,1395471077
