Mã CK,VIR,VIT,VIW,VJC,VKC,VLA,VLB,VLC,VLG,VLP,VLW,VMA,VMC,VMD,VMG,VMK,VMS,VMT,VNA,VNB,VNC,VNE,VNF,VNG,VNH,VNI,VNL,VNM,VNP,VNS,VNT,VNX,VNY,VNZ,VOC,VOS,VPA,VPD,VPG,VPH,VPI,VPR,VPS
- Giá trị hao mòn lũy kế 226,,-60035081497,,-354785685564,,,,,,,,,-7198128601,,-691164000,,,,,,-448525587,,,-206300872,,,,,,-64946187610,,,,-21595557821,,,,,,,,,
3. Tài sản cố định vô hình227,,10081897584,27307387886,55364521836,7570963578,742284810,,407343847685,,,271491395,45388127,3621155632,31827446299,2976646612,,2377083307,14624615014,,,14070147658,31446480424,283900000,120111408322,,,26386250000,1030363831722,,271258059,1109752509,,1198542996,155711542312,539677551,8633982496,,5071994029,333037080015,,5317052856,,5467591325
- Nguyên giá228,,21146948640,32592391815,108623042127,11724155677,989713110,474300000,695143808579,,,856768985,1046740000,3724581000,45801634957,4668279000,,3200000000,14624615014,664654500,231467000,18856420684,36524143848,2850272679,154997703374,,,26670000000,1466192051516,3057090120,2414221000,3701073186,54000000,2416877460,1010926532609,4790083240,12287768680,,6871318875,333037080015,30499300,9979779754,,9002032847
- Giá trị hao mòn lũy kế 229,,-11065051056,-5285003929,-53258520291,-4153192099,-247428300,-474300000,-287799960894,,,-585277590,-1001351873,-103425368,-13974188658,-1691632388,,-822916693,,-664654500,-231467000,-4786273026,-5077663424,-2566372679,-34886295052,,,-283750000,-435828219794,-3057090120,-2142962941,-2591320677,-54000000,-1218334464,-855214990297,-4250405689,-3653786184,,-1799324846,,-30499300,-4662726898,,-3534441522
III. Bất động sản đầu tư230,,,125493520982,,,,,,,,,,21732299879,60742297625,,,,370390692,2640417397,6953591677,,102393877459,,,,238975484719,,53617793172,,,,,,,4023778918,,,,141607075994,9461637935,316040808248,72155152121,
- Nguyên giá231,,,218641328982,,,,,,,,,,23866615263,103327212088,,,,2225980778,23700004651,33453922441,,102393877459,,,,238975484719,,98822678885,,,,,,,11797057729,,,,142860938136,19282898979,350478849678,90981761063,
- Giá trị hao mòn lũy kế232,,,-93147808000,,,,,,,,,,-2134315384,-42584914463,,,,-1855590086,-21059587254,-26500330764,,,,,,,,-45204885713,,,,,,,-7773278811,,,,-1253862142,-9821261044,-34438041430,-18826608942,
IV. Tài sản dở dang dài hạn240,,39246500,63515617270,3545355583661,,,199126025,884968336598,1241512034,,44702223536,,9001562600,33904886333,1024062000,20856428438,50688043272,396579500,1224343997,6000000000,266597996,671987352064,,412037903998,,110375182298,,1539776005637,,,740928990,,,124460319099,,,,3847847480,75927957797,152574344957,2537506753862,4715743075,3889096278
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn241",,,,,,,,20571420405,,,,,9001562600,,,,,,,,,79857851629,,,,18500345631,,404666242750,,,,,,,,,,,,138511236903,1878856830103,,
2. Chi phí xây dựng cơ bản dở dang242,,39246500,63515617270,3545355583661,,,199126025,864396916193,1241512034,,44702223536,,,33904886333,1024062000,20856428438,50688043272,396579500,1224343997,6000000000,266597996,592129500435,,412037903998,,91874836667,,1135109762887,,,740928990,,,124460319099,,,,3847847480,75927957797,14063108054,658649923759,4715743075,3889096278
V. Đầu tư tài chính dài hạn250,,12000000000,69679711880,149417024400,,,,252487650621,11432820000,,7210754818,,25690000000,8991256348,,,11713764385,,309068,4322500000,1375696081,39687484993,354219120923,391240191497,,,50020971705,1373189677193,140529446545,10000000,164083424674,,,1799070429320,426348502162,26938288613,,1950000000,37480000000,133168548643,1592252879397,41705076000,4126328406
1. Đầu tư vào công ty con251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh252",,12000000000,67108147573,,,,,172403931021,11432820000,,6910754818,,,,,,,,,4322500000,1375696081,11184577355,338161220596,232821853470,,,50686493302,622223692780,140529446545,,137638184674,,,838762505786,378763488686,23528127778,,,,126168548643,1592252879397,,4126328406
3. Đầu tư góp vốn vào đơn vị khác253,,1300000000,15130617383,149417024400,36000000000,,,22378531927,1000000000,,300000000,,6062500000,18730978694,,,33594400000,,1437338,,,30823808160,14057900327,156956017810,,50000000,726150000,94548675081,,,23445240000,,866640000,734431898405,,3534942000,,1950000000,33480000000,,,44425021626,
4. Dự phòng đầu tư tài chính dài hạn254,,-1300000000,-12559053076,,-36000000000,,,-22294812327,-1000000000,,,,-5372500000,-10799722346,,,-21880635615,,-1128270,,,-2320900522,,-2037679783,,-50000000,-1391671597,-23582690668,,,,,-866640000,-597482974871,-47192438524,-124781165,,,,,,-2719945626,
5. Đầu tư nắm giữ đến ngày đáo hạn255,,,,,,,,80000000000,,,,,25000000000,1060000000,,,,,,,,,2000000000,3500000000,,,,680000000000,,10000000,3000000000,,,823359000000,94777452000,,,,4000000000,7000000000,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,2992500,24897306450,14484635289,10222925205494,142580368,52679239,224158244134,118131131868,1287995726,849740893,575769795,553996089,11817847273,2653726922,32056812787,,4914956641,1737207212,27722410467,431484421,24912194188,34489782998,2803520845,58677804816,,17017600060,830713795,1960671058977,7104464925,44888200211,135073209,342300413,1331713712,254811030335,,113473580789,4364475812,32235833852,20056937423,87679132249,153327634066,1796699332,68237254264
1. Chi phí trả trước dài hạn261,2992500,24897306450,13875822315,10222925205494,142580368,52679239,218719751329,25946388259,1287995726,849740893,575769795,553996089,11817847273,2653726922,32056812787,,4914956641,1737207212,27722410467,431484421,24912194188,24451098340,2803520845,52143793370,,17017600060,830713795,792476015491,7104464925,44888200211,135073209,342300413,1331713712,235325196450,,113473580789,4364475812,3907950808,7312368949,32659213119,38341912157,1501324889,65771737735
2. Tài sản thuế thu nhập hoãn lại262,,,375672333,,,,2359040385,,,,,,,,,,,,,,,7183166613,,4109393122,,,,92172946105,,,,,,6213056683,,,,,12744568474,8559215319,114985721909,295374443,2465516529
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,,,,,3079452420,,,,,,,,,,,,,,,2855518045,,,,,,,,,,,,,,,,28327883044,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,233140641,,,,,92184743609,,,,,,,,,,,,,,,,2424618324,,,,1076022097381,,,,,,13272777202,,,,,,46460703811,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN280,106667243020,2115245920031,1983127095785,99523679171393,243846247585,50093872403,998492265071,6815584688009,229773312284,55194789967,612666279291,153687729744,1405099151842,1197454824560,141321666758,90528132637,239348184777,160418635853,808856859263,1130714678782,404684504478,3180549452627,950676820728,4544367170980,6758806845,690171176391,456374409591,55049061537061,366527465863,1855203677865,672033682469,147680824679,155776481522,9434153227231,2224866760164,2891191736938,290832998592,1737881486691,8456876352983,1931876903113,11138519411664,133247137725,555852045295
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,36711344605,1484683418209,1266048838004,82593526197906,485425229710,6023949541,341331300264,807906907427,52444286717,4737076350,135999779482,108006116796,1048256310409,780800416359,128042943888,41834622014,87701361914,102001707139,231694514575,28399229318,124661431910,2448980637595,329540468682,3420741451873,630185105,567646796264,158961601435,18874658707398,70287434100,705620216581,455243219317,61575041258,54381724462,8326204270177,60534783045,902267290634,351479809932,334547197187,6855070443822,839286058836,6064379225600,11395161989,211487865079
I. Nợ ngắn hạn310,36711344605,1003845993716,1097099658242,33852758118279,485425229710,6023949541,329536098339,698534532775,52444286717,4737076350,77688578523,106961204533,1026340919042,762330823967,84194857240,21896617919,23847081975,57465010015,105057390517,27799229318,121816018410,1867879795897,324901668148,1550907140316,630185105,338385001100,117509202975,18459546837640,70287434100,260481051645,452866869317,61575041258,42042724462,5916173957992,53242154920,409545996472,50805618319,314547197187,6668516443822,833660653096,2105572833456,7984589496,207200703869
1. Phải trả người bán ngắn hạn311,,229242433385,466713324124,6194937427436,7428204876,939083599,20504343339,381625195442,37386312095,298543480,8753990171,76671755440,248460465640,598383232938,48823907471,13311019830,7721975061,5593916200,27605100104,5795977970,7811024530,364375026990,95292785307,132386157227,,35356596708,68777793699,3874064349587,5655749059,13127429001,126065492306,2018810498,23935611810,614548103632,7374337142,95399840280,12673872056,14681923957,1946627726592,2749355289,83167252252,255028072,96048454230
