Mã CK,DNM,DNN,DNP,DNT,DNW,DOC,DOP,DP1,DP2,DP3,DPC,DPG,DPH,DPM,DPP,DPR,DQC,DRC,DRG,DRH,DRI,DRL,DS3,DSD,DSG,DSH,DSN,DSP,DST,DTA,DTB,DTC,DTD,DTE,DTG,DTH,DTI,DTK,DTL,DTP,DTT,DUS,DVC,DVG,DVM,DVN,DVP
I. Tiền và các khoản tương đương tiền110,35094934175,51135908220,1892725495847,10421908585,41792675739,2945991793,21435291192,9507536737,5053168373,13706392977,486485646,1016565558779,16434573220,1004912303570,2805394019,325585437397,35571943138,220742923592,215390256603,93650650,81129688423,4278875769,5650243915,20422509938,3384544728,36540937443,71659210972,45409601172,1686599228,2286164275,9831778396,1453237913,242507970844,335408482,16360889595,24755985068,783941924,551544842814,4513620649,39923026642,37105635669,4980573762,38376076061,4106250763,85716381492,289066457419,27281383279
1. Tiền111,34464934175,51135908220,572159760776,10421908585,41792675739,2945991793,21435291192,9507536737,5053168373,13706392977,486485646,531618558779,16434573220,741876402650,2805394019,54081787389,35571943138,45742923592,214340256603,93650650,81129688423,128875769,5650243915,20422509938,1786489158,34540937443,5359210972,2409601172,1686599228,1078561370,5831778396,1453237913,222103009953,335408482,16360889595,24755985068,783941924,251544842814,4513620649,5923026642,37105635669,380573762,38376076061,4106250763,50049634000,38216457419,27281383279
2. Các khoản tương đương tiền112,630000000,,1320565735071,,,,,,,,,484947000000,,263035900920,,271503650008,,175000000000,1050000000,,,4150000000,,,1598055570,2000000000,66300000000,43000000000,,1207602905,4000000000,,20404960891,,,,,300000000000,,34000000000,,4600000000,,,35666747492,250850000000,
II. Đầu tư tài chính ngắn hạn120,500000000,361488224415,397384395412,43762087013,664200000000,85500000000,,,,327986523288,,69452042500,167183505220,9464000000000,,1544682386399,57426300030,45000000000,21110852000,,10000000000,69600000000,,,1084949955,39000000000,266667256375,172500000000,1732166040,3930000000,,1266158049,365100142716,,,,,400000000000,1000000,5000000000,72000,27225000000,,,118906968745,755670000000,1147000000000
1. Chứng khoán kinh doanh121,,,37500000000,,,,,,,,,205442500,,,,,9433160447,,,,,,,,,28000000000,42067256375,,5011980754,,,,,,,,,,,,72000,,,,,50000000,
2. Dự phòng giảm giá chứng khoán kinh doanh122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3279814714,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn123,500000000,361488224415,359884395412,43762087013,664200000000,85500000000,,,,327986523288,,69246600000,167183505220,9464000000000,,1544682386399,47993139583,45000000000,21110852000,,10000000000,69600000000,,,1084949955,11000000000,224600000000,172500000000,,3930000000,,1266158049,365100142716,,,,,400000000000,1000000,5000000000,,27225000000,,,118906968745,755620000000,1147000000000
III. Các khoản phải thu ngắn hạn130,82818780226,27281724088,4825761790033,6594947732,65133208554,21425218336,4356435098,496951385423,76690595733,47209658306,1285871941,1106563573676,43513315440,653185512324,53532773885,87513221493,339215887230,696914940457,25135486494,1511879676754,6476927852,13792667228,26347209511,16762958251,10660854458,302837948870,7492819422,153010693309,818112854,35424719375,21335401879,1398518970,135207211035,6627120000,108504362863,119329681884,199271611839,3909681118256,362721958479,323331711265,24690471536,31332672277,419560122,142279542253,497612779269,1645686451677,102356067384
1. Phải thu ngắn hạn của khách hàng131,71563672105,17087711867,1444688405792,4639153308,42204513209,25110905323,3037123562,486370464967,22152834582,34817116489,2631497386,647040047790,25984029570,276247523509,52661422435,40373120285,333604621555,694267707740,34526688362,52571403375,4383576600,11437310244,37397361394,113329940,24328244728,194688739842,28080000,14475320528,306457800,33956456079,12367979113,5496200316,118996174141,,107875457413,82936581111,8805664708,3552177854848,351182792559,294178973988,25145837419,28604519439,5067023044,31404260768,434649297670,1584946177850,49999954245
2. Trả trước cho người bán ngắn hạn132,9611920116,1896001013,827319211821,271069526,4828504441,51452361,31095237,11374582149,913567035,8037133651,,395096996837,1026779453,227545463111,731351450,3085910137,104527709112,482599995,9610334468,136937242019,245950000,7000000,7102008320,9940541152,428222128,85491362350,672462336,959935542,81000000,1539274013,1202688373,1100023984,82382062185,127120000,1484740870,16449650460,31520621979,318368611608,22486896335,26056029675,197274820,1029371302,4471400999,15906932014,57012618899,31594615967,1037427243
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,570861134593,,,,,,,,,1300000000,,,,,,,,261708000000,,,,,,5000000000,,,,,,,,4500000000,,,32690000000,,,,,,,53251074150,,,
6. Phải thu ngắn hạn khác136,4202923054,16286543075,2210932610479,1684724898,24048119085,238690975,1489833299,2376495796,58235678311,4327927404,72550000,63126529049,17124966225,532760539063,140000000,50244396298,17015933248,4830442216,3379824044,1065590781360,1847401252,2816215385,10096266838,6709087159,4124133780,17657846678,6792277086,149044369556,430655054,786663426,8524944531,3916581295,150661099,2000000000,98575456,19943450313,126255325152,42069431300,13623288741,3227759971,20523237,3362603203,759212554,41717275321,8647804687,70199563270,51318685896
7. Dự phòng phải thu ngắn hạn khó đòi137,-2559735049,-7988531867,-228039572652,,-5947928181,-3975830323,-201617000,-3170157489,-4611484195,,-1418175445,,-622459808,-383368013359,,-6190205227,-116228750265,-2690649229,-22381360380,-4927750000,,-467858401,-28248427041,,-18219746178,,,-11487829917,,-857674143,-760210138,-9114286625,-66321686390,,-954410876,,,-2934779500,-24609304694,-131052369,-673163940,-1663821667,-9878076475,,-2696941987,-41053905410,
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,27480762,,,,,,,296373580,24839735,,,,,,,,,,18897600,,,,,,,,,,,38285538,,,,,,,,
