Mã CK,DNM,DNN,DNP,DNT,DNW,DOC,DOP,DP1,DP2,DP3,DPC,DPG,DPH,DPM,DPP,DPR,DQC,DRC,DRG,DRH,DRI,DRL,DS3,DSD,DSG,DSH,DSN,DSP,DST,DTA,DTB,DTC,DTD,DTE,DTG,DTH,DTI,DTK,DTL,DTP,DTT,DUS,DVC,DVG,DVM,DVN,DVP
"2. Đầu tư vào công ty liên kết, liên doanh252",,,100655251951,1695200000,19672049566,,,,,,,,,30589383462,,,30574266626,,7848285298,810681733142,,,,,826401344,247755066241,,253277125000,309257295743,,,,17727083512,,,,52500000000,,,,,1388342240,,30031297731,20000000000,987874650144,103027411229
3. Đầu tư góp vốn vào đơn vị khác253,,,357009815260,1901250000,54209842490,,15805976460,32511198461,93960000000,,,759000000,,20502000000,,127733870000,117566600000,6069881035,16495221178,,3000000000,,980000000,,1500000000,,,33605592683,56000000000,9950000000,,110000000,,,,861000000,10200000000,1224938734159,,,,,,,,870823455837,
4. Dự phòng đầu tư tài chính dài hạn254,,,,-769086804,-19036243451,,-7107250108,-879030722,,,,,,-16902000000,,-18695614253,-17091735490,-947424706,,,,,,,-1000000000,,,-1614442826,,,,,,,,,,,,,,-780327216,,,,-120164587830,
5. Đầu tư nắm giữ đến ngày đáo hạn255,100000000,,15280000000,,,,,,,,,10290000000,,,,61000000000,25000000,,,,,,,,,,,156000000000,,500000000,,,,,,400000000,,,,,,,,,,,
6. Đầu tư dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác260,3049545451,9477812151,304577930299,3314428085,24886590990,684142446,3328379247,29549799673,14278399126,34503732415,25880066702,154795931924,193777369,315970935718,450401553,382562886133,4303102712,55677891582,23651323396,197008530543,11044247659,1447811427,10181306308,66714804317,17751794302,50520611,3393013975,19028683807,21018041,1307199748,846779354,11156268567,9958136057,,9496217042,2995379124,1364019421,248490558335,37352343748,57301812860,3128028250,56738856311,23805695738,,2459757916,35326295847,24929413725
1. Chi phí trả trước dài hạn261,3049545451,9477812151,113027811768,3314428085,24886590990,,3328379247,24933986855,14278399126,34503732415,25880066702,109855046648,193777369,67439702684,450401553,382562886133,4303102712,55677891582,23435016529,185071850791,11044247659,1447811427,10181306308,66489213917,17751794302,,3393013975,19028683807,21018041,1307199748,846779354,11156268567,12059028,,8897014237,2995379124,1364019421,131347251684,37352343748,57301812860,3128028250,56582790868,21688378452,,2459757916,30710483029,24929413725
2. Tài sản thuế thu nhập hoãn lại262,,,13881649085,,,684142446,,4615812818,,,,44940885276,,97580052912,,,,,216306867,11936679752,,,,225590400,,50520611,,,,,,,1106619393,,599202805,,,,,,,156065443,,,,4615812818,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn263",,,6115886930,,,,,,,,,,,128013698990,,,,,,,,,,,,,,,,,,,,,,,,117143306651,,,,,,,,,
4. Tài sản dài hạn khác268,,,,,,,,,,,,,,22937481132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,171552582516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8839457636,,,,,,,,,,2117317286,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015)269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
