Mã CK,VPW,VQC,VRC,VRE,VRG,VSA,VSC,VSE,VSF,VSG,VSH,VSI,VSM,VSN,VST,VTA,VTB,VTC,VTD,VTE,VTG,VTH,VTI,VTJ,VTK,VTL,VTM,VTO,VTP,VTQ,VTR,VTS,VTV,VTX,VTZ,VVN,VVS,VW3,VWS,VXP,VXT,WCS,WSB,WTC,X20,X26,X77
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,1000000000,,,,,,,,,,,,,,,,5000000000,1000000000,6155927991,,,,,10500000000,,,,,,,,,,,,600000000,,,,,,,,,
6. Phải thu ngắn hạn khác136,895202718,1454272292,4260109988,710589000000,28653232149,60286829902,103073509674,23721424153,141949020625,62627863529,3637930677,3934067693,2468310781,11095845432,139304706988,589422001,2901302713,19959079048,28157444758,439226353,69361600958,2074907335,152461365,,3991745381,3176870911,2019637921,29918351979,452662419219,11741148278,1068407705656,245054487,1820050439,13782702028,8688561597,191968716526,1192417383803,2892519704,12547648261,1723949389,10667660589,2961147562,8082244099,2102750870,1021745262,41572331454,6841947470
7. Dự phòng phải thu ngắn hạn khó đòi137,-87620678,-19219729,-8757327389,-463410000000,-25079339478,-269943894,-3751346391,-10897395495,-1257626432767,-190262090306,-9108244266,-17204969954,-645842521,-1902593155,-9198038126,-826838620,-1972455288,-607986890,,-1594833977,-25745652439,-3269627089,-232425584915,,,-3978392341,,-116674730,-22806739474,-11748771596,-16649880961,-1948980622,,-71554190640,,-198269523948,,-1540462564,-464019226,-1151050364,,-30890750,,-44480080,-1372110876,,-16183023006
8. Tài sản thiếu chờ xử lý139,,,,,,,,,658354125485,,,,,,,,149714451,,,,,,,,,,,,,,,,,,,7113948033,,,,,,,,,,,
IV. Hàng tồn kho140,20348379995,22970741,1185921485363,295010000000,159675000,,47470252892,23749207842,1606242862714,553810394,107695494829,30938762660,3093958638,404057263245,28694481051,53891198181,29908247524,83014565378,6274894322,101193632992,596792616,235196798172,,,32161285148,1438977079,4633588689,91784230904,279316566082,13607704162,220973340,7552856367,20631243474,15428014858,823753624668,1046054481642,751423131620,24409335313,3518492317,51488510100,21967152102,97194000,85052277908,9356778008,178244994817,209708283889,2936798521
1. Hàng tồn kho141,20348379995,22970741,1185921485363,295010000000,159675000,,47470252892,23749207842,1629171399124,553810394,107695494829,31315047072,3093958638,405611364373,28694481051,73733281972,32490612791,83014565378,6274894322,101193632992,596792616,235196798172,53766439,,32161285148,1438977079,4633588689,91784230904,279592834508,13637223384,220973340,10358553651,20631243474,15428014858,823753624668,1058243681791,751423131620,24409335313,3518492317,67578109110,22007951776,97194000,86464670088,9356778008,180683060322,209708283889,2936798521
2. Dự phòng giảm giá hàng tồn kho 149,,,,,,,,,-22928536410,,,-376284412,,-1554101128,,-19842083791,-2582365267,,,,,,-53766439,,,,,,-276268426,-29519222,,-2805697284,,,,-12189200149,,,,-16089599010,-40799674,,-1412392180,,-2438065505,,
V. Tài sản ngắn hạn khác150,2409405518,6480609232,15090088593,6990411000000,24686602460,18613089562,56247437211,650363263,210164459627,11992157664,10749604,13001848744,1377211832,6785698251,12393062925,915545270,4956011549,1225820617,2055537789,336465494,18828347874,3633306018,,33730408,4737473768,405375506,8539099570,1510261457,471793291679,54646772,341714274438,3069407,3719439550,2324720949,7247045304,30962854247,9026728725,4352770383,102005161,1628711690,181825011,2574838844,876272066,4891141306,13740638759,16777111989,109394149
1. Chi phí trả trước ngắn hạn151,1868556032,6480609232,11499999,83717000000,152937733,4949059414,17693351014,253028752,12013302899,11572652136,,13001783220,1279343817,4945915624,4465174849,296244118,4436552504,359018440,1642205391,215344090,169622440,1354244309,,1102904,2428522786,22966642,5512544628,1354864868,464599688300,,341652050732,3069407,107514994,1805792912,5100937391,3067577926,3147758279,,69406210,,20000000,547508431,876272066,611875371,1627045457,,
2. Thuế GTGT còn được khấu trừ152,539586477,,15078588594,51975000000,711394681,13519501721,35639643041,,192304800577,317624340,,,,,7861315901,,347850814,229843572,413332398,631579,2380977863,2279061709,,32627504,2258318720,168573484,2966345665,155396589,7003889547,,35859466,,3234876049,518928037,2146107913,17513358318,5878970446,751479410,32598951,1224417718,158360511,,,4272247736,11548410168,16777111989,109394149
3. Thuế và các khoản khác phải thu của nhà nước153,1263009,,,721000000,23822270046,144528427,2914443156,397334511,5846356151,101881188,10749604,65524,97868015,1839782627,66572175,619301152,171608231,636958605,,120489825,16277747571,,,,50632262,213835380,60209277,,189713832,54646772,26364240,,377048507,,,10381918003,,3601290973,,404293972,3464500,2027330413,,7018199,565183134,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,6853998000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,240916046357,49909943936,488987142497,42913731000000,623356872792,133184012778,5983572285936,10900958844,3502243797029,29930338086,7508146038779,286318675272,46957698014,385351042153,169793374506,53786274237,109832131357,20042821273,68872339223,8486357502,66972585660,110632286149,3130640394,89481714526,49990625947,29302809427,225628746186,530069039831,1635100066310,162567932740,129654722243,3014693301,214298827470,151562954073,230166932440,2031069027642,37551094522,735526204,41178848766,19115481431,42805730484,34077941186,365360493752,309237596170,190471610788,142760267115,3998117537
I. Các khoản phải thu dài hạn210,,,132000000,19258000000,89861655128,3869666325,3624576352,1003046000,655467812654,,,,480800000,5233750000,23311896375,,18215447540,871088902,14002584000,,500000000,247000000,,21700000000,,2135000000,,265500000,346340082223,,8220806665,,,2403708036,9831567508,10012864292,1010600000,,,,,6000000,,56617000000,,,61950000
1. Phải thu dài hạn của khách hàng211,,,,,,,,,654472246120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619387931
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,4663075000,,,18215447540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56600000000,,,
6. Phải thu dài hạn khác216,,,132000000,19258000000,89861655128,3869666325,3624576352,1003046000,995566534,,,,480800000,570675000,23311896375,,,871088902,14002584000,,500000000,247000000,,21700000000,,2135000000,,265500000,346340082223,,8220806665,,,2403708036,9831567508,10012864292,1010600000,,,,,6000000,,17000000,,,61950000
