Mã CK,NTC,NTF,NTH,NTL,NTP,NTT,NTW,NUE,NVL,NVP,NVT,NWT,NXT,OCH,ODE,OGC,OIL,ONE,ONW,OPC,PAC,PAI,PAN,PAP,PAS,PAT,PBC,PBP,PBT,PC1,PCC,PCE,PCF,PCH,PCM,PCT,PDB,PDC,PDN,PDR,PDV,PEG,PEN,PEQ
2. Thuế GTGT còn được khấu trừ152,,178101778,,627450511,1757070115,22647003884,622110706,,1084331717815,979802298,3546984796,,,5415954617,,9825446307,194344974493,,,11406972672,183010452344,,104707067268,21741749209,945308107,,157740744316,669390164,,70925701528,851774152,,6189607538,1398658632,95401829,104104487258,56185352,,,81870680816,56468727972,7204219887,5247042175,
3. Thuế và các khoản khác phải thu của nhà nước153,15682709563,15849203,,,416635870,1937487168,138496090,711788891,254522628618,,,,33168216,8298609233,,9384827816,295485404157,296056043,,317764115,,880550,9994260108,32827459,56966665,486609837,,,,1173507815,146266291,,1465319968,8596,48222486,100000,258383984,,30235800,,10266155,1465671696,735948225,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480000608,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,5452119202815,51214778925,166023285967,60277272845,1941989104469,495087207114,100179575240,17906610782,29946901858972,141128523643,890839813511,61728448578,74226439323,3224643675479,12699351952,3832374243764,6191390944213,11726728598,,317736812738,702519485529,10734314828,5557567663872,6376629531808,118092844828,313167267536,2389916323016,47412808939,43935275933,12901664649904,517084303661,31424729866,15478686396,178674313933,12525879113,1495682542916,39645063122,152895624733,705739510071,2503027869958,1527788990670,837923770157,18051835122,73174879916
I. Các khoản phải thu dài hạn210,,,,5000000,,1360190736,,,15900998378910,,17546776000,,115327983,202884004359,11000000,323836126954,31977085054,,,3788660200,5840446253,32074000,8454981760,3878366000,,2000000000,156854697592,511526016,,32830193500,2640391997,38000000,,14080700000,,2200000000,50000000,2700000,,38724892655,16030944910,2499692000,10000000,
1. Phải thu dài hạn của khách hàng211,,,,,,1360190736,,,,,,,,,,,20449094473,,,,,,,,,,,,,,,,19718254473,,,,,,,,,19718254473,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,,,,,2678056800,3861366000,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,176200000000,,,,,30227733073,,,,,,,,,,,,,,,,,,,,14000000000,,,,,,,,,,
6. Phải thu dài hạn khác216,25250000000,,,5000000,,,,,15741300378910,,17546776000,,115327983,172656271286,11000000,323836126954,31611665054,,,3788660200,5840446253,32074000,5776924960,17000000,,2000000000,156854697592,511526016,,32830193500,2640391997,38000000,,80700000,,2200000000,50000000,2700000,,38724892655,16030944910,2499692000,10000000,
7. Dự phòng phải thu dài hạn khó đòi219,-25250000000,,,,,,,,-16502000000,,,,,,,,-20083674473,,,,,,,,,,,,,,,,-19718254473,,,,,,,,,-19718254473,,
II. Tài sản cố định220,26095876069,2356754980,164094162100,48004820641,1265480616982,458879271336,99399370132,14878044778,1937682347954,127417971392,535900143135,58728448578,46098783202,482842470131,11674191934,482842470131,3529417403320,11512817037,,210092486409,394061085307,9665943568,4101147017980,4059319315122,53081421405,287149386223,135410988399,43575223891,39747733906,10146675462841,194404826254,26964423759,14834848717,71373540002,12525879113,1454379201348,33284520966,92598346657,356244191302,744223360291,1388203606944,360576513823,16191930990,70816444545
1. Tài sản cố định hữu hình221,26095876069,2186221674,164000168302,47927687307,1258375266982,457225169805,98894406952,14726674694,1875694928140,127417971392,201335448359,58728448578,46098783202,427179420965,905072448,427179420965,2058039983209,11512817037,,136147804879,353610702820,9665943568,2439768289433,4030293072532,53081421405,287149386223,87482750362,32362935075,39747733906,8970795915918,165438229896,6309447384,1745973717,21648735376,12455479113,1454379201348,33284520966,92598346657,352881798051,343563454497,1387976630841,224101092444,16191930990,68933301545
