Mã CK,SLS,SMA,SMB,SMC,SMN,SMT,SNC,SNZ,SP2,SPB,SPC,SPD,SPH,SPM,SPV,SQC,SRA,SRB,SRC,SRF,SSC,SSG,SSH,SSM,ST8,STC,STG,STH,STK,STP,STS,STT,STW,SVC,SVD,SVG,SVH,SVI,SVN,SVT,SWC,SZB,SZC
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,9400000000,66000000000,,,,,,,,,,,,,,,,1085000000,,41666663,130000000000,,2295232500000,,850000000,,,,3471000000,,,,,14500000000,,,,,23750000000,54000000000,25000000000,,
6. Phải thu ngắn hạn khác136,124918876233,5185595935,3530794562,24989633515,994863789,1166330826,264419803,184170750615,1708780305,85560527505,3264500490,1173432013,10018957562,33511787062,198500000,40395238,31000000,12652546105,5921919771,53707312049,8957836897,793247808,4141057962593,2686959845,35784542059,459582392,129686273075,139935163036,1998754286,1476132300,10416188920,43071678528,2503771601,1087123367646,66942250,19263563808,14803059817,5743488431,17698923759,4832734246,35017097400,37235388076,59490076427
7. Dự phòng phải thu ngắn hạn khó đòi137,-11555633517,,-1075996329,-351468246627,-1551605140,-1898553932,-239375000,-77218668459,,,-18708632342,-91402371999,-42846065690,-36833997384,-2403930057,,-4260874002,-22742532888,-9624100633,-22248126289,-1497771549,-180939773,-7488477315,-593375092,-753279345,-1089573467,-99361289993,,,-27152897983,-38975590000,-53921001847,-1473021001,-12079712937,,-3114494323,-25352000,-741871622,,-26000000,-17070735368,-713894743,-5435653621
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,13199544182,,,,,,,,,,,,,,,,,,,,,,,374794562,,,,,,,
IV. Hàng tồn kho140,430580595516,1221898499,237954494622,627737119083,38158371000,5119790999,77267840056,2213026768354,126486000,250354350572,238518370241,222310651960,4452565115,40515001863,148142731874,,17372015396,,250315400799,329094397582,115014642142,,858930680831,55159256437,116098053297,69634797547,36288014193,16527643958,616099132887,34665850130,171198683,37586321,14531112222,1674164636972,48811659681,37848342666,,134036314341,,,5831256801,6159286635,1743116427066
1. Hàng tồn kho141,433729472017,1230694499,237954494622,646418393324,40624155019,6370220926,80538118266,2214907831042,126486000,253574665579,249240119892,222310651960,4452565115,41617936964,149692731874,,18912015396,,251291699609,331875387574,120736314937,,858930680831,55298846676,116098053297,72889485159,36288014193,16527643958,622696170006,34665850130,433905227,64479821,14531112222,1677129379474,48811659681,37848342666,,136029681162,,,5831256801,6159286635,1743116427066
2. Dự phòng giảm giá hàng tồn kho 149,-3148876501,-8796000,,-18681274241,-2465784019,-1250429927,-3270278210,-1881062688,,-3220315007,-10721749651,,,-1102935101,-1550000000,,-1540000000,,-976298810,-2780989992,-5721672795,,,-139590239,,-3254687612,,,-6597037119,,-262706544,-26893500,,-2964742502,,,,-1993366821,,,,,
V. Tài sản ngắn hạn khác150,4591210,152820425,3915874402,264020611140,564033347,183412384,1463085632,187462840964,166385263,19863885030,27593607017,4437184158,1540645009,2459916650,5883298031,496063919,889187849,73574904,33863818065,21122799915,1225971742,2520356,101431054071,1425737003,4175279457,3170310009,17921750566,363846408,170046540735,7534739222,166878210,1022667748,,71854725743,533915853,801958998,7316901530,2555724659,464055309,6140500,2516866431,5723023274,133866975096
1. Chi phí trả trước ngắn hạn151,,152820425,3372176649,3499617490,564033347,183412384,12011652,68951460028,166385263,2734909763,1074229470,2344583679,,288994470,,5377841,38708145,,949024039,3902334387,1225971742,,49943653390,259354988,106321632,1054239192,6416900968,29372938,4129693461,160588140,,690189815,,24211392234,533915853,163056000,,2555724659,8136402,6140500,1366889733,,80961504855
2. Thuế GTGT còn được khấu trừ152,4591210,,539786518,258205950957,,,1451073980,113983465863,,15395962463,25857663626,2091251590,1390115622,80197844,5861042441,6523298,850479704,73574904,1952962417,16436187993,,2520356,50228977258,654778555,4035613444,,11496849592,94473470,165766676433,7374151082,,167749541,,34169610406,,,7316901530,,455918907,,1141976692,5723023274,52905470241
3. Thuế và các khoản khác phải thu của nhà nước153,,,3911235,2315042693,,,,4527915073,,1733012804,661713921,1348889,150529387,2090724336,22255590,484162780,,,30961831609,784277535,,,1258423423,511603460,33344381,2116070817,8000006,240000000,150170841,,166878210,164728392,,13473723103,,638902998,,,,,8000006,,
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,568668815802,325031912031,365291499641,1691523179758,29133394291,42147563706,45206252525,14151161724246,507547918130,423841014718,59713907877,91896760321,8993941433,144227264985,169370476936,623937489194,646612570739,41568562772,659813031320,372982841973,206259982460,11638773542,5761339795356,22334380173,85001604545,39939018626,1925076024255,39503030706,2814182774472,35755206360,21297459197,11811521787,165507682802,4075291423374,223342777752,268792415107,422157110623,306252398514,179585461864,171287670435,1477201110070,1130060915883,5158971933825
I. Các khoản phải thu dài hạn210,,10000000,,34436749274,14895913266,379630195,8800000,125965106976,,,619886914,,,,316000000,55900000000,175000000,,97823430950,1702896933,824714000,,2273500000000,,110000000,19318596,3469969752,3650000000,,,5000000,547621800,,983722026057,,779825442,,103025000,10057513429,,7071450000,89623016855,324145994
1. Phải thu dài hạn của khách hàng211,,,,3609704278,,,,74540000,,,,,,,,,,,,,,,,,,,,,,,,,,6250000000,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,103618779409,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,,,,,,,,,,,,,,,,,,,,2200000000000,,,,,3650000000,,,,5796000000,,,,,,,,,,,
6. Phải thu dài hạn khác216,,10000000,,34436749274,14895913266,379630195,8800000,132241185376,,,619886914,,,,316000000,55900000000,175000000,,97823430950,1702896933,824714000,,73500000000,,110000000,19318596,3469969752,,,,5000000,547621800,,875688278474,,779825442,,103025000,10057513429,,7071450000,89623016855,324145994
7. Dự phòng phải thu dài hạn khó đòi219,,,,-3609704278,,,,-6550618400,,,,,,,,,,,,,,,,,,,,,,,,-5796000000,,-1835031826,,,,,,,,,
