Mã CK,HDP,HDS,HDW,HEC,HEJ,HEP,HES,HEV,HFB,HFC,HFX,HGM,HGT,HHC,HHG,HHN,HHP,HHS,HHV,HID,HIG,HII,HIO,HJC,HJS,HKB,HKT,HLB,HLC,HLD,HLO,HLS,HLY,HMC,HMD,HMG,HMH,HMR,HMS,HNA,HNB,HND,HNF,HNG,HNI,HNM,HNP,HNR
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,2430000000,,,,,,,,,19034204385,,,,,,6000000000,,33000000000,2791140000,,,,,4700000000,,,,,,,,,,,,18870489115,,,,,,,,,
6. Phải thu ngắn hạn khác136,824108209,878955607,2563336525,60397395693,34029562606,1499140546,1665530277,168487857,50538068999,26409766953,298800768,5840023491,3929637094,438013817879,654643646,2445618334,62772738373,17480314115,199042107855,59763513225,23713625787,15503731392,14229935001,1824020005,2048617893,52369470670,53148519504,61267896438,16460393,4628581505,509993315,783590180,1876517065,17613770247,124421220,3877334918,3218934570,91684552,54795190195,1020598717,1483182385,5002304172,57951610278,165261021000,17964559896,2027226796,11183968792,9096707386
7. Dự phòng phải thu ngắn hạn khó đòi137,-1129160199,-210340250,,-40847162698,,,-245514250,-188733846,-8165332344,-16355895580,-110426156247,-726240853,-298897338,-1270933405,,-1985795529,,-2446500000,-13210546731,-336383890,-50788191868,-27540673923,,-15834036909,-4786064,-80366491023,-1186503456,-1067872472,,-675546130,-1403924244,,-685713110,-52983047819,-3659485665,-41375079306,,-827865665,-11399987139,,,,-572375816,-43772172000,,-10095999588,-25083215710,-10519475923
8. Tài sản thiếu chờ xử lý139,,,,,,,,,,,,,,356446703,,,,,,,,,,,,682642000,,41056651,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho140,77848097526,7737257588,35974456785,1298770075,57551863206,2531837104,573679119,4935955283,106776153839,42312766676,7803935022,23845931997,409657774,59597174248,323910021,,353559429789,386371652862,67714934630,16144042146,94308588898,303326395745,150025270,181165940680,12269671154,23000000,5595483421,64585735448,252588777968,1829417032726,44760080292,44813965846,619549039,509514320854,11610303381,4365979341,29919501,27712966300,707680799482,20863838125,,805764237961,135047117847,1937430054000,64717891381,291308975473,26709240539,114111350032
1. Hàng tồn kho141,78543124453,7737257588,35974456785,1298770075,57551863206,2531837104,573679119,6004141381,106776153839,42312766676,7803935022,23845931997,409657774,59597174248,323910021,,353559429789,387767964174,67714934630,16144042146,94308588898,304972800790,150025270,181165940680,12269671154,1799806381,5595483421,64585735448,252588777968,1829417032726,45574928923,45070723153,2203491981,548426207724,11610303381,6895596769,29919501,27712966300,707680799482,20863838125,,805764237961,135047117847,2017115531000,64717891381,291308975473,26709240539,132105961479
2. Dự phòng giảm giá hàng tồn kho 149,-695026927,,,,,,,-1068186098,,,,,,,,,,-1396311312,,,,-1646405045,,,,-1776806381,,,,,-814848631,-256757307,-1583942942,-38911886870,,-2529617428,,,,,,,,-79685477000,,,,-17994611447
V. Tài sản ngắn hạn khác150,4629952043,,1989574038,587373995,912598580,962129814,248550760,12767666,40110399518,1119740556,1418537492,,298037213,332406676,350473706,332813911,44615465955,87893132614,21555679122,3265014868,74816744777,65189943909,15492780824,7761209007,1744997044,2685137767,6968406,657376337,,10342629494,1772669343,18954561,,31474916009,112859954,850378037,1286031087,4585833,3851949715,54352632509,984388269,148280127131,22019183721,102383421000,34353157849,3742365619,11907595666,18347820129
1. Chi phí trả trước ngắn hạn151,384683985,,,502671591,459330502,,17944634,12767666,25911782494,1119184192,,,298037213,262038734,297385888,27575272,3272597935,1638699834,18578962390,1673629814,1478387168,4743796154,1489634180,3479062663,1333000675,,,490750296,,727361338,168279901,18954561,,373458904,,24416079,875517856,4585833,1270489831,7497411393,687547677,2006221987,10471041433,10012595000,,477309792,2211163441,174768882
2. Thuế GTGT còn được khấu trừ152,4111626503,,748502927,,147560373,,200265777,,9005430599,556364,1418537492,,,17840151,48065854,,41109701095,86020576622,,1591385054,514474576,59128919482,14003146644,4282146344,411996369,2683268250,6684106,,,7923608417,1604389442,,,22157415967,112859954,17625806,75800321,,2581459884,46855221116,,137356733133,11548142288,91738986000,34263634006,134900257,9696432225,
3. Thuế và các khoản khác phải thu của nhà nước153,133641555,,1241071111,84702404,305707705,962129814,30340349,,5193186425,,,,,52527791,5021964,305238639,233166925,233856158,2976716732,,823883033,1317228273,,,,1869517,284300,166626041,,1691659739,,,,8944041138,,808336152,334712910,,,,296840592,8917172011,,631840000,89523843,3130155570,,18173051247
4. Giao dịch mua bán lại trái phiếu Chính phủ (TS)154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác155,,,,,,,,,,,,,,,,,,,,,72000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN200,158413073182,42566306088,841691377272,306674195349,53191701558,197674105247,63890028192,513661162,27563378646,66042668805,5577167208,81016905069,129142977252,243602759573,172049531272,11649369783,1716230692996,3921688389155,37623411236338,1464058988907,237201399728,492209237697,399489278117,51484191082,208128257447,212322631105,23594362220,161819934523,1017382417348,101783339166,59500449234,50726095668,22531449592,105794509702,93102905803,13838199187,136450229452,9287583364,269663564243,3386146348202,44876435591,3439500277055,866955421465,14221038454000,138696632655,222240011184,59804307484,96895552913
I. Các khoản phải thu dài hạn210,,,,374000000,,,,,,168458000,,3730143409,,62456226975,,,1979312800,120000000,940166496834,367401000,63000000,877439305,8093600000,,,,,125907840,35432636977,9601000000,,,479202104,55800000,1131674306,152060000,3000000,2381574681,33643917931,,,,69000000,2034606179000,,,100000000,96800000
1. Phải thu dài hạn của khách hàng211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn212,,,,,,,,,,,,,,,,,,,310095234962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn215,,,,374000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034606179000,,,,
6. Phải thu dài hạn khác216,,,,,,,,,,168458000,,3730143409,4948817680,62456226975,,,1979312800,120000000,630071261872,367401000,63000000,877439305,8093600000,,,,,125907840,35432636977,9601000000,,,479202104,55800000,1131674306,152060000,3000000,2381574681,33643917931,,,,69000000,,,,100000000,96800000
7. Dự phòng phải thu dài hạn khó đòi219,,,,,,,,,,,,,-4948817680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
