Mã CK,PVO,PVP,PVR,PVS,PVT,PVV,PVX,PVY,PWA,PWS,PXA,PXI,PXL,PXM,PXS,PXT,QBS,QCC,QCG,QHD,QHW,QNC,QNP,QNS,QNT,QNU,QNW,QPH,QSP,QST,QTC,QTP,RAL,RAT,RBC,RCC,RCL,REE,RIC,RTB,RYG,S12,S4A,S55,S72,S74
3. Phải thu nội bộ ngắn hạn133,,,,,,,,,,,-14013426645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng134,,,,315652153309,,,,,,,,,,19741954541,,,,,,,,,,,,,,,,,,,,,,,,416672074333,,,,,,,,
5. Phải thu về cho vay ngắn hạn135,,,,,,,355676953493,,,,9203232672,,,,,,,,8130000000,,,3000000000,,,,,,455098823769,,,,,,,,,,,,,,,,29120707003,,
6. Phải thu ngắn hạn khác136,237867229,85095510318,14071012775,943219909539,273975515319,58981477098,419600886765,1768095739,23843835863,1587752532,34371703773,29265158497,36279082091,14927304716,22342976613,33840037961,289826211,957122338,163064470367,103934273,1784290411,14902914212,7938261176,55918442333,1402912064,17973274884,4463640980,1274819940,1009500738,2324174122,1884586791,197740961966,92359308525,8927016342,2026545222,14292489427,129562210110,326543621266,5855075625,9202656873,38891513791,66404717207,2038700271,37278906622,1034160191,1653399124
7. Dự phòng phải thu ngắn hạn khó đòi137,-3215312761,-73073174233,-13478240000,-224506281205,-86896099736,-8880838362,-1052014338142,-42238247126,-16019082866,-2784167180,-32023821283,-71580168943,-21202971123,-90452639916,-11904878392,-31596617184,-341776251132,,-1131520000,-6597534900,,-34946763146,-5282064877,-20114837444,-910915083,-1057588858,-7785906057,-20000000,,-1396057969,-1170460244,-189319187139,-136878271716,-1954061088,-23090335537,-16415554602,,-468589292550,-5976886449,-2931368050,,-95758368399,,-109846571032,-1181798780,-12023593282
8. Tài sản thiếu chờ xử lý139,,,,,671818182,,840332920,,,6418879,,,,2937896472,,,,266735653,,,,,,,,2013831656,606244,,,,,,,,6315619963,,,,,,,644481807,,,,
IV. Hàng tồn kho140,39240865977,16025826200,692821280246,1830251469172,331073290370,157977884415,1817989197656,240965639323,56169992401,6108884175,76156321436,167022607429,389141838294,14404692626,97421546993,46438145980,,3530007587,1279022786702,56237104738,8566864918,246110028273,23217160121,1323444326308,562820232,2843323413,11896869679,,,6716488828,10107185735,882092912598,1772510037653,5800832757,34183249344,178736264575,111071835676,1276815964044,3281695713,197781745736,683944075529,14715712541,687429929,5494088309,326624479,5949105417
1. Hàng tồn kho141,39240865977,16025826200,692821280246,1842464776007,331073290370,157977884415,1937818905304,246018801665,56169992401,6108884175,76156321436,167304092859,389141838294,43083087028,187481801114,62226450591,,3530007587,1279022786702,56237104738,8598859290,263644722490,23217160121,1323458133517,562820232,2843323413,20541635657,,,8454300038,10107185735,882092912598,1772510037653,5800832757,34218114787,185076498594,111071835676,1379188278200,3281695713,197781745736,683944075529,16353845459,687429929,5494088309,326624479,8732192876
2. Dự phòng giảm giá hàng tồn kho 149,,,,-12213306835,,,-119829707648,-5053162342,,,,-281485430,,-28678394402,-90060254121,-15788304611,,,,,-31994372,-17534694217,,-13807209,,,-8644765978,,,-1737811210,,,,,-34865443,-6340234019,,-102372314156,,,,-1638132918,,,,-2783087459
V. Tài sản ngắn hạn khác150,899779758,3865727219,7499136780,500496053123,495979553655,4186120,148171672513,97154792541,1760652037,975878208,4821424393,2373884493,12648872961,191349006,11997505813,1634049498,20496896,73898334,25201801497,,398090988,4321870353,17190238460,39094549692,32510410,794795528,503727216,12021780,827521,189407600,7626818,149288107849,132696726640,13127647820,3264108886,28671577117,1819967676,183295042421,730258920,79882545410,42868290228,4123971786,876410660,8809235655,,325447355
