STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1851,D26,CTCP Quản lý và Xây dựng Đường bộ 26,Tư liệu sản xuất,OTC,1000000
1852,DaBinhDinh,CTCP VRG Đá Bình Định,,OTC,0
1853,DAFC,CTCP Thời trang và Mỹ phẩm Duy Anh,,Khác,0
1854,DaGiayHaiPhong,CTCP Da Giầy và Phát triển Hải Phòng,,OTC,0
1855,DaGiayVietNam,CTCP Da Giầy Việt Nam,,OTC,0
1856,DaiMo,CTCP Cơ khí Xây dựng Đại Mỗ,,OTC,0
1857,DaiNam,Văn Phòng Thám Tử Điều Tra - Theo Dõi Đại Nam,,Khác,0
1858,DAKC,Công ty Liên doanh TNHH Phát triển Đô thị mới An Khánh,,Khác,0
1859,DALC,Công ty TNHH Đầu tư và Phát triển Bất động sản Đại Hùng,,Khác,0
1860,DaNangXD,CTCP Xây dựng Công trình Giao thông Đà Nẵng,,OTC,0
1861,DANATEX,CTCP Dệt Hòa Khánh - Đà Nẵng,,OTC,0
1862,DAP,CTCP Đông Á,Nguyên vật liệu,OTC,1680000
1863,DAR,CTCP Xe lửa Dĩ An,Dịch vụ chuyên biệt và thương mại,OTC,6500000
1864,DaTayDo,CTCP Da Tây Đô,,OTC,0
1865,DATC,Công ty TNHH Mua Bán Nợ Việt Nam,,Khác,0
1866,DatVang,CTCP Sông Đà - Đất Vàng,,OTC,0
1867,DauTuHaNoi,CTCP Thương mại và Đầu tư TIC Hà Nội,,OTC,0
1868,DBCC,Tổng công ty Đông Bắc - Bộ Quốc Phòng,,Khác,0
1869,DBF,CTCP Lương thực Đông Bắc,Bán lẻ thực phẩm và nhu yếu phẩm,OTC,3679200
1870,DBH,CTCP Đường bộ Hải Phòng,Tư liệu sản xuất,OTC,2200000
1871,DBIC,Công ty TNHH MTV Đầu tư và Phát triển DB,,Khác,0
1872,DBJC,CTCP Điện Biên,,Khác,0
1873,DBW,CTCP Cấp nước Điện Biên,Dịch vụ tiện ích,OTC,39320100
1874,DCAC,CTCP Tập đoàn Đèo Cả,,Khác,0
1875,DCC,CTCP Xây dựng Công nghiệp (DESCON),Tư liệu sản xuất,OTC,10300000
1876,DCCC,CTCP Địa Cầu,,Khác,0
1877,DCD,CTCP Du lịch và Thương mại DIC,Dịch vụ tiêu dùng,Khác,11294323
1878,DCHY,Công ty TNHH Đầu tư Dream City Villas Hưng Yên,,Khác,0
1879,DCI,CTCP Công nghiệp Hóa chất Đà Nẵng,Nguyên vật liệu,OTC,2412518
1880,DCTC,Công ty TNHH DCT Partners Việt Nam,,Khác,0
1881,DDCC,CTCP Đầu tư Bất động sản Đông Dương,,Khác,0
1882,DeltaAgf,CTCP Đầu tư và Xây dựng Delta AGF,,OTC,5691644
1883,DeltaCorp,CTCP Đầu tư Châu Thổ,,OTC,0
1884,DeltaTower,CTCP Cảnh Hưng Hải Thành,,OTC,24000000
1885,DetHaDong,CTCP Dệt Hà Đông,,OTC,1300000
1886,DetPhongPhu,CTCP Dệt vải Phong Phú,,OTC,0
1887,DetVinhPhu,CTCP Dệt Vĩnh Phú,,OTC,0
1888,DFS,CTCP Chế biến Xuất nhập khẩu Nông sản Thực phẩm Đồng Nai,"Thực phẩm, đồ uống và thuốc lá",OTC,22500000
1889,DGL,CTCP Hóa chất Đức Giang - Lào Cai,Nguyên vật liệu,Khác,99785463
1890,DHAC,Công ty TNHH MTV Đầu tư DHA,,Khác,0
1891,DHCC,CTCP Thủy điện Đakđrinh,,Khác,0
1892,DHI,CTCP In Diên Hồng,Dịch vụ chuyên biệt và thương mại,Khác,2628042
1893,DHL,CTCP Cơ khí Vận tải Thương mại Đại Hưng,Nguyên vật liệu,Khác,5500000
1894,DIAOC3,CTCP Xây dựng và Kinh doanh Địa Ốc III,,OTC,0
1895,DIAOC8,CTCP Địa ốc 8,,Khác,0
1896,DiaOcGiaDinh,CTCP Đầu tư Địa ốc Gia Định,,OTC,0
1897,DiaOcXanh,Công ty TNHH Đầu tư Kinh doanh và Phát triển Thương mại Địa Ốc Xanh,,Khác,0
1898,DIC1,CTCP Xây dựng Đô thị và Khu công nghiệp,,OTC,2000000
1899,DICC,Công ty TNHH Dynamic Innovation,,Khác,0
1900,DICThanhBinh,CTCP Đầu tư Phát triển Xây dựng Thanh Bình,,OTC,500000
1901,DienLucDaNang,CTCP Thủy điện Điện Lực Đà Nẵng,,OTC,0
1902,DienNuocHaNoi,CTCP Xây dựng Lắp máy Điện nước Hà Nội,,OTC,0
1903,DienThuBon,CTCP Thủy điện Thu Bồn,,OTC,0
1904,Diginet,CTCP Định Gia Nét,,OTC,1500000
1905,DinhThien,Công Ty TNHH Thương mại Dịch vụ Kỹ thuật Đỉnh Thiên,,Khác,0
1906,DJCC,CTCP Thủy điện Đakrông,,Khác,0
1907,DKDC,Công ty TNHH Du lịch Khách sạn Đông Á,,Khác,0
1908,DKH,Trung tâm Đăng kiểm phương tiện Giao thông Thủy bộ,Dịch vụ chuyên biệt và thương mại,OTC,212036
1909,DKHC,CTCP Đầu tư Danh khôi Holdings,,Khác,0
1910,DKKC,CTCP Tập đoàn Dekko,,Khác,0
1911,DKP,CTCP Dược Khoa,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",OTC,3003910
1912,DKSC,CTCP Đầu tư Bất động sản Danh Khôi Sài Gòn,,Khác,0
1913,DLAC,CTCP Đầu tư và Xây dựng Kiên Trung,,Khác,0
1914,DLBD,CTCP Du lịch Bưu điện,,OTC,0
1915,DLC,CTCP Du lịch Cần Thơ,Dịch vụ tiêu dùng,OTC,4780080
1916,DLCC,Công ty TNHH Đầu tư và Phát triển Đô thị Đắk Lắk,,Khác,0
1917,DLM,CTCP Chiếu sáng công cộng Đà Nẵng,Tư liệu sản xuất,OTC,1160250
1918,DLTC,CTCP Du Lịch Lâm Đồng,,Khác,0
1919,DLTHUDUC,Công ty TNHH MTV Dịch vụ Du lịch Thủ Đức,,Khác,0
1920,DLV,CTCP Du lịch Việt Nam - VITOURS,Dịch vụ tiêu dùng,OTC,0
1921,DLVC,Công ty TNHH Bất động sản Đà Lạt Valley,,Khác,0
1922,DLX,CTCP Delex Việt Nam,,OTC,0
1923,DMDC,CTCP Quản lý Tài sản Pyxis,,Khác,0
1924,DMH,CTCP Dược Minh Hải,,OTC,2500000
1925,DMIC,Công ty TNHH Đầu tư Xuất nhập khẩu Tổng hợp Đức Mai,,Khác,0
1926,DMTC,CTCP Khoan và Dịch vụ Kỹ thuật Khai thác Mỏ,,OTC,0
1927,DNB,CTCP Sách và Thiết bị trường học tỉnh Đắk Nông,Phân phối và bán lẻ hàng lâu bền,OTC,1447554
1928,DNCC,CTCP Đại Nam,,Khác,0
1929,DNF,CTCP Lương thực Đà Nẵng,"Thực phẩm, đồ uống và thuốc lá",OTC,5000000
1930,DNG,CTCP Lắp máy Điện nước và Xây dựng,,OTC,0
1931,DNR,CTCP Đường sắt Quảng Nam - Đà Nẵng,Vận tải,OTC,1577500
1932,DNS,CTCP Thép Đà Nẵng,Nguyên vật liệu,OTC,21600000
1933,DNTD,CTCP Thiết kế Viễn thông Tin học Đà Nẵng,,OTC,0
1934,DNV,CTCP Thương mại Dịch vụ VDA Đà Nẵng,,OTC,8100000
1935,DNY,CTCP Thép DANA - Ý,Nguyên vật liệu,OTC,26999517
1936,Donatraco,CTCP Sản xuất Thương mại Dịch vụ Đồng Nai,,OTC,0
1937,DongAnhSteel,CTCP Kết cấu Thép Xây dựng,,OTC,0
1938,DongLong,Công ty TNHH Vận tải biển Đông Long,,Khác,0
1939,DongTam,CTCP Đồng Tâm,,OTC,0
1940,DongTauAnPhu,CTCP Đóng Tàu An Phú,,OTC,0
1941,DongThapTourist,CTCP Du lịch Đồng Tháp,,OTC,0
1942,DongTien,CTCP Đồng Tiến,,OTC,0
1943,DongXanh,CTCP Đồng Xanh,,OTC,0
1944,DoThi18,CTCP Đầu tư Hạ tầng 18,,OTC,0
1945,DothiGialai,CTCP Công trình Đô thị Gia Lai,,OTC,0
1946,DoThiGiaLam,CTCP Môi trường Đô thị Gia Lâm,,Khác,0
1947,DPD,CTCP Cao su Đồng Phú - Đắk Nông,Nguyên vật liệu,Khác,12000000
1948,DPHC,CTCP Đại Phú Hòa,,Khác,0
1949,DPJC,CTCP Đầu tư Xây Dựng Đại Thịnh Phát,,Khác,0
1950,DPLC,Công ty TNHH Điền Phát Land,,Khác,0
1951,DPQC,CTCP Đầu tư và Phát triển Du lịch Phú Quốc,,Khác,0
1952,DPWC,CTCP Đầu Tư Ngành nước DNP,,Khác,0
1953,DRGC,CTCP Đầu Tư và Du lịch Vạn Hương,,Khác,0
1954,DSS,CTCP Đường sắt Sài Gòn,Vận tải,OTC,2045000
1955,DSV,CTCP Đường sắt Vĩnh Phú,Vận tải,OTC,1229579
1956,DSVN,Tổng Công ty Đường sắt Việt Nam,,Khác,0
1957,DT319,CTCP Đầu tư và Thương mại 319,,OTC,0
