STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
1627,AASCS,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam,,Khác,0
1628,AAUS,CTCP Chứng khoán Á - Âu,Dịch vụ tài chính,OTC,3500000
1629,ABA,CTCP Giải pháp thương mại A BA,,Khác,0
1630,ABBVietNam,Công ty TNHH Kiểm toán A.B.B Việt Nam,,Khác,0
1631,ABFM,CTCP Quản lý Quỹ đầu tư Chứng khoán An Bình,,OTC,0
1632,ABGC,CTCP ABG Hà Nội,,Khác,0
1633,ABGTD,CTCP ABG Thủ Đô,,Khác,0
1634,AC4,CTCP ACC-244,Tư liệu sản xuất,OTC,2940862
1635,ACAGroup,Công ty TNHH Kiểm toán và Tư vấn Tài chính,,Khác,0
1636,ACBC,Công ty TNHH MTV Quản lý Quỹ ACB,,Khác,0
1637,ACBS,Công ty TNHH Chứng khoán ACB,Dịch vụ tài chính,Khác,150000000
1638,ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,,OTC,0
1639,ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế,,Khác,0
1640,ACHAU,CTCP Tơ tằm Á Châu,,OTC,5000000
1641,AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu,,Khác,0
1642,Aclii,CTCP Cho thuê Tài chính II Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,OTC,0
1643,ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia ACPA,,Khác,0
1644,ACSVN,CTCP ACS Việt Nam,,OTC,10800000
1645,ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam,,Khác,0
1646,ADEC,CTCP ADEC,,Khác,0
1647,ADGC,CTCP Tập đoàn Đầu Tư An Đông,,Khác,0
1648,AEAAudit,Công ty TNHH Kiểm toán Đông Á,,Khác,0
1649,AECC,CTCP Anh ngữ Apax,,Khác,0
1650,AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,,OTC,0
1651,AFC,CTCP Nông Lâm nghiệp Bình Dương,Dịch vụ chuyên biệt và thương mại,OTC,10688363
1652,AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam,,Khác,0
1653,AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C,,Khác,0
1654,AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam,,Khác,0
1655,AFCVietnamFund,Quỹ AFC Vietnam Fund,,Khác,0
1656,AFPAudit,Công ty TNHH Kiểm toán và Tư vấn AFP,,Khác,0
1657,AFVI,Công ty TNHH Kiểm toán Tư vấn Tài chính và Đầu tư Việt Nam,,Khác,0
1658,AGC,CTCP Cà phê An Giang,"Thực phẩm, đồ uống và thuốc lá",OTC,8300000
1659,AGD,CTCP Gò Đàng,"Thực phẩm, đồ uống và thuốc lá",OTC,11999930
1660,AGE,CTCP Môi trường Đô thị An Giang,Dịch vụ tiện ích,OTC,19893000
1661,Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Tổ chức tín dụng,Khác,0
1662,AGRIMECO,Tổng Công ty Cơ điện Xây dựng - CTCP,,OTC,0
1663,AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,,OTC,5000000
1664,AGRITOUR,CTCP Du lịch Thương mại Nông nghiệp Việt Nam,,OTC,0
1665,AGROMAS,CTCP Cơ điện Nông Nghiệp và Thủy Lợi II,,OTC,0
1666,AGTourimex,CTCP Du lịch An Giang,,OTC,0
1667,AIA,Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam),Bảo hiểm,Khác,0
1668,AICA,Công ty TNHH Tư vấn - Kiểm toán Liên Minh Quốc tế,,Khác,0
1669,AICapital,Công ty Quản lý Quỹ đầu tư A.I Capital,,Khác,0
1670,AIEC,CTCP Giáo dục quốc tế Mỹ AIS,,Khác,0
1671,Airserco,CTCP Cung ứng Dịch vụ Hàng Không,,OTC,2800000
1672,AISC,Công ty TNHH Kiểm toán và Dịch vụ Tin học,,Khác,0
1673,AITS,CTCP Tin học Viễn thông Hàng không,,OTC,0
1674,AKHC,CTCP Đầu Tư An Khải Hưng,,Khác,0
1675,AKRC,Công ty TNHH Phát triển Bất động sản An Khang,,Khác,0
1676,ALC,CTCP Âu Lạc,,OTC,2890000
1677,ALIC,CTCP Air Link,,Khác,0
1678,ALMC,Công ty TNHH Khu du lịch Vịnh Thiên Đường,,Khác,0
1679,ALP,CTCP Đầu tư Alphanam,Tư liệu sản xuất,OTC,192484413
1680,ALS,CTCP Logistics Hàng không,,OTC,0
1681,AMIC,CTCP Đầu tư AMIC,,OTC,12000000
1682,ANCO,CTCP Dinh dưỡng Nông nghiệp Quốc tế,,OTC,0
1683,ANPC,CTCP Apec Finance,,Khác,0
1684,AnPhatAudit,Công ty TNHH Kiểm toán và Kế toán An Phát,,Khác,0
1685,AnphatCapital,CTCP Quản lý Quỹ NTP,,OTC,2500000
1686,AnPhu,CTCP An Phú,,OTC,0
1687,AnPhuCorp,CTCP Đầu tư Bất động sản An Phú,,OTC,0
1688,AnPhuGroup,Công ty TNHH Kiểm toán An Phú,,Khác,0
1689,Anresco,CTCP Địa ốc An Giang,,OTC,0
1690,ANZB,Ngân hàng TNHH MTV ANZ Việt Nam,Tổ chức tín dụng,Khác,0
1691,AON,Công ty TNHH AON Việt Nam,Bảo hiểm,Khác,0
1692,AP1C,CTCP Khu công nghiệp Kỹ thuật cao An Phát 1,,Khác,0
1693,APAC,CTCP An Phát Finance,,Khác,0
1694,APBAudit,Công ty TNHH Kiểm toán và Kế toán A.P.B,,Khác,0
1695,APBC,CTCP Đầu Tư - Phát triển Đô thị Ân Phú,,Khác,0
1696,APCC,CTCP Thương mại Công nghệ An Phát,,Khác,0
1697,APEC,Công ty TNHH An Phú Cần Thơ,,Khác,0
1698,ApecAudit,Công ty TNHH Kiểm toán APEC,,Khác,0
1699,APGC,CTCP Tập đoàn Apec Group,,Khác,0
1700,APHC,CTCP Apec Land Huế,,Khác,0
1701,Aplaco,CTCP Nhựa Cao Cấp Hàng Không,,OTC,0
1702,APPC,CTCP Khu công nghiệp Kỹ thuật cao An Phát,,Khác,0
1703,APRC,CTCP Vật tư Nông sản,,Khác,0
1704,APRest,CTCP Thương mại Đầu tư Bất động sản An Phát,,OTC,50000000
1705,APSC,CTCP Chứng khoán Alpha,Dịch vụ tài chính,OTC,0
1706,AQCC,Công ty TNHH Dịch vụ và Tư vấn Xây dựng Anh Quân,,Khác,0
1707,AQN,CTCP 28 Quảng Ngãi,Hàng tiêu dùng và trang trí,OTC,1511097
1708,Artexport,CTCP Xuất nhập khẩu Thủ công mỹ nghệ,,OTC,0
1709,ArtexSaigon,CTCP Xuất nhập khẩu Hàng tiểu thủ công nghiệp Sài Gòn,,OTC,2564430
1710,ASCAudit,Công ty TNHH Kiểm toán ASC,,Khác,0
1711,ASCH,CTCP Hóa chất Á Châu,,OTC,0
1712,ASCO,Công ty TNHH Kiểm toán ASCO,,Khác,0
1713,ASCSaiGon,CTCP Đầu tư Nông nghiệp ASC Sài Gòn,,OTC,0
1714,ASD,CTCP Sông Đà Hà Nội,Tư liệu sản xuất,OTC,4500000
1715,AseanAudit,Công ty TNHH Kiểm toán và Tư vấn ASEAN,,Khác,0
1716,ASIACorp,CTCP Châu Á,,OTC,3600000
1717,ASIAGF,Quỹ đầu tư Tăng trưởng ACB,Dịch vụ tài chính,Khác,24008000
1718,ASNAF,Công ty TNHH Kiểm toán ASNAF VN,,Khác,0
1719,ATAAudit,Công ty TNHH Kiểm toán Quốc tế ATA,,Khác,0
1720,ATAX,Công ty TNHH Kiểm toán và Tư vấn Thuế ATAX,,Khác,0
1721,ATC,CTCP Sản xuất - Thương mại - Xuất nhập khẩu Viễn Thông A,,OTC,3000000
1722,ATD,CTCP 28 Đà Nẵng,Hàng tiêu dùng và trang trí,OTC,1544300
1723,ATDC,CTCP KẾT CẤU THÉP ATAD ĐỒNG NAI,,Khác,0
1724,ATGC,CTCP Đầu Tư Thương Mại và Phát triển An Tường,,Khác,0
1725,ATICVietnam,Công ty TNHH Kiểm toán Tư vấn Việt Nam,,Khác,0
1726,ATKC,CTCP Ataka Việt Nam,,Khác,0
1727,ATLC,Công ty TNHH Đầu tư Cao su An Thịnh,,Khác,0
1728,ATSC,CTCP Chứng khoán An Thành,Dịch vụ tài chính,OTC,4100000
1729,AUDI,Công ty TNHH Kiểm toán - Tư vấn Thuế,,Khác,0
1730,AuditConsult,Công ty TNHH Kiểm toán và Tư vấn A&C,,Khác,0
1731,AuLac,Công ty TNHH Kiểm toán Âu Lạc,,Khác,0
1732,AUM,CTCP Vinacafe Sơn Thành,Phân phối và bán lẻ hàng lâu bền,OTC,1000000
1733,Auto15,CTCP Ô tô 1-5,,OTC,0
1734,AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam,,Khác,0
1735,AVIC,CTCP Đầu tư và Phát triển Hạ tầng An Việt,,Khác,0
1736,AVICO,Công ty TNHH Kiểm toán AVICO,,Khác,0
1737,Avicon,CTCP Công trình Hàng không,,OTC,0
1738,AVINA,"Công ty TNHH Tư vấn Thuế, Kế toán và Kiểm toán Việt Nam",,Khác,0
1739,AVPC,Công ty TNHH MTV Năng lượng An Việt Phát,,Khác,0
1740,AVS,CTCP Chứng khoán Âu Việt,Dịch vụ tài chính,OTC,0
1741,AZDC,CTCP Mua Bán Nợ Azura,,Khác,0
1742,AZRC,CTCP Azura,,Khác,0
1743,AzureCity,CTCP Thành Phố Xanh,,OTC,60000000
1744,B82,CTCP 482,Tư liệu sản xuất,OTC,5000000
1745,BacGiang,CTCP Xuất nhập Khẩu Bắc Giang,,OTC,0
1746,BachViet,CTCP Công nghệ và Đầu tư Bách Việt,,OTC,0
1747,BacMyAn,CTCP Khu du lịch Bắc Mỹ An,,Khác,0
1748,BAFECO,CTCP Thức ăn Chăn nuôi Bạc Liêu,,OTC,0
1749,BAM,CTCP Khoáng sản và Luyện kim Bắc Á,Nguyên vật liệu,OTC,30000000
1750,BaoBi277,Công ty TNHH MTV Bao Bì 277 Hà Nội,,Khác,0
1751,BaoBiDuoc,CTCP Bao bì Dược,,OTC,0
1752,BaoHoLaoDong,CTCP Tạp phẩm và Bảo hộ Lao động,,OTC,0
1753,BaoVietBank,Ngân hàng TMCP Bảo Việt,Tổ chức tín dụng,OTC,300000000
1754,BaoVietResort,CTCP Khách Sạn và Du Lịch Bảo Việt,,OTC,0
1755,Barotex,CTCP Thương mại và Đầu tư Barotex Việt Nam,,OTC,65200000
1756,BAS,CTCP Basa,"Thực phẩm, đồ uống và thuốc lá",OTC,9600000
1757,Baseafood,CTCP Chế biến Xuất nhập khẩu Thủy sản Bà Rịa - Vũng Tàu,,OTC,4800000
1758,BatDongsanIP,CTCP Đầu tư Bất động sản I.P,,Khác,0
1759,BAV,CTCP Hàng không Tre Việt,,OTC,0
1760,BBCC,Công ty TNHH MTV Đầu tư và Phát triển BB,,Khác,0
1761,BBL,CTCP Bourbon Bến Lức,,OTC,0
1762,BBPC,CTCP BB Power Holdings,,Khác,0
1763,BCEL,Ngân hàng Ngoại Thương Lào,,Lào,136577600
1764,BCEL-KT,BCEL-KT Securities Co. LTD,Dịch vụ tài chính,Khác,0
1765,BCI,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc,Phát triển và quản lý bất động sản,Khác,86720144
1766,BCMC,CTCP Phát triển Hạ tầng Kỹ thuật Becamex-Bình Phước,,Khác,0
1767,BCO,CTCP Xây dựng Bình Phước,Nguyên vật liệu,OTC,5631895
1768,BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,Tư liệu sản xuất,OTC,21735900
1769,BDF,CTCP Giày Bình Định,Hàng tiêu dùng và trang trí,OTC,1550000
1770,BDIC,CTCP Đầu tư và Phát triển Bình Định,,Khác,0
1771,BDMienTrung,CTCP Xây lắp Bưu điện Miền Trung,,OTC,0
1772,BDOAudit,Công ty TNHH Kiểm toán BDO,,Khác,0
1773,BDP,CTCP Biệt thự và Khách sạn biển Đông Phương,Phát triển và quản lý bất động sản,OTC,25000000
1774,BDS,CTCP Đường Bình Định,"Thực phẩm, đồ uống và thuốc lá",OTC,3400000
1775,BDSC,CTCP BDS,,Khác,0
1776,BDSDKVN,CTCP Bất động sản Dầu khí Việt Nam,,OTC,0
1777,BDSThanhNien,CTCP Bất động sản Thanh Niên,,OTC,0
1778,BecamexCMC,CTCP Vật liệu Xây dựng Becamex,,OTC,0
1779,BenhVienGiaoThong,CTCP Bệnh viện Giao thông Vận tải,,OTC,0
1780,BenThanhG,Tổng Công ty Bến Thành,,OTC,0
1781,Benthanhhouse,CTCP Phát triển và Dịch vụ Nhà Bến Thành,,OTC,0
1782,Beta,CTCP Chứng khoán Beta,Dịch vụ tài chính,OTC,40000000
1783,BeTongHaiAu,CTCP Bê tông Hải Âu,,OTC,0
1784,BGDC,CTCP Phát triển Đầu Tư - Xây dựng Bách Giang - DCI,,Khác,0
1785,BGIC,Công ty TNHH Đầu tư Big Gain,,Khác,0
1786,BGM,CTCP Khai Thác và Chế Biến khoáng Sản Bắc Giang,Nguyên vật liệu,OTC,45753840
1787,BHAAC,Công ty TNHH Kiểm toán và Kế toán Biên Hoà,,Khác,0
1788,BHBC,CTCP Năng lượng Bắc Hà,,Khác,0
1789,BHCC,CTCP Bình Hiệp,,Khác,0
1790,BHDienMay,CTCP Bách hóa Điện máy Sài Gòn,,OTC,0
1791,BHGC,CTCP Đầu tư và Phát triển golf Bình Hải,,Khác,0
1792,BHS,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,"Thực phẩm, đồ uống và thuốc lá",Khác,297874449
1793,BHSC,CTCP Hàng tiêu dùng Biên Hòa,,Khác,0
1794,BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,Tư liệu sản xuất,OTC,4565000
1795,BHV,CTCP Bá Hiến,Nguyên vật liệu,OTC,972013
1796,BHVC,CTCP Bách Hưng Vương,,Khác,0
1797,BHYC,Công ty TNHH Dịch vụ và Phát triển Bất động sản BHYT,,Khác,0
1798,BIAC,CTCP Đầu Tư và Phát triển Bất động sản Bình An,,Khác,0
1799,BiaCanTho,CTCP Bia Nước giải khát Cần Thơ,,OTC,2390000
1800,BiaSaiGonDongNai,CTCP Bia Sài Gòn - Đồng Nai,,OTC,0
1801,BiaSaiGonHaNam,CTCP Bia Sài Gòn - Hà Nam,,OTC,0
1802,BiaSaiGonPhuYen,CTCP Bia Sài Gòn - Phú Yên,,OTC,6000000
1803,BiaSaiGonQuyNhon,CTCP Bia Sài Gòn - Quy Nhơn,,OTC,0
1804,BiaVietHa,CTCP Bia và Nước giải khát Việt Hà,,OTC,0
1805,BIDC,CTCP BIDGroup,,Khác,0
1806,BIDVMetlife,Công ty TNHH Bảo hiểm nhân thọ BIDV Metlife,Bảo hiểm,Khác,0
1807,BIMC,CTCP Bất động sản BIM,,Khác,0
1808,BinhAnSeaFood,CTCP Thủy sản Bình An,,OTC,50000000
1809,BinhDien,CTCP Thủy điện Bình Điền,,OTC,0
1810,BinhDinh,CTCP Vật tư Kỹ thuật Nông nghiệp Bình Định,,OTC,0
1811,BinhTriThien,CTCP Lương thực Bình Trị Thiên,,OTC,0
1812,Biprica,CTCP In và Bao bì Bình Định,,OTC,0
1813,BITC,CTCP Kinh doanh và Đầu Tư Bình Dương,,Khác,0
1814,BIZC,CTCP Khu công nghiệp Thành Thành Công,,Khác,0
1815,BJC,CTCP VRG - Bảo Lộc,,OTC,0
1816,BJCC,CTCP Đầu Tư Thương Mại Bright Jupiter,,Khác,0
1817,BKH,CTCP Bánh mứt kẹo Hà Nội,"Thực phẩm, đồ uống và thuốc lá",OTC,1750000
1818,BKPC,CTCP Phần mềm diệt virus Bkav,,Khác,0
1819,BLU,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu,Dịch vụ chuyên biệt và thương mại,OTC,1337600
1820,Bluechipfund,Quỹ đầu tư Cổ phiếu Hàng đầu VCBF,,OTC,0
1821,BLW,CTCP Cấp nước Bạc Liêu,Dịch vụ tiện ích,OTC,11168800
1822,BM9,CTCP Đầu tư Xây dựng 319 Miền Nam,Phân phối và bán lẻ hàng lâu bền,OTC,3795680
1823,BMJC,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng,,OTC,0
1824,BNC,CTCP Dịch vụ Cáp treo Bà Nà,,OTC,216400000
1825,BNPC,CTCP Bất động sản BNP Global,,Khác,0
1826,BongSen,CTCP Bông Sen,,OTC,32663788
1827,BOOC,CTCP B.O.O Nước Thủ Đức,,Khác,0
1828,BOT741,CTCP Kinh doanh BOT đường ĐT.741,,Khác,0
1829,BOTRM,Công ty TNHH B.O.T Cầu Rạch Miễu,,Khác,0
1830,BPCC,CTCP Năng lượng Bitexco,,Khác,0
1831,BPEC,CTCP Năng lượng Bắc Phương,,Khác,0
1832,BPGC,CTCP Điện gió Bắc Phương,,Khác,0
1833,BPMC,CTCP Vật tư Xăng dầu Bình Thuận,,OTC,0
1834,BPW,CTCP Cấp thoát nước Bình Phước,Dịch vụ tiện ích,OTC,13203858
1835,Britec,CTCP Tư vấn Thiết kế Cầu Lớn - Hầm,,OTC,0
1836,BSMCorp,CTCP Phần mềm Giải pháp Quản lý Mã vạch,,OTC,0
1837,BSPC,CTCP BB Sunrise Power,,Khác,0
1838,BTC,CTCP Cơ khí và Xây dựng Bình Triệu,Tư liệu sản xuất,OTC,30000000
1839,BTCC,CTCP Tân Hoàn Cầu Bến Tre,,Khác,0
1840,BTCom,CTCP Đầu tư Thương mại Bến Thành,,OTC,0
1841,BTIC,CTCP Đầu Tư Thương Mại Bình Tân,,Khác,0
1842,BTJ,CTCP Vàng bạc Đá quý Bến Thành,,OTC,0
1843,BTL,CTCP Tập đoàn Capella,,OTC,13625400
1844,BTR,CTCP Đường sắt Bình Trị Thiên,Vận tải,OTC,1850000
1845,BTWASECO,CTCP Cấp thoát nước Bình Thuận,,OTC,0
1846,BUD,CTCP Khoa học Công nghệ Việt Nam,Dịch vụ chuyên biệt và thương mại,OTC,10000000
1847,BuuDienCM,CTCP Xây lắp và Dịch vụ Bưu điện Cà Mau,,OTC,0
1848,BVA,CTCP Sản xuất và Thương mại Bắc Việt,,OTC,0
1849,BVBC,CTCP BVB,,Khác,0
1850,BVC,CTCP Nhựa Bảo Vân,,OTC,24000000
1851,BVF1,Quỹ đầu tư Chứng khoán Bảo Việt,,Khác,0
1852,BVFED,Quỹ đầu tư Cổ phiếu Năng động Bảo Việt,,OTC,0
1853,BVFMC,Công ty TNHH Quản lý Quỹ Bảo Việt,,Khác,0
1854,BVIM,CTCP Quản lý Quỹ BVIM,,Khác,0
1855,BVMC,CTCP Đầu Tư Bệnh viện Việt Mỹ,,Khác,0
1856,BXBTQuangNinh,Công ty TNHH MTV Bến Xe - Bến Tàu Quảng Ninh,,Khác,0
1857,BXD,CTCP Vận tải và Quản lý Bến xe Đà Nẵng,Vận tải,OTC,1736500
1858,BXT,CTCP Bến xe Tàu Hậu Giang,Vận tải,OTC,63400
1859,C36,CTCP Quản lý và Xây dựng Công trình Giao thông 236,Tư liệu sản xuất,OTC,1123500
1860,C42,CTCP Xây dựng Thủy lợi 42,,OTC,0
1861,C71,CTCP 471,Tư liệu sản xuất,OTC,5000000
1862,CAA,Công ty TNHH Tư vấn và Kiểm toán CA&A,,Khác,0
1863,CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,Truyền thông và giải trí,OTC,45745876
1864,CADICO,CTCP Cadico,,OTC,0
1865,Cafatex,CTCP Thủy sản Cafatex,,OTC,0
1866,CafeControl,CTCP Giám định Cà phê và Hàng Hoá Xuất nhập khẩu,,OTC,1700000
1867,CAGLOBAL,Công ty TNHH Kiểm toán và Tư vấn Toàn cầu,,Khác,0
1868,CAM,CTCP Môi trường đô thị Cà Mau,Dịch vụ tiện ích,OTC,1310700
1869,CamRanh,CTCP Thương mại Hàng không Cam Ranh,,OTC,0
1870,CangVatCach,CTCP Cảng Vật Cách,,OTC,0
1871,CanHoNamLong,CTCP Phát triển Căn hộ Nam Long,,OTC,0
1872,CanhXuanAudit,Công ty TNHH Kiểm toán Cảnh Xuân,,Khác,0
1873,CaoSuBinhDuong,CTCP Cao su Bình Dương,,OTC,0
1874,CAPHEDALAT,Công ty TNHH MTV Xuất nhập khẩu Cà phê Đà Lạt,,Khác,0
1875,CapitaLand,Công ty TNHH Quản lý Bất động sản CapitalLand,,Khác,0
1876,CapNuocCanTho2,CTCP Cấp nước Cần Thơ II,,OTC,0
1877,CapNuocNghiaLo,Công ty TNHH Xây dựng Cấp thoát nước Nghĩa Lộ,,Khác,0
1878,CapNuocYenBai,Công ty TNHH MTV Cấp nước Yên Bái,,Khác,0
1879,CapQuang,CTCP Công nghệ Cáp quang và Thiết bị Bưu điện,,OTC,0
1880,CapVietNhat,CTCP Đầu tư Thương mại Việt Nhật,,OTC,10000000
1881,Caric,CTCP Caric,,OTC,0
1882,CASHIN,CTCP Công nghiệp Tàu thủy và Vận tải Cần Thơ,,OTC,4732985
1883,CASOCO,CTCP Cảng Phú Định,,OTC,0
1884,CathayLife,Công ty TNHH Bảo hiểm Nhân thọ Cathay - Việt Nam,Bảo hiểm,Khác,0
1885,CatTuongAudit,Công ty Kiểm toán Cát Tường VAI,,Khác,0
1886,Cau14,CTCP Cầu 14 - Cienco 1,,OTC,0
1887,CauGiay,CTCP Đầu tư Thương mại Dịch vụ Cầu Giấy,,OTC,7670000
1888,CauTre,CTCP Thực phẩm CJ Cầu Tre,,OTC,11700000
1889,CAV,CTCP Dây Cáp điện Việt Nam,Tư liệu sản xuất,OTC,57600000
1890,Cavicob,CTCP Cavico Xây dựng Cầu Hầm,,OTC,7000000
1891,CavicoEc,CTCP Xây dựng Năng lượng,,OTC,3250000
1892,CavicoGiaoThong,CTCP CAVICO Giao thông,,OTC,0
1893,CavicoHaTang,CTCP Cavico Xây dựng Hạ tầng,,OTC,0
1894,CavicoHC,CTCP Cavico Xây dựng Thủy điện,,OTC,6455103
1895,CavicoVN,CTCP Xây dựng và Đầu Tư Cavico Việt Nam,,OTC,0
1896,CayTrong,CTCP Giống cây trồng Quảng Ninh,,OTC,0
1897,CBC,CTCP Chè Bàu Cạn,"Thực phẩm, đồ uống và thuốc lá",OTC,11882400
1898,CBEC,Công ty TNHH Du lịch sinh thái Cồn Bắp,,Khác,0
1899,CBGC,CTCP Crystal Bay,,Khác,0
1900,CBSC,Công ty TNHH Mặt trời Cát Bà,,Khác,0
1901,CBV,CTCP CTCBIO Việt Nam,,Khác,0
1902,CC7,CTCP Xây dựng Công trình Giao thông 710,,OTC,3167323
1903,CCH,CTCP Tư vấn và Đầu tư Xây dựng CCIC Hà Nội,Dịch vụ chuyên biệt và thương mại,OTC,1000000
1904,CCIC,CTCP Đầu tư Con Cưng,,Khác,0
1905,CCN2,CTCP Xây dựng Số 2 Quảng Ninh,,OTC,0
1906,CDMC,CTCP Đường Man,,Khác,0
1907,CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1,Tư liệu sản xuất,OTC,6000000
1908,CEC,CTCP Thiết kế Công Nghiệp Hóa chất,Dịch vụ chuyên biệt và thương mại,OTC,5977036
1909,CEE,CTCP Xây dựng Hạ tầng CII,Tư liệu sản xuất,OTC,41500000
1910,CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,Tư liệu sản xuất,OTC,3800000
1911,CemacoHanoi,CTCP Hóa chất và Vật tư Khoa học Kỹ thuật,,OTC,0
1912,CENC,Công ty TNHH Đầu tư Central Capital,,Khác,0
1913,CER,CTCP Địa chính và Tài nguyên Môi trường,Dịch vụ chuyên biệt và thương mại,OTC,1335000
1914,CFC,CTCP Cafico Việt Nam,"Thực phẩm, đồ uống và thuốc lá",OTC,2234280
1915,CFCC,Công ty xi măng CHINFON,,Khác,0
1916,CGGC,CTCP Đầu tư Thương mại và Dịch vụ Việt Mỹ A&V,,Khác,0
1917,CGL,CTCP Thương mại Gia Lai,Phân phối và bán lẻ hàng lâu bền,OTC,1880000
1918,CGP,CTCP Dược phẩm Cần Giờ,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",Khác,10735708
1919,CGRC,CTCP City Garden,,Khác,0
1920,CHAC,CTCP Thương mại Du lịch Đầu tư Cù Lao Chàm,,Khác,0
1921,CHDC,CTCP Hải Đăng,,Khác,0
1922,CheBienLamSan,Công ty Vận tải và Chế biến Lâm sản,,Khác,0
1923,CheBienThucPham,Xí Nghiệp Kinh doanh Gia súc Gia cầm và Chế biến Thực phẩm,,Khác,0
1924,CheLamDong,CTCP Chè Lâm Đồng,,OTC,0
1925,CHIN2,CTCP Chín Chín Núi,,OTC,0
1926,ChipSang,CTCP Chíp Sáng,,OTC,0
1927,ChoLonTourist,CTCP Dịch vụ Du lịch Chợ lớn,,OTC,0
1928,ChuanVang,Công ty TNHH Kiểm toán Chuẩn Vàng,,Khác,0
1929,CHUBBLIFE,Công ty TNHH MTV Quản lý Quỹ CHUBB LIFE,,Khác,0
1930,ChubbLifeVN,Công ty TNHH Bảo hiểm nhân thọ Chubb Việt Nam,Bảo hiểm,Khác,0
1931,CHULAIQN,CTCP Đầu tư và Phát triển Kỳ Hà - Chu Lai Quảng Nam,,OTC,0
1932,CIC,CTCP Đầu tư và Xây dựng Cotec,Tư liệu sản xuất,OTC,4635062
1933,CIC1,CTCP Xây dựng Dân dụng Công nghiệp Số 1 - Đồng Nai,,OTC,1537200
1934,CIC8,CTCP Đầu tư và Xây dựng Số 8,,OTC,400000
1935,CICP1,CTCP Tư vấn Đầu tư và Xây dựng Công trình 1,,OTC,0
1936,CIE,CTCP Đầu tư và Xây dựng Công trình 128,,OTC,0
1937,CIENCO1,Tổng Công ty Xây dựng Công trình Giao thông 1 - CTCP,,OTC,0
1938,CIENCO473,CTCP 473,,OTC,2000000
1939,CIENCO5,Tổng Công ty Xây dựng Công trình Giao thông 5 - CTCP,,OTC,0
1940,CIENCO503,CTCP Xây dựng Giao thông 503,,OTC,0
1941,CIENCO610,CTCP Xây dựng Công trình Giao thông 610,,OTC,2686300
1942,CIENCO624,CTCP Vật tư Thiết bị và Xây dựng Công trình 624,,OTC,0
1943,CIENCO8,Tổng Công ty Xây dựng Công trình Giao thông 8 - CTCP,,Khác,0
1944,Ciencoland,CTCP Đầu tư Xây dựng và Kinh doanh Bất động sản Tổng Sáu,,OTC,0
1945,CIMB,Công ty TNHH Chứng khoán CIMB-VINASHIN,Dịch vụ tài chính,Khác,33334000
1946,Cistra,CTCP Dịch vụ Thương mại Thành Phố,,OTC,0
1947,CIV,CTCP Đầu tư Vinamotor,,OTC,3155930
1948,CIVC,CTCP Đầu tư và Phát triển Bất động sản Thế Kỷ,,Khác,0
1949,CJC203,CTCP Xây dựng 203,,OTC,0
1950,CKH,CTCP Cơ khí Chế Tạo Hải Phòng,Tư liệu sản xuất,OTC,1037626
1951,CKI,CTCP Cơ khí ngành In,,OTC,0
1952,CKTAYNINH,CTCP Cơ khí Tây Ninh,,OTC,0
1953,CLAC,Công ty TNHH Đầu tư Cam Lâm,,Khác,0
1954,CLHC,Công ty TNHH Phát triển Bất động sản Cát Liên Hoa,,Khác,0
1955,CLP,CTCP Thủy sản Cửu Long,"Thực phẩm, đồ uống và thuốc lá",OTC,8000000
1956,CLRC,CTCP Đầu Tư Công nghệ Smarttech,,Khác,0
1957,CLS,CTCP Chứng khoán Chợ Lớn,Dịch vụ tài chính,Khác,0
1958,CLWC,CTCP Phong điện Chơ Long,,Khác,0
1959,CMCHanoi,CTCP Vật liệu Xây dựng Hà Nội,,OTC,0
